variable,coef_2006,odds_ratio_2006,OR_lower_CI_2006,OR_upper_CI_2006,pvalue_2006,coef_2007,odds_ratio_2007,OR_lower_CI_2007,OR_upper_CI_2007,pvalue_2007,coef_2008,odds_ratio_2008,OR_lower_CI_2008,OR_upper_CI_2008,pvalue_2008,coef_2009,odds_ratio_2009,OR_lower_CI_2009,OR_upper_CI_2009,pvalue_2009,coef_2010,odds_ratio_2010,OR_lower_CI_2010,OR_upper_CI_2010,pvalue_2010,coef_2011,odds_ratio_2011,OR_lower_CI_2011,OR_upper_CI_2011,pvalue_2011,coef_2012,odds_ratio_2012,OR_lower_CI_2012,OR_upper_CI_2012,pvalue_2012,coef_2013,odds_ratio_2013,OR_lower_CI_2013,OR_upper_CI_2013,pvalue_2013,coef_2014,odds_ratio_2014,OR_lower_CI_2014,OR_upper_CI_2014,pvalue_2014,coef_2015,odds_ratio_2015,OR_lower_CI_2015,OR_upper_CI_2015,pvalue_2015,coef_2016,odds_ratio_2016,OR_lower_CI_2016,OR_upper_CI_2016,pvalue_2016,coef_2017,odds_ratio_2017,OR_lower_CI_2017,OR_upper_CI_2017,pvalue_2017
micropolitan_asian/pacific islander,0.25207925212106264,1.2866980067903426,1.173537538691536,1.410770176575845,8.006249639841861e-08,0.24971059719472175,1.2836538698960387,1.1659078565540621,1.4132911519862208,3.6375644828844066e-07,0.2332792294610484,1.2627340226453212,1.1502951672925523,1.3861635320080492,9.458051315220872e-07,0.08494909277241737,1.0886616445416173,0.9990042129127165,1.1863655437853584,0.05271552633650975,0.128415056286099,1.137024834076831,1.0466159734396487,1.2352433997912733,0.0023833014883631464,0.011811599793004522,1.0118816321978028,0.9314588158835964,1.0992482116431501,0.7798282923223716,-0.06548238204697392,0.9366155478629954,0.8584769190191471,1.0218663601358082,0.14067208837252107,0.041939764587682594,1.0428316614637638,0.9527151497764841,1.141472216964757,0.36308245109258286,0.04896567149057719,1.050184298859629,0.9483398343928987,1.1629660819608285,0.34679836151483767,0.0703180448531164,1.0728493412103979,0.9672840962597035,1.1899355250296129,0.18333385261490198,0.28240842079417533,1.326320306174512,1.2003725572457038,1.465482981889577,2.8977503314620628e-08,0.09669514094576853,1.1015245127073348,1.0002577268592026,1.213043618173344,0.049390947234843156
noncore_asian/pacific islander,0.3793038737311417,1.4612670089423208,1.3550750914282408,1.575780770328117,6.61550478824785e-23,0.4414868530392602,1.5550175831189472,1.440178829435512,1.6790134908154948,1.6716304181951215e-29,0.4180808704685304,1.5190435151958686,1.4160480947362406,1.6295302466322128,1.7954609169661249e-31,0.416355592764958,1.516425002768417,1.4187769335867964,1.6207937517053765,1.4818687996173245e-34,0.3886612387093944,1.4750047921612612,1.3823274889213193,1.573895588661422,8.060636103916874e-32,0.31478925081426545,1.3699705603510135,1.2859188301208613,1.4595161780561772,1.9487700035613591e-22,0.191758663737477,1.2113781322138675,1.1349879605437598,1.2929097313974378,7.925871131822524e-09,0.20520840050617586,1.2277809084660913,1.1460043338670252,1.3153928956857983,5.373430615592368e-09,0.31496096708498417,1.3702058267855908,1.2742185442866099,1.4734238613740396,1.901503776635583e-17,0.2281199287303053,1.2562359751840144,1.1684930189662937,1.3505676112148468,6.61299567443225e-10,0.3313021163754364,1.392780510551685,1.2912924376324855,1.5022449555494954,9.282187935895711e-18,0.30508264088376363,1.3567371203280818,1.2632634481108336,1.4571272654400726,5.451850580035597e-17
micropolitan_black,0.2860616744798923,1.3311745522187757,1.2855695677805246,1.3783973523379036,3.325876690595464e-58,0.19616688497513068,1.2167299423381002,1.1718791901126362,1.2632972452047584,1.3552069239572372e-24,0.2806932647712531,1.324047409656322,1.2727848295404856,1.377374637353699,4.005821062053986e-44,0.20739631324887786,1.2304701267757088,1.181728752708551,1.2812218788932523,8.542727066148538e-24,0.13463987511401,1.14412468238088,1.0989339491711114,1.1911737641925613,5.822101580996363e-11,0.12115695011233736,1.1288020640757535,1.0830677431970166,1.1764675920459922,9.386734226529788e-09,0.0744072193855648,1.0772453913962057,1.0332207130704385,1.1231459247809827,0.00047398779468835493,0.17134067811568035,1.1868950293151748,1.1358600202290339,1.2402230781298356,2.157269413389767e-14,0.10233072260068102,1.1077497690377152,1.0554605713605696,1.1626294568458138,3.3556653006169376e-05,0.12449928702179106,1.1325812129542328,1.077300195416622,1.1906989429634418,1.0811343113620367e-06,0.12999677216343042,1.1388247073786524,1.0873341459098655,1.1927535974241181,3.653513629778044e-08,0.17259551129051837,1.1883853194101839,1.1361279711011585,1.2430462969949183,5.376083206909683e-14
noncore_black,0.3558342822197024,1.4273709879114802,1.385871766029502,1.4701128827874714,1.586829001078265e-123,0.32631643409492506,1.3858538308996378,1.3424600113587861,1.4306503168576725,6.780062931917744e-90,0.35820931494842895,1.4307650696559793,1.3834553077088316,1.4796926746682582,8.214049856773995e-97,0.3160698914566452,1.3717261242127456,1.3256611746796643,1.4193917690185072,1.6689609515473662e-73,0.22654231154583715,1.2542556782078131,1.2114763773892196,1.2985455892311817,1.7513445674377022e-37,0.1766044278894205,1.1931590193321466,1.1517935246031699,1.2360101137954704,1.0193529181779799e-22,0.08878058029933002,1.0928408392071733,1.0537654333350097,1.1333652272681358,1.7616953944453547e-06,0.05957498158177939,1.0613853423477775,1.0213310070884258,1.10301051973562,0.0024025512654596787,0.07697077387712473,1.0800105114114285,1.0369692258709895,1.1248383034505705,0.00020766763975976207,0.023197265593509334,1.0234684147393196,0.9816144478529133,1.0671069463781704,0.27619853674568196,0.12280531591611002,1.1306642771799509,1.0866112305643494,1.17650330838832,1.3911396999853987e-09,0.14424185262363773,1.155163454055421,1.1117382364511257,1.2002848888645863,1.6051517151052372e-13
micropolitan_hispanic,0.15208237984549208,1.1642561437228773,1.134102662468788,1.195211344664108,6.665925285198067e-30,-0.006365174305364001,0.9936550405036033,0.9671693302883396,1.020866055816577,0.6442437194081285,-0.18455574873626165,0.8314735850057037,0.8047313723641856,0.8591044742435662,1.8567667181426525e-28,-0.11107418296954659,0.8948723621774868,0.8716514782645374,0.9187118527963781,1.228478360390815e-16,-0.1961394010684944,0.8218976532809271,0.7997406704613644,0.8446684999513593,6.064647175639667e-45,-0.13777422399327108,0.8712953871336016,0.8472637038573715,0.8960087021125231,4.696075775172639e-22,-0.06969784045683201,0.9326755941648704,0.9071067957732436,0.9589651053261933,8.908001891067848e-07,-0.10603321142471564,0.8993947773979637,0.873658258715496,0.9258894510996113,8.176678798428193e-13,-0.30334285335183375,0.7383459086002485,0.716326426461339,0.7610422575637718,7.457353923124376e-86,-0.3610555596223389,0.6969402756526623,0.6755603866553861,0.7189967875878209,3.374394140589522e-114,-0.2549609227678498,0.7749467801446369,0.7530732638967799,0.7974556272905389,3.2606512381540157e-68,-0.2288478619362544,0.7954495424530231,0.7737997754496381,0.817705037741905,2.0723737075414256e-59
noncore_hispanic,0.05780873898897118,1.0595123329301674,1.0361080629294708,1.0834452735144293,3.9288849572541126e-07,-0.025143614073200725,0.9751698538566362,0.952964961683513,0.9978921388576647,0.03239398663529285,-0.22214560862217322,0.800798752642021,0.7796239863383453,0.8225486304556968,2.3295326347273423e-59,-0.08992690804587829,0.9139979887288603,0.894462305975585,0.9339603444655437,3.412776918984201e-16,-0.09672062774926636,0.9078095875175246,0.8877202725151364,0.9283535283629409,2.4281082550120373e-17,-0.07109497190914148,0.9313734336140077,0.9103274140436295,0.9529060198118691,1.0835300212217654e-09,0.043780723441338085,1.0447532398744954,1.0205273350755573,1.069554234083737,0.00025472216101404875,0.08868004639642682,1.0927309771748779,1.0659604798020899,1.1201737879618738,2.4281637095116228e-12,0.24109679798359998,1.2726442187403932,1.2402796974315784,1.3058532771658906,3.681796322557734e-75,0.22661298191107776,1.254344320046836,1.221970567285157,1.2875757529326792,1.0427248695666674e-64,0.17320822419641171,1.189113681548215,1.160118521260767,1.2188335258267273,4.955994271016187e-43,0.22357917224577886,1.250544644785183,1.2216750440850574,1.2800964676921216,1.548722695357304e-78
male,-0.0009405075458670649,0.9990599345927325,0.9912961059668425,1.0068845695050281,0.8132128532153025,-0.012483147560941064,0.9875944437288193,0.9794618261652402,0.9957945876284625,0.0030876745594884056,-0.05347903820972363,0.947925811017595,0.9397955891115661,0.9561263679081748,4.578111859831436e-34,-0.04022884744716841,0.9605695900988136,0.9522720552710101,0.9689394247319486,1.0059495452563721e-19,-0.04871831821662067,0.952449379555994,0.944010562127327,0.960963634318152,7.419125974213558e-27,-0.016440747728672794,0.9836936637477823,0.9748956838135068,0.9925710413573261,0.0003348668830291069,0.032611834833708594,1.0331494287779615,1.0237824684628305,1.0426020908395552,2.251134921833727e-12,0.03257857842550238,1.0331150705101395,1.0232299093315174,1.0430957296903702,3.107348668692024e-11,0.031156674927371397,1.0316471244635443,1.0211033295461218,1.0422997933881744,2.7755104588107732e-09,0.05304621891609368,1.0544783808408977,1.0433191028736448,1.0657570177697642,1.4808160940397356e-22,0.042833433805861285,1.0437640245694075,1.0332912405601744,1.0543429540685074,8.434280100751428e-17,0.05746208958810209,1.059145117265966,1.049084579967043,1.0693021333547559,3.8893295632639935e-32
asian/pacific islander,0.6632533530223782,1.9410971472207477,1.8587840604479398,2.0270553288694146,9.622248319269143e-198,0.5694464933078421,1.767288574608961,1.6910733180101074,1.8469387889216906,2.0245353923947107e-141,0.5570022754825152,1.7454323246455603,1.674387755927941,1.8194913269831123,4.060180660217328e-152,0.6652325727075027,1.9449428093549774,1.8750326220575082,2.0174595829221853,7.513748638267616e-278,0.6305174253470621,1.8785823539587148,1.8102139632284597,1.9495328907479408,1.2193712827534493e-243,0.6850871318099074,1.983944692698203,1.915992458910649,2.054306907827408,0.0,0.7543424239195787,2.126212916804615,2.0536018767544584,2.2013913304030943,0.0,0.7782081001038661,2.1775667857316403,2.099336074509306,2.2587127253695978,0.0,0.6876439581364249,1.989023785130483,1.9116743138837324,2.069502942568391,4.5611124130451576e-253,0.7125219951602715,2.0391274487580167,1.9570502517851043,2.124646900857891,2.918171544736239e-253,0.5790060163806765,1.7842640198202184,1.7076100169243453,1.8643589934891158,2.862152948752287e-147,0.550443012062071,1.734021039969898,1.667824155759069,1.8028453159618636,4.307461874467046e-169
black,0.035093949895606824,1.035717009733788,1.0180633633397633,1.0536767777723273,6.309826354355015e-05,0.026997521205323644,1.0273652561328055,1.0088196440021253,1.0462518010866582,0.003675680934210395,0.07732155111999806,1.0803894209734362,1.0600688461483785,1.1010995231039336,1.4474086337053645e-15,0.11151273567465216,1.1179679819913557,1.0968551322056272,1.1394872231162743,2.0094812555275023e-30,0.1446250408823267,1.1556061839469125,1.132990374636437,1.1786734311885634,1.198534640072143e-46,0.2009657440124309,1.222582890321692,1.1989771615893259,1.246653373885791,9.31443182740867e-91,0.20463104373044758,1.2270722454348655,1.202744627240151,1.2518919323477635,3.1070031636325295e-89,0.2394026719513812,1.2704900242933408,1.243718680050253,1.2978376281714072,1.4090415312627797e-107,0.27057089386727595,1.3107125149168304,1.2817951796923268,1.3402822260354976,6.70445285785173e-125,0.2719204050741649,1.312482530203827,1.2822780763898467,1.3433984592016996,5.699024813711727e-116,0.21831443660323527,1.243978158395837,1.2165518841831597,1.272022737940961,4.229120672465835e-82,0.1935240570941621,1.2135185799310892,1.1884858059174415,1.239078612891961,5.441455284733677e-74
hispanic,0.2270985990310729,1.2549535990492031,1.2381978610575821,1.2719360817029446,1.8712526010916006e-240,0.2962514624223034,1.3448082830656434,1.3261776599254005,1.3637006359341743,0.0,0.08136861061597239,1.0847706808687285,1.0666374008171176,1.1032122342334432,3.0666272110777697e-21,0.3607120730945947,1.4343504133418796,1.416226148965593,1.4527066244022613,0.0,0.4005296929004862,1.4926151159133734,1.4731514995935167,1.512335890007126,0.0,0.41660563290575847,1.516804217297074,1.4971550242151679,1.5367112933520362,0.0,0.4554435660271526,1.5768726750792388,1.5559176902340772,1.5981098801167775,0.0,0.434671927779567,1.544456282624264,1.5230799030134852,1.5661326790656507,0.0,0.29930570895390746,1.3489219379601407,1.3291427410354462,1.368995472444608,0.0,0.2620150979554458,1.2995461627713332,1.2801600296614342,1.3192258702377555,7.309775732487251e-256,0.2864533199872114,1.3316960028568443,1.3124628773050575,1.351210974946836,0.0,0.23670300420531132,1.2670647489860292,1.2502622794357652,1.2840930295422168,1.2852058169111092e-264
