variable,coef_2006,odds_ratio_2006,OR_lower_CI_2006,OR_upper_CI_2006,pvalue_2006,coef_2007,odds_ratio_2007,OR_lower_CI_2007,OR_upper_CI_2007,pvalue_2007,coef_2008,odds_ratio_2008,OR_lower_CI_2008,OR_upper_CI_2008,pvalue_2008,coef_2009,odds_ratio_2009,OR_lower_CI_2009,OR_upper_CI_2009,pvalue_2009,coef_2010,odds_ratio_2010,OR_lower_CI_2010,OR_upper_CI_2010,pvalue_2010,coef_2011,odds_ratio_2011,OR_lower_CI_2011,OR_upper_CI_2011,pvalue_2011,coef_2012,odds_ratio_2012,OR_lower_CI_2012,OR_upper_CI_2012,pvalue_2012,coef_2013,odds_ratio_2013,OR_lower_CI_2013,OR_upper_CI_2013,pvalue_2013,coef_2014,odds_ratio_2014,OR_lower_CI_2014,OR_upper_CI_2014,pvalue_2014,coef_2015,odds_ratio_2015,OR_lower_CI_2015,OR_upper_CI_2015,pvalue_2015,coef_2016,odds_ratio_2016,OR_lower_CI_2016,OR_upper_CI_2016,pvalue_2016
subject_race_black,0.15062977897428115,1.1625661719585816,0.9564203745571371,1.4131444081879367,0.13039652985354272,0.06623143289304657,1.0684739685755276,0.8572512723560523,1.3317409473022843,0.5556156582252945,0.33878719218688286,1.4032446920018118,1.0913897524584244,1.804209413910793,0.008243469374144637,0.2222183303777611,1.2488440086855863,0.9735017684272735,1.6020631996893977,0.08035380850214548,0.033400909807631225,1.0339649828608746,0.7919633772811593,1.3499154335301387,0.8060570981887362,-0.04188300396156679,0.9589819711009806,0.7388695346567383,1.2446668562724925,0.7528995573601943,0.28907804034678414,1.335195923615649,1.0119552882197127,1.7616866823989368,0.040954002267505646,0.1655640834780171,1.180058582554677,0.8705764530079616,1.5995588365037234,0.28603584700043383,0.060319932180954064,1.062176316576298,0.7448653715080782,1.5146609986867354,0.739022373764602,0.25823720872151557,1.294645883498405,0.9090599363847034,1.843781577620924,0.15230011347462952,0.18229669097514878,1.1999701613884153,0.8873897091701124,1.6226561716262877,0.2364104927666335
subject_race_hispanic,-0.5931428844433465,0.5525878330144861,0.4450272583679784,0.6861451910057135,7.861983763361943e-08,-0.5601830687594245,0.571104502885339,0.4523246101553867,0.7210758510439319,2.49296122359105e-06,-0.25790942751050316,0.7726652111495136,0.5796247761410203,1.0299965651838734,0.07867064987488889,-0.5036508353816537,0.6043203533075342,0.46576688299934876,0.7840898585790044,0.00015030116270153728,-0.4383116911621856,0.6451246718579362,0.49769020624303784,0.8362347440619983,0.0009298378560615724,-0.4561401204825394,0.6337250330196351,0.4962688156901868,0.809253785001988,0.0002556276825619096,-0.3692840371116987,0.6912290478622205,0.5169544188577571,0.924254787615967,0.012725247389127819,-0.39427428101026196,0.6741691190921576,0.4952637412967585,0.9177009404069423,0.012217659977514145,-0.2799764478809459,0.7558015419740025,0.538009130780779,1.0617588776258886,0.10643822510377486,-0.07880735235174266,0.9242179557115289,0.6606838668133567,1.2928707246621827,0.645408798750433,-0.2029070003490479,0.8163541585472205,0.610752720192157,1.091168471534052,0.17049705780123592
subject_race_asian/pacific islander,-0.6469989032882268,0.5236148399025081,0.19096727693438842,1.4357040900799354,0.2086760627648645,-0.5386257510746872,0.5835496440632534,0.2352013019474443,1.4478244136694494,0.24532851171160652,-0.3251685886765483,0.7224055539790623,0.2614610241631935,1.9959754463979515,0.5305962192305315,-0.07459270024433316,0.928121432987422,0.39673344097902064,2.1712548159412086,0.8634222131588315,-0.005356467976157412,0.9946578523182904,0.3945867456359179,2.5072921331506004,0.9909401225589273,-1.079937809579892,0.3396166458900775,0.10608309333338659,1.087255872178894,0.06890352399447296,-0.39110051816157565,0.6763121709664024,0.24128650498489415,1.8956640472948285,0.45703810895400565,-0.39894627890551965,0.6710267486765509,0.2384610201495954,1.8882620612666496,0.4497880785806544,-0.6639799275841467,0.514798391600527,0.12129971718828202,2.184814525025877,0.36796676359038183,-0.6165019838345646,0.5398294709499376,0.1261894588488274,2.309351829895715,0.40578357736050574,-0.08783910038915287,0.9159082341465775,0.3473524059103206,2.415091644979381,0.8590657061624702
subject_sex_female,0.24300374719224727,1.2750734020546746,1.0542295602210308,1.5421804149434137,0.01227359771593476,0.05304124057878003,1.054473131304895,0.8576624198114785,1.2964466659135636,0.614807084392286,0.0353578693374273,1.0359903916626971,0.8111102059184753,1.3232185759542814,0.7770282240351759,0.4619480433629336,1.5871628374397817,1.2612098154281322,1.997356698096079,8.194431649568367e-05,0.3685945829155098,1.4457013728131565,1.1401654979783695,1.833113230543919,0.0023436506162250854,0.3438443521295807,1.4103590990326382,1.119407218810423,1.776934036871725,0.003535920661060001,0.33118227997273064,1.3926136147458381,1.072750593832351,1.8078504837244158,0.012867690063053189,0.08570629422720831,1.0894862928957048,0.8104064116938177,1.464672990341644,0.5702748946036845,0.38210679004849185,1.4653685635576026,1.0756796283643877,1.9962310063712296,0.01541553907870645,0.13098290726632292,1.1399482963128302,0.8264073869109483,1.5724473653652777,0.4247896362764929,0.22919586197591643,1.2575883286246003,0.9699855823769559,1.6304658883869905,0.08363946064627058
const,-2.3121752814452945,0.09904556507534455,,,,-2.0687833778366205,0.12633939554982068,,,,-2.439753308480287,0.08718235595726717,,,,-2.297830989312869,0.10047654223617007,0.0,inf,0.9999987482732622,-2.3127929707940584,0.09898440457579438,0.0,inf,0.9999996830110635,-2.180882027913535,0.11294186881375398,0.0,inf,0.9999994078356278,-2.332264599967043,0.09707566044204563,0.0,inf,0.9999992144282066,-2.1044032032763256,0.12191841307125853,0.0,inf,0.9999995731546066,-2.0226833078215685,0.13229998677524749,,,,-1.9556643987159006,0.14147045267577857,0.0,inf,0.999999698795398,-1.8575961718369907,0.15604729075026375,0.0,inf,0.9999997862985854
daytime,-0.2554049256920063,0.7746027778828434,0.6655769668196785,0.9014877218044947,0.0009671338799554132,-0.5099571143080848,0.6005213320328737,0.5098816891496221,0.7072736242558285,1.0046340844159364e-09,-0.3650314928845623,0.6941747889672383,0.5707703493006246,0.8442601095662459,0.0002570263257359791,-0.44711183338807203,0.6394723899118626,0.5237922800820238,0.7807005811455511,1.1255332164082858e-05,-0.3975790714418123,0.6719448089020775,0.5476078767950517,0.8245130235397106,0.00013992885856899565,-0.40772118509277055,0.6651643106961944,0.5455467861887796,0.8110093788928331,5.555062088515932e-05,-0.4509504573564455,0.6370224011699755,0.5075432648501883,0.7995329023076302,0.00010033567669491018,-0.4520954281186559,0.6362934465412671,0.4976404688044894,0.8135780256859041,0.00031192461980654126,-0.31563645546027463,0.7293245439336433,0.552615979735376,0.962538742796992,0.025768905553931867,-0.4343674532226926,0.6476742217748558,0.4914835480493209,0.8535014024712982,0.0020352750364517175,-0.42542558049771645,0.6534916126558882,0.5130171316851535,0.8324308515951888,0.0005705503761899831
county_type_Micropolitan,-0.01635113662618173,0.9837818175712258,0.7983365174879323,1.2123041391481562,0.8780587678176122,-0.13120658330803234,0.8770365745584199,0.6903254798318911,1.1142470842891121,0.28271007707134443,0.09863160240782459,1.1036596391034879,0.837270793166315,1.454803641698374,0.4840474623328461,0.06194907583671071,1.0639081647154047,0.8025872045419308,1.4103147627354993,0.6666369789684942,0.00864949164379286,1.008687006580344,0.7675509951459525,1.3255789956347375,0.9505211448164033,-0.10090168514377273,0.9040219073007975,0.6830464513737248,1.1964861353662388,0.4804579353810141,0.1516574898434425,1.163761568005164,0.8369327965969857,1.618219518547561,0.3672473812036413,0.24453371373520422,1.2770257148053967,0.9176326348838636,1.7771759790132455,0.14700446444062834,-0.012688792295192706,0.9873913710130233,0.6681059313402812,1.4592621825631098,0.94923540495086,-0.5224727206490962,0.593052280790328,0.3670467862290643,0.9582184640927939,0.03281737658712518,-0.13893171525747933,0.8702874537840076,0.6038914462071154,1.254199338260021,0.45617830075217825
county_type_Non core,0.04159473044682071,1.0424719110040515,0.867038510164856,1.2534018644982772,0.6581816284189099,-0.048233647307971285,0.9529111159482856,0.7763224803737045,1.1696680411221592,0.6446145291911562,-0.06823455036710897,0.9340413681367958,0.7254036319015589,1.202686668529461,0.5967779225463761,0.23888012054287913,1.2698263013714353,0.9727413302721968,1.6576440061444229,0.07896533132603009,0.03382371577076486,1.0344022418526404,0.7882150170625934,1.3574823808067573,0.8073103363015126,0.18995992901322772,1.2092011428034428,0.9388683503205894,1.5573721313087985,0.14119189172157662,0.422668938319476,1.5260290026033065,1.1347149818994287,2.052290270185967,0.005174144023794826,0.35989692286505254,1.4331816786850777,1.0439105735812613,1.9676108050827081,0.02603232115584591,0.03492650128842636,1.0355435948825178,0.714902523987449,1.499995455214024,0.8534288593638565,0.3540022845393916,1.4247584413929533,1.027742951908637,1.9751403914282761,0.033656238833490074,0.355780393590573,1.4272940709181767,1.072904246287452,1.8987420097621501,0.014557641873729366
county_region_Alamo,-0.3410087722182477,0.7110526706698386,,,,-0.36165847746912216,0.6965202045692307,,,,-0.15962620289858703,0.8524623773845181,,,,-0.08130241030849361,0.9219148527298634,0.0,inf,0.9999999557111027,-0.08888232375455928,0.9149532355012098,0.0,inf,0.9999999878178836,0.1501146204981586,1.161967420380261,0.0,inf,0.9999999592401015,-0.6809114425307569,0.5061554504583567,0.0,inf,0.999999770650027,-0.2695105612226749,0.7637532133120152,0.0,inf,0.9999999453339828,0.015875247622846988,1.0160019288438527,,,,0.332799602035024,1.3948677418025777,0.0,inf,0.9999999487433674,-0.22745765526702535,0.7965561507408614,0.0,inf,0.9999999738328366
county_region_Capital_Region,0.2528737928710486,1.2877207470402616,,,,0.09288867652494776,1.0973395688140983,,,,0.22624967884895267,1.2538886956842783,,,,0.08590532787472097,1.0897031589075956,0.0,inf,0.9999999532036967,0.392924015372666,1.4813058285815228,0.0,inf,0.9999999461462538,0.5235551295526996,1.6880181180408746,0.0,inf,0.9999998578416023,0.17556610618171709,1.1919207793785904,0.0,inf,0.9999999408644367,0.40091127301573476,1.4931847768400544,0.0,inf,0.9999999186813964,0.3632087536534556,1.4379360023060557,,,,-0.12306486885114626,0.8842063032533565,0.0,inf,0.9999999810459786,0.3862118737360925,1.4713963880412377,0.0,inf,0.9999999555694478
county_region_Central_Texas,0.16301297930501848,1.1770519669058241,,,,0.047964512336514005,1.0491334233699565,,,,0.1520327791792099,1.1641983972745684,,,,0.10772645056192198,1.1137430399296284,0.0,inf,0.9999999413167987,0.23751619709133248,1.2680955360835968,0.0,inf,0.9999999674462835,0.07330962403489569,1.0760636605128786,0.0,inf,0.9999999800945916,0.010337784495451216,1.010391403999262,0.0,inf,0.9999999965179457,-0.031183564483912206,0.9692976281254749,0.0,inf,0.9999999936748999,-0.20679462020661138,0.8131866449434141,,,,0.05522621634330967,1.0567796484655598,0.0,inf,0.999999991494251,-0.11891501770250114,0.887883251914557,0.0,inf,0.999999986319789
county_region_Gulf_Coast,0.11457060192439684,1.1213918106890033,,,,0.0673708005449217,1.0696920470400215,,,,0.12524248354192521,1.1334232562335291,,,,0.330574206375935,1.3917670605858743,0.0,inf,0.9999998199221026,0.10059553299180857,1.105829279837566,0.0,inf,0.9999999862124836,0.16350465087080937,1.1776308321835474,0.0,inf,0.9999999556043713,0.42735968477344505,1.5332040327033494,0.0,inf,0.9999998560533337,0.2284305026595152,1.2566261899189675,0.0,inf,0.9999999536664326,-0.19824931186588277,0.8201653506925336,,,,0.10987194831790159,1.116135138325805,0.0,inf,0.9999999830779062,0.37820266809478514,1.4596587391562512,0.0,inf,0.9999999564908421
county_region_High_Plains,0.03944112373294707,1.040229252266737,,,,-0.2985533724485653,0.7418906842710175,,,,-0.11789439197514037,0.8887899110054469,,,,-0.03262235430298187,0.9679040153648172,0.0,inf,0.9999999822292095,-0.3738498844593397,0.6880801956071165,0.0,inf,0.9999999487605338,0.08984311478428997,1.0940026374014227,0.0,inf,0.9999999756053326,-0.11459582548151097,0.89172648420412,0.0,inf,0.9999999614009285,-0.024389171704312006,0.975905840906246,0.0,inf,0.9999999950530366,-0.09559852527075194,0.9088288146373923,,,,0.3414342636566456,1.4069641015907883,0.0,inf,0.9999999474134869,0.43226252602021004,1.540739546293225,0.0,inf,0.9999999502716926
county_region_Metroplex_Region,-0.07949652658528582,0.9235812279436619,,,,0.0021845233618659507,1.0021869111714505,,,,-0.42719648319284115,0.6523353666995095,,,,-0.14674103347707854,0.8635175706062359,0.0,inf,0.999999920063888,-0.20915863378291058,0.8112665311564554,0.0,inf,0.9999999713329408,-0.1423415808049871,0.8673249443288533,0.0,inf,0.9999999613506775,-0.019163974651867175,0.9810184868885635,0.0,inf,0.9999999935450387,0.014373150344595305,1.0144769407388143,0.0,inf,0.9999999970846305,0.3424233573454051,1.4083564093518839,,,,0.33461117007382785,1.3973969298283953,0.0,inf,0.9999999484643559,0.20906172386330815,1.2325210721446336,0.0,inf,0.9999999759491397
county_region_Northwest_Region,0.13780979772102994,1.1477572234721005,,,,0.09948857033802824,1.1046058453963765,,,,0.17925755106503685,1.1963288202553095,,,,-0.14680098274036804,0.8634658049157135,0.0,inf,0.9999999200312312,-0.005528532026356795,0.9944867221827522,0.0,inf,0.9999999992422653,0.03390523211961702,1.0344865659834916,0.0,inf,0.9999999907938759,-0.05357320365745362,0.9478365533617452,0.0,inf,0.9999999819550501,0.41732445559004244,1.517894922540956,0.0,inf,0.9999999153522381,0.2571172452506464,1.2931967390470742,,,,0.6252847934783614,1.8687780974682835,0.0,inf,0.9999999036958195,0.30018474457816935,1.3501082097091335,0.0,inf,0.9999999654661732
county_region_South_Texas,-0.7277619809585018,0.48298871936295695,,,,-0.9895395500327093,0.37174782289308145,,,,-1.4009311907156068,0.24636744201921398,,,,-1.4636549756392938,0.2313890061193375,0.0,inf,0.9999992026845853,-1.0539769966313117,0.34854881159236545,0.0,inf,0.9999998555430375,-1.4464508926461968,0.23540428232034927,0.0,inf,0.9999996072521696,-0.5544417767523379,0.574392811139365,0.0,inf,0.9999998132485393,-0.9176295051822545,0.399464848979641,0.0,inf,0.9999998138731558,-1.3162893424125668,0.2681283909680969,,,,-0.9303932039304694,0.394398600798747,0.0,inf,0.9999998567040874,-0.7020117521113054,0.4955873014612997,0.0,inf,0.999999919239226
county_region_Southeast_Region,-0.7602555783041849,0.46754691689031724,,,,-0.7640703213077668,0.46576674317167877,,,,-0.37970580646003715,0.6840626264181258,,,,0.01430835499572813,1.0144112094810842,0.0,inf,0.9999999922056275,-0.46597723907227356,0.6275215668578251,0.0,inf,0.9999999361336569,-0.3378441894152301,0.7133064199306934,0.0,inf,0.9999999082667976,-1.5983074134255355,0.20223853469522993,0.0,inf,0.9999994616454663,-0.8840552211519673,0.4131042811540636,0.0,inf,0.9999998206831762,-0.4514512625706754,0.6367034569010309,,,,-1.0351009188558888,0.3551905336938682,0.0,inf,0.9999998405773708,-0.6335686076055405,0.5306945770924429,0.0,inf,0.9999999271130563
