variable,coef_2006,odds_ratio_2006,OR_lower_CI_2006,OR_upper_CI_2006,pvalue_2006,coef_2007,odds_ratio_2007,OR_lower_CI_2007,OR_upper_CI_2007,pvalue_2007,coef_2008,odds_ratio_2008,OR_lower_CI_2008,OR_upper_CI_2008,pvalue_2008,coef_2009,odds_ratio_2009,OR_lower_CI_2009,OR_upper_CI_2009,pvalue_2009,coef_2010,odds_ratio_2010,OR_lower_CI_2010,OR_upper_CI_2010,pvalue_2010,coef_2011,odds_ratio_2011,OR_lower_CI_2011,OR_upper_CI_2011,pvalue_2011,coef_2012,odds_ratio_2012,OR_lower_CI_2012,OR_upper_CI_2012,pvalue_2012,coef_2013,odds_ratio_2013,OR_lower_CI_2013,OR_upper_CI_2013,pvalue_2013,coef_2014,odds_ratio_2014,OR_lower_CI_2014,OR_upper_CI_2014,pvalue_2014,coef_2015,odds_ratio_2015,OR_lower_CI_2015,OR_upper_CI_2015,pvalue_2015,coef_2016,odds_ratio_2016,OR_lower_CI_2016,OR_upper_CI_2016,pvalue_2016
subject_race_black,0.012031786427916186,1.0121044595402264,0.9664969681949308,1.0598640975918858,0.6090440488981127,0.07098815905797592,1.0735685137305657,1.0209693641036153,1.1288775101352473,0.005611953063955638,0.08273190491955308,1.0862505510787583,1.026058182342136,1.1499740268388197,0.004449623321084462,0.004275346140479696,1.004284498471269,0.9430467157056146,1.0694988244723749,0.8940443551475428,-0.012486082104110341,0.9875915455945429,0.9305131692572013,1.0481711523850847,0.6810205411159507,0.018545705187706554,1.0187187448370107,0.9634786217360319,1.0771260074378914,0.514407330438156,0.08017002755148421,1.0834712719820898,1.0228054322116977,1.1477353954525287,0.006391782641820521,0.02778917121594432,1.028178891863609,0.962925895141436,1.0978537798265389,0.4061565481701679,-0.10739997379298431,0.8981663581318394,0.8347459864756911,0.9664051339566446,0.004045510536738208,0.03257296455631677,1.0331092707535596,0.9533599810143863,1.1195296494208997,0.42679473068318285,-0.04911588989540874,0.952070787920846,0.8876654081717618,1.021149159207549,0.16933436485063313
subject_race_hispanic,-0.5430527284408148,0.5809719928086149,0.5567461740087659,0.6062519549935855,8.030710357966747e-138,-0.46726738208104435,0.626712496316065,0.5994042222786556,0.6552649087882475,6.730906916474659e-94,-0.4103536528474045,0.663415589832266,0.6287530217121621,0.699989073029023,8.85601302342105e-51,-0.4498823695940448,0.6377031604916724,0.6031770734939619,0.6742055339494576,1.6176260396912606e-56,-0.5075887911432504,0.6019452460932757,0.5706652122105843,0.6349398413313231,1.4418916293061044e-77,-0.548218253067792,0.5779787052781378,0.5495341515849798,0.6078955835437893,1.367367825817718e-100,-0.4466105866840121,0.6397930036862293,0.607589634176531,0.6737032110836142,1.951201248310132e-64,-0.3729785596736322,0.6886799982095927,0.650526522423324,0.7290711809369261,1.1696773109491027e-37,-0.37111084902116503,0.689967455102609,0.647550514870622,0.7351628609173213,2.0004485002553394e-30,-0.26431879413706144,0.7677287532151597,0.716125297817237,0.8230507151609195,9.670968254852414e-14,-0.3209894925626374,0.7254308733695581,0.6822840496435286,0.7713062503991827,1.0693195372559429e-24
subject_race_asian/pacific islander,-0.709408506265824,0.49193508794467544,0.36700384133618424,0.6593939994471549,2.076245189049457e-06,-0.19883043026623254,0.8196888759734389,0.6232611449940184,1.0780230065537744,0.15488807983250197,0.21117847774280782,1.2351327791008986,0.9424222227977266,1.618757437065383,0.1259551931295519,-0.09978046916617857,0.9050360795541803,0.6824888678982765,1.2001518908538218,0.4883502206886,-0.15563710050308838,0.8558697287144785,0.6584157211610876,1.1125387334889878,0.24481472839341256,-0.048355919717048425,0.9527946083334807,0.7640594238962878,1.1881504726948784,0.6676842904557729,0.037764422539972926,1.0384865600338407,0.8218822665577178,1.312176182955985,0.7516865400210926,-0.15944710492236824,0.8526150653437544,0.6746105299599169,1.0775883526370804,0.18202998865485254,-0.2984401080885938,0.7419747188035092,0.5524878069126797,0.9964500147431432,0.047300318890284146,-0.16773658531728164,0.8455765426277903,0.6142389498888428,1.1640415990743649,0.3036949723778706,-0.016728966933814038,0.9834101851958583,0.7345149662933261,1.3166451831843897,0.9105386935747801
subject_sex_female,-0.05490092836639531,0.9465789224283927,0.9059219108655394,0.9890605863916309,0.014244278412124292,-0.035171906967932896,0.9654394362252089,0.9220987326540434,1.010817249836247,0.13339421543093252,-0.06108957155024196,0.9407389725539486,0.8921057164461734,0.9920234767773242,0.024091314404129725,0.04952289010185965,1.0507696441637335,0.9893062666605542,1.1160516033351056,0.10731964805553881,-0.02609571758658942,0.9742418330686593,0.9200903879037763,1.031580333605489,0.3711263013907721,0.01362332723322087,1.0137165475984937,0.961625806174354,1.0686290158572234,0.6127487514245464,0.07613929146914525,1.079112874906954,1.0225498056621811,1.138804770527394,0.005575799936311379,0.05611272568628233,1.057716908881063,0.9965211003332104,1.1226707181200932,0.06498585432488527,0.07078262830648988,1.0733478850609317,1.0056806159430418,1.1455681496699193,0.033133750746900906,0.021659205940963887,1.0218954692170596,0.952324709571249,1.0965486241310498,0.5471251352110091,0.09283253738622292,1.0972779668449735,1.0321131616997423,1.1665570997472718,0.0029602353009477883
const,-2.164955429507837,0.11475504917231817,0.0,inf,0.999996117691295,-2.158880304949351,0.11545432232482651,0.0,inf,0.9999953513450074,-2.399428612788206,0.09076980317957362,,,,-2.3000489649073503,0.10025393467799623,,,,-2.36684962428381,0.09377569006748,,,,-2.171468502035233,0.11401006989969788,0.0,inf,0.9999967028294131,-2.2261001401595304,0.10794859470112747,0.0,inf,0.9999964886044098,-1.9896437054959315,0.13674413795182522,0.0,inf,0.9999986807453429,-1.947077461033097,0.14269048129511722,0.0,inf,0.9999987777031133,-1.8690659786496395,0.15426768385522233,,,,-1.7120311224405793,0.1804988048716929,0.0,inf,0.9999982631391937
daytime,-0.10346584335882952,0.9017068214922042,0.871385568762613,0.9330831506426699,3.054056042124828e-09,-0.12595853234500853,0.881651406041726,0.8502239310697662,0.9142405587164885,1.0353038018548184e-11,-0.06584467330818432,0.9362762816951856,0.8978327445673004,0.9763658999621757,0.0020835366631100465,-0.07557785568380825,0.9272075393467801,0.8835225170175327,0.9730525305949285,0.0021450929685707452,-0.10690779527580269,0.8986085251217881,0.857877359263873,0.9412735663224078,6.266853150716567e-06,-0.1113359316574795,0.8946381611630606,0.8564957779309783,0.9344791416750239,5.489332140614555e-07,-0.018459345081500912,0.9817099851199411,0.9386985140811879,1.0266922557425504,0.4193479111198464,-0.07979389370797633,0.9233066260821436,0.8784434591653714,0.9704610090411123,0.0016906065131302077,-0.05246051565782084,0.94889178668414,0.8979053030483396,1.002773477091432,0.06264859582297158,-0.026482098148223235,0.9738654776749174,0.9167661686556859,1.0345211254879927,0.39031727373782743,-0.04119424728012292,0.9596427038568905,0.9096931646050571,1.0123348782834685,0.13092795171561453
county_type_Micropolitan,0.04509772251206363,1.046130085373659,0.999861039124961,1.094540253795332,0.05070797893114074,0.01584852969438494,1.0159747837396327,0.9678905352651713,1.0664478301898075,0.5217400122212996,0.1386803165363888,1.148756802743755,1.086856093379677,1.2141829998362599,9.244371554368362e-07,0.06961738740975888,1.072097904614441,1.0060470147688767,1.1424852916468622,0.031889953152432884,0.09707060070859708,1.1019381684903173,1.0390931975127056,1.1685840404714491,0.0011956557729031999,0.08866472238381794,1.0927142322799053,1.032543932278778,1.1563908867217927,0.0021535892531691185,0.05384978303780202,1.0553260623724778,0.9946517791055252,1.119701508928224,0.07467430992079814,0.014647106750794791,1.0147549012684667,0.9499458969998793,1.0839854279074868,0.6635739423267482,0.02294427586700399,1.0232095204951608,0.9496910549766978,1.1024192734526974,0.5464322411920164,-0.02254707638553319,0.977705209282561,0.8973974910858323,1.065199630881103,0.606135928567058,-0.15327305956372062,0.8578954332727591,0.7953176607542167,0.9253969963804214,7.299822683603201e-05
county_type_Non core,0.10046580777847781,1.105685835202726,1.0591942660221794,1.1542180744229495,4.565184048037171e-06,0.0487437941165928,1.0499513125733468,1.0025705771641038,1.0995712260904003,0.03855244602341093,0.04311172666619723,1.044054537067223,0.9901697405981161,1.100871731055126,0.11080768520108891,0.0046718527023452356,1.0046827828208538,0.9440121673815187,1.0692526314533348,0.8831280185259673,-0.07159180374362197,0.9309108125743449,0.8768177553208537,0.9883410043980169,0.019082088284045475,0.060746008722504276,1.0626289814158678,1.0049197234428084,1.1236522936144644,0.03298825319056627,0.03228229658486972,1.032809022615919,0.9741678641901567,1.0949801532240155,0.2790627300435077,-0.010595680105210914,0.9894602563772253,0.9278900834646607,1.055115919866786,0.7465114662421253,-0.06650263999123478,0.9356604457176948,0.8706430897669875,1.0055331282936353,0.07032670450283972,0.08408739519531763,1.087723951502166,1.0084222780180467,1.173261857122828,0.029472166681551743,0.04042100796345875,1.0412490560703835,0.9734351826960324,1.113787148893323,0.23944095744538318
county_region_Alamo,-0.3003247472542644,0.7405776810580476,0.0,inf,0.9999994614423167,-0.35561429403657735,0.7007428488131283,0.0,inf,0.9999992342659482,-0.33873615059729223,0.7126704619602748,,,,-0.44644474022023817,0.6398991198926935,,,,-0.3455321681455733,0.7078435614228921,,,,-0.36587866656714463,0.6935869513903332,0.0,inf,0.9999994444476737,-0.3469185682203961,0.7068628870169873,0.0,inf,0.9999994527791861,-0.2854278469935291,0.7516925761010174,0.0,inf,0.9999998107439964,-0.14701096031229896,0.863284515496574,0.0,inf,0.9999999077124343,-0.14634418889415282,0.8638603208811889,,,,-0.2414480821590377,0.7854895836536562,0.0,inf,0.9999997550501827
county_region_Capital_Region,-0.019435641775933075,0.9807520126153637,0.0,inf,0.9999999651470141,-0.019936499029272556,0.9802609188503213,0.0,inf,0.9999999570713088,0.10855248794997412,1.1146634134004083,,,,-0.17245331079106094,0.8415975814198172,,,,-0.026653444575455824,0.9736986236000457,,,,-0.22906370201916795,0.7952778710852741,0.0,inf,0.9999996521883232,-0.19507885475465597,0.8227697761890904,0.0,inf,0.9999996922874143,-0.20515802773743835,0.8145185897106544,0.0,inf,0.9999998639677633,-0.09656074296897958,0.9079547440578187,0.0,inf,0.9999999393830509,0.09904375526211473,1.1041146093261067,,,,0.07453087391495787,1.0773786059042385,0.0,inf,0.9999999243882006
