variable,coef_2006,odds_ratio_2006,OR_lower_CI_2006,OR_upper_CI_2006,pvalue_2006,coef_2007,odds_ratio_2007,OR_lower_CI_2007,OR_upper_CI_2007,pvalue_2007,coef_2008,odds_ratio_2008,OR_lower_CI_2008,OR_upper_CI_2008,pvalue_2008,coef_2009,odds_ratio_2009,OR_lower_CI_2009,OR_upper_CI_2009,pvalue_2009,coef_2010,odds_ratio_2010,OR_lower_CI_2010,OR_upper_CI_2010,pvalue_2010,coef_2011,odds_ratio_2011,OR_lower_CI_2011,OR_upper_CI_2011,pvalue_2011,coef_2012,odds_ratio_2012,OR_lower_CI_2012,OR_upper_CI_2012,pvalue_2012,coef_2013,odds_ratio_2013,OR_lower_CI_2013,OR_upper_CI_2013,pvalue_2013,coef_2014,odds_ratio_2014,OR_lower_CI_2014,OR_upper_CI_2014,pvalue_2014,coef_2015,odds_ratio_2015,OR_lower_CI_2015,OR_upper_CI_2015,pvalue_2015,coef_2016,odds_ratio_2016,OR_lower_CI_2016,OR_upper_CI_2016,pvalue_2016,coef_2017,odds_ratio_2017,OR_lower_CI_2017,OR_upper_CI_2017,pvalue_2017
subject_race_black,0.13300191182431043,1.1422521821142972,1.1327799905517364,1.1518035791834402,4.0182734222179345e-215,0.1219508712086726,1.1296985996901876,1.1197312047755112,1.1397547203284673,3.2691097087382005e-160,0.1297020096205373,1.138489073980503,1.1280585449338059,1.1490160483195855,6.4397386583925225e-168,0.23016267684653333,1.258804771664685,1.2472554478720377,1.2704610397727853,0.0,0.269051594928855,1.3087226627572386,1.2968780914844673,1.3206754121768665,0.0,0.31294919851271924,1.3674520606645544,1.3552925772729911,1.3797206371322766,0.0,0.32956872328907766,1.3903683656455028,1.3778653860291612,1.4029847993778064,0.0,0.40396606781223066,1.49775312405564,1.4833142315387153,1.5123325677873258,0.0,0.3813615412807629,1.4642769062699919,1.4489212054418905,1.4797953471746665,0.0,0.44830337748635707,1.5656536076670726,1.5485637105127386,1.5829321083530297,0.0,0.43559376695444113,1.5458806793609543,1.5298029279269165,1.5621274029458856,0.0,0.4577868569854198,1.5805720792584834,1.565637560934961,1.5956490570139463,0.0
subject_race_hispanic,0.2594572755386478,1.2962264019538003,1.2874035143507392,1.305109754939151,0.0,0.28622600726792996,1.3313933258196522,1.3220533128763001,1.3407993238794382,0.0,0.2298611020428045,1.2584252050994704,1.2490644224888983,1.2678561396169457,0.0,0.43991767674545673,1.552579399861051,1.5422342233720034,1.5629939709173881,0.0,0.4613797671036991,1.586261146708709,1.5756943959138716,1.5968987591012334,0.0,0.48660594380082545,1.6267854381714995,1.6160656349264173,1.637576348789407,0.0,0.5308573980252465,1.7003895944727196,1.6889378275197187,1.7119190096163226,0.0,0.5796407773235033,1.7853969604668873,1.7724991404684716,1.7983886331261667,0.0,0.5553852284884404,1.742612159336073,1.7290730450501628,1.756257288585418,0.0,0.624749468836716,1.8677779622253459,1.8525528724623095,1.8831281784351024,0.0,0.6658464839306575,1.9461371981608686,1.9311651592046566,1.9612253131292423,0.0,0.6432458832253332,1.9026466360280028,1.8890792634156952,1.9163114495487812,0.0
subject_race_asian/pacific islander,0.3785372109642239,1.4601471392700824,1.4250954729197889,1.4960609368510753,9.316819086506759e-205,0.3093763761965172,1.3625751148441807,1.3291692040186194,1.3968206139439145,8.557863588092491e-132,0.2557951311068451,1.291488115094497,1.2615491052932992,1.3221376357304417,2.2735011554429567e-101,0.32960795247435726,1.3904229097335785,1.3610342222184113,1.4204461844911271,7.061704498857544e-201,0.30448322066782774,1.3559241083626936,1.3278139634268697,1.3846293519117854,1.710451674212297e-178,0.30636393100744685,1.3584766083572315,1.3319228990092633,1.385559702311967,3.1584247439306e-203,0.2999331241680696,1.3497685376637292,1.323294890669422,1.3767718126269202,1.509390892961604e-193,0.3157130900100795,1.3712367776523064,1.3426185898619298,1.4004649679248395,3.3416428501856506e-189,0.27264836613269644,1.3134383142203825,1.283761675251532,1.343800986210366,6.425255436545659e-121,0.33431526558712293,1.3969834949787816,1.3643267640946892,1.4304219022912064,6.777881562915895e-169,0.27050109257738125,1.3106210286855737,1.2785391107473856,1.3435079665484093,1.565982111022658e-101,0.20773484071028847,1.230886745218481,1.2037928984671895,1.2585903949788426,9.440249583601225e-75
subject_sex_female,-0.0816178445657379,0.9216240950629252,0.916723057729675,0.9265513346027627,9.405788939269743e-198,-0.06352371877974838,0.9384518601037103,0.9331702663999499,0.943763346778835,7.653726240990833e-108,-0.06121774943846236,0.9406183983467187,0.9352061081560621,0.9460620109216629,5.067175252627826e-96,-0.09110306154198225,0.9129236187348485,0.9076312881213942,0.9182468085349446,3.948249119844836e-207,-0.08781515062325383,0.9159301701970509,0.9106318723472104,0.9212592949495709,2.003100751466688e-193,-0.11672209806775576,0.8898324449617723,0.8847315580849234,0.8949627408121031,0.0,-0.13600067393175075,0.8728420442525541,0.8677419411835958,0.8779721228823093,0.0,-0.13449123354399364,0.8741605421329174,0.8687418494161802,0.8796130334179842,0.0,-0.13446778304684903,0.8741810418725782,0.868381183091298,0.8800196375156626,0.0,-0.1107215537867163,0.8951879759313384,0.8890167957614395,0.9014019938348671,5.070734002153932e-216,-0.11436143247346775,0.8919355231547816,0.8861029761934013,0.8978064613697417,8.058585877402215e-256,-0.12985996270323721,0.8782184056413299,0.8729774366976041,0.8834908390356985,0.0
const,-0.4030576823448612,0.6682735506263725,0.0,inf,0.9999903457119569,-0.4255025967786561,0.6534412851003016,0.0,inf,0.9999972441787445,-0.5587181026837061,0.5719417647381223,,,,-0.7099215306108276,0.49168277799450566,,,,-0.7782863220712997,0.4591922450524801,,,,-0.8037642574875085,0.4476407536226296,0.0,inf,0.9999802392159761,-0.7362162606482247,0.4789226098745965,,,,-0.7288691035493222,0.4824542875360019,,,,-0.7224857134415384,0.485543831854868,,,,-0.7347504049792827,0.4796251560871412,0.0,inf,0.9999724630560193,-0.7287784223631801,0.48249803904674443,0.0,inf,0.9999906530122683,-0.7339622339727626,0.48000333174313314,,,
daytime,0.40868573111288103,1.504838722174615,1.4971881255828696,1.5125284131374748,0.0,0.38968753315475463,1.4765193584488816,1.4686151132189476,1.484466145180733,0.0,0.36382809803435007,1.4388268557332253,1.4309333825763493,1.4467638717406888,0.0,0.3727756010891985,1.4517585302455502,1.443626355090768,1.4599365152267567,0.0,0.3047901712319365,1.356340373915849,1.3487229163481111,1.3640008541527306,0.0,0.29396121084444105,1.3417318580118156,1.3341911379462807,1.3493151975023259,0.0,0.27475918710482494,1.3162136754745226,1.3084682951732736,1.324004903975711,0.0,0.2703179973214555,1.3103810821601105,1.3021255409161805,1.3186889639496244,0.0,0.2712112509259994,1.311552107718613,1.3026587450190759,1.3205061861661602,0.0,0.1374787379186118,1.1473773100829694,1.139387396962983,1.1554232521811902,0.0,0.1453501241742551,1.1564443985339135,1.1487378215983268,1.1642026768472624,0.0,0.1190734802536222,1.126452687276527,1.119607932759341,1.1333392873925425,0.0
county_type_Metropolitan,0.015095711780829262,1.0152102275446206,0.0,inf,0.9999996944398024,0.02043063806470595,1.0206407721687478,0.0,inf,0.999999829786735,0.08119474102591506,1.0845820886308424,0.0,inf,0.999999472767509,-0.047177543225356125,0.9539180208728206,,,,-0.11388637011575439,0.8923593488111767,0.0,inf,0.9999982910094538,-0.1144597997584962,0.8918477901940458,0.0,inf,0.9999983063513626,-0.11437287380967844,0.8919253182789618,0.0,inf,0.9999972797317279,-0.09659495591251804,0.9079236807848108,0.0,inf,0.9999963792323127,-0.06408349578518255,0.9379266833363701,,,,-0.05520581234494979,0.9462903696702986,,,,-0.02978834379371335,0.9706509561072597,0.0,inf,0.9999983460424224,0.0049305657056667295,1.0049427409468066,,,
county_type_Micropolitan,-0.22601487411970844,0.7977062363993794,0.0,inf,0.9999954251147212,-0.22130895130805256,0.8014690271314856,0.0,inf,0.9999981562142567,-0.323456109080861,0.7236437186133133,0.0,inf,0.9999978996599045,-0.361877247766244,0.6963678433037931,,,,-0.3519846296830377,0.7032909316978032,0.0,inf,0.9999947034037426,-0.4069644529914616,0.665667852381793,0.0,inf,0.9999939781932807,-0.37341502963011297,0.6883794756700458,0.0,inf,0.999991118619096,-0.3840380013932062,0.6811055437281645,0.0,inf,0.9999856047101741,-0.4154892676241667,0.6600172766088676,,,,-0.48111938832400647,0.6180911204347954,,,,-0.46423406906137904,0.6286163975951823,0.0,inf,0.9999742240299939,-0.4522191530883103,0.6362147260238497,,,
county_type_Non core,-0.19213795436600134,0.8251930216588974,0.0,inf,0.9999961108351725,-0.2246248072132111,0.7988158724952344,0.0,inf,0.9999981285889492,-0.3164531881808686,0.7287291238972916,0.0,inf,0.9999979451328918,-0.300866984023541,0.740176221461786,,,,-0.3124156688044708,0.7316773295689057,0.0,inf,0.9999952812880302,-0.2823406313790298,0.7540167990018808,0.0,inf,0.9999958222377934,-0.2484292380967128,0.7800250549397889,0.0,inf,0.9999940913072153,-0.248236675156228,0.7801752733208024,0.0,inf,0.999990695090404,-0.2429172572369582,0.7843364092483593,,,,-0.19842571424684377,0.8200206843320101,,,,-0.23475327303746954,0.7907659288377903,0.0,inf,0.9999869656414109,-0.2866738010514097,0.7507565849076445,,,
county_region_Alamo,0.04882406348872261,1.050035594888573,0.0,inf,0.9999984043490622,-0.03959335763048864,0.9611802162943482,0.0,inf,0.9999994679795898,0.10187970023109127,1.1072502617649156,0.0,inf,0.9999993752658333,0.011541489164335225,1.011608349123984,,,,-0.01943362168657988,0.9807539938240636,,,,-0.050997354543419686,0.9502811844567143,0.0,inf,0.9999989331238148,-0.13599696215407633,0.8728452840541799,0.0,inf,0.999997612685866,-0.16430741689585093,0.8484811443435979,0.0,inf,0.9999956812841673,-0.03590020684226408,0.9647365627875181,,,,0.005646484148402711,1.005662455586696,,,,-0.012494692463276294,0.9875830421132351,,,,-0.016935740779196518,0.9832068627118874,0.0,inf,0.9999996360525584
