variable,coef_2006,odds_ratio_2006,OR_lower_CI_2006,OR_upper_CI_2006,pvalue_2006,coef_2007,odds_ratio_2007,OR_lower_CI_2007,OR_upper_CI_2007,pvalue_2007,coef_2008,odds_ratio_2008,OR_lower_CI_2008,OR_upper_CI_2008,pvalue_2008,coef_2009,odds_ratio_2009,OR_lower_CI_2009,OR_upper_CI_2009,pvalue_2009,coef_2010,odds_ratio_2010,OR_lower_CI_2010,OR_upper_CI_2010,pvalue_2010,coef_2011,odds_ratio_2011,OR_lower_CI_2011,OR_upper_CI_2011,pvalue_2011,coef_2012,odds_ratio_2012,OR_lower_CI_2012,OR_upper_CI_2012,pvalue_2012,coef_2013,odds_ratio_2013,OR_lower_CI_2013,OR_upper_CI_2013,pvalue_2013,coef_2014,odds_ratio_2014,OR_lower_CI_2014,OR_upper_CI_2014,pvalue_2014,coef_2015,odds_ratio_2015,OR_lower_CI_2015,OR_upper_CI_2015,pvalue_2015,coef_2016,odds_ratio_2016,OR_lower_CI_2016,OR_upper_CI_2016,pvalue_2016
subject_race_black,0.43806155846641776,1.5497003016572943,1.5170936264876704,1.5830077874077912,0.0,0.3481722549375288,1.4164762237499895,1.3840466161384626,1.4496656897633755,8.355114598519781e-191,0.3735495939736561,1.4528826159789738,1.41630898542236,1.4904006947215835,2.3617424649911087e-181,0.5853008837770804,1.7955311505668414,1.7459095776847842,1.8465630487754567,0.0,0.6341278010835978,1.885377000341173,1.835964706787574,1.9361191532026336,0.0,0.617122934464229,1.853587470314699,1.8067264417621152,1.901663932452715,0.0,0.5339482335251414,1.7056533495049233,1.6603298282831853,1.7522141077749538,0.0,0.4817367706229135,1.6188835914916586,1.5691878806401056,1.6701531506423926,1.9075898064821716e-201,0.5148641126539328,1.6734110909547222,1.6161368515808883,1.7327150708747499,1.3069486982596898e-184,0.4547855944648765,1.5758354789619005,1.516634199736883,1.637347659169163,7.403083849485966e-120,0.5433986855184532,1.7218489519463394,1.665021523556771,1.7806159087874518,5.137832259348905e-221
subject_race_hispanic,0.29538644563286975,1.3436455043063014,1.3196050304216609,1.3681239458943641,1.2497805399341533e-225,0.27846812488745404,1.3211044943704018,1.2962843379505768,1.3463998861584785,4.171921020823357e-182,0.3249042658573581,1.3838981533356045,1.355190955831612,1.4132134593758787,1.04165954449507e-202,0.30519205638641744,1.356885576523628,1.3254215509879737,1.3890965228424632,2.2044044465605063e-143,0.3356236932823304,1.398812543201093,1.3678369702474027,1.4304895784932632,1.124477360466293e-189,0.2825477376708618,1.3265050978490545,1.2978732076810282,1.3557686253216665,4.336234735405473e-142,0.212412255943309,1.2366575994501066,1.2082944215124893,1.2656865669903223,5.449292584284468e-72,0.17605237811034646,1.1925005179386223,1.161569657586921,1.224255020777752,2.2186229687457894e-39,0.12590449110265395,1.1341738394171206,1.1013345481289996,1.1679923236799268,4.5155749269586105e-17,0.08858418997706231,1.0926262369161703,1.0580915357365805,1.1282881048344426,6.449856100382778e-08,0.02880836396545932,1.0292273385292643,0.9998340965887035,1.0594846864997394,0.05132641964168861
subject_race_asian/pacific islander,-0.5238566395956509,0.5922321121570014,0.5340742204819319,0.6567230943172043,2.9832605390640837e-23,-0.4976712463140154,0.6079447661358053,0.5478621075345487,0.6746165387037868,7.011839427041702e-21,-0.5453630011507928,0.5796313383034223,0.519283319966724,0.6469926443332431,2.4232387865151847e-22,-0.4716115290165339,0.62399587012968,0.5566598898637567,0.6994771008814658,5.735023010357636e-16,-0.4447496464034735,0.640984728778688,0.5754210505100374,0.7140187557672975,6.55978107960976e-16,-0.40015511896120765,0.670216074750589,0.6086690625017928,0.7379865587513149,3.8854135616482304e-16,-0.5246659629465218,0.591752998784469,0.5337958017357219,0.6560029330162827,1.9336374077816866e-23,-0.3105962279352759,0.7330097849997443,0.6602467766228055,0.8137916971798094,5.783477974770538e-09,-0.5059275214818599,0.602946070557914,0.5306447992928064,0.6850985150249779,8.297544855379339e-15,-0.5469390641432325,0.5787185223185614,0.5027561658978797,0.6661581712806033,2.569980232016302e-14,-0.42337187910130325,0.6548350683495712,0.5743749501099347,0.7465662746230732,2.4607976771770597e-10
subject_sex_female,-0.7880186659408831,0.4547449048472084,0.44616075524221865,0.46349421381140904,0.0,-0.7083375345550466,0.4924622187280974,0.48279705488398234,0.5023208704802032,0.0,-0.6771884082403082,0.5080433968205007,0.49708518055462847,0.5192431863788932,0.0,-0.729542928648991,0.4821293072298571,0.4700442039588447,0.49452512536521825,0.0,-0.7012620022105914,0.4959590073171676,0.48427420686731465,0.507925744239409,0.0,-0.6777205659851726,0.5077731095162752,0.4963121984260927,0.519498677577279,0.0,-0.643568911026095,0.5254139184005515,0.5128960909522765,0.5382372580310968,0.0,-0.6491966460242761,0.5224653328147345,0.5085030256705548,0.5368110123499266,0.0,-0.5955416133323559,0.551263913112985,0.5352936028722538,0.5677106923565524,0.0,-0.6373362737504333,0.5286988590615023,0.5121564784989531,0.5457755496760852,0.0,-0.5574204450858311,0.5726844310737678,0.5567771385910105,0.58904619974923,0.0
const,-2.608962524252753,0.07361087365715657,,,,-2.673133616964367,0.06903555501944496,0.0,inf,0.9999846470273779,-2.7579977125142467,0.0634186236333601,0.0,inf,0.9999691256237451,-3.0444110588047923,0.047624351672452034,,,,-3.00198787763651,0.049688196073638474,,,,-3.024758534685376,0.04856954771530832,,,,-3.1136364609160734,0.044439060250349896,,,,-3.202243776385265,0.04067084524028678,,,,-3.2520322771741217,0.038695487911643074,,,,-3.3735487825130663,0.03426781229299582,,,,-3.391570432757487,0.0336557812345715,0.0,inf,0.9999882806076352
daytime,-0.4048346854314745,0.6670870809565537,0.6570642639101307,0.6772627854252027,0.0,-0.4285457597452407,0.6514557794216101,0.6411280660892331,0.6619498583653484,0.0,-0.438059292071611,0.64528752128908,0.6340208170825732,0.6567544375710531,0.0,-0.394021083701455,0.6743398385107292,0.6605951250497246,0.6883705322052556,8.763516931556104e-308,-0.31120427281441393,0.7325642176298238,0.7182448182017893,0.7471690979896846,1.2578221362954675e-209,-0.31379585532160853,0.7306681749547317,0.7167719722307023,0.7448337861623912,4.1743835090079533e-225,-0.38445589804827696,0.6808209714647303,0.6670424211513897,0.6948841340346791,2.467098972401776e-297,-0.416528512247999,0.6593317134981064,0.6443398295611191,0.674672414276252,6.0705317132445614e-276,-0.43389787405754576,0.6479784275139526,0.6316801099896089,0.6646972666756304,2.3700135558628572e-244,-0.23678930563199113,0.7891575415521297,0.7675266441187293,0.8113980539446455,1.3433723582030754e-62,-0.19321098120428412,0.8243080422881146,0.8038601365322502,0.8452760843597372,2.340213596140599e-51
county_type_Metropolitan,-0.9471844165506467,0.3878314594657485,0.0,inf,0.9999848828683761,-0.929555202173846,0.3947292460403233,0.0,inf,0.9999979336187267,-1.0118950113913971,0.3635294340109687,,,,-1.0329698166056576,0.3559482881788435,,,,-1.0568647872899253,0.3475437275248464,,,,-1.0496240609627034,0.350069329103148,0.0,inf,0.9999446123933714,-1.0719706653584582,0.3423332280190287,,,,-1.141454154952866,0.3193542933771813,,,,-1.1360582183220507,0.3210821664614447,,,,-1.121755523319961,0.32570750531533577,0.0,inf,0.9999986425597018,-1.0979648799245323,0.3335492061192837,0.0,inf,0.9999954454514182
county_type_Micropolitan,-0.8256792377918639,0.4379374277663847,0.0,inf,0.9999868220997951,-0.8601800913492038,0.4230858813491859,0.0,inf,0.9999980885409444,-0.8586580695156745,0.4237303175966711,,,,-0.9594072936209593,0.3831198962997068,,,,-0.8459165946465924,0.4291638086260733,,,,-0.8902265762763957,0.4105627184410883,0.0,inf,0.9999450825102344,-0.944776796955247,0.3887663350480622,,,,-0.9468150402086695,0.3879747416924529,,,,-0.9553239107838224,0.3846875199343306,,,,-1.1218151827688592,0.3256880743646923,0.0,inf,0.9999986424875078,-1.1484330619973755,0.31713330848742505,0.0,inf,0.9999952348253492
county_type_Non core,-0.8360964033631164,0.43339904067742635,0.0,inf,0.9999866558410809,-0.8833956919329231,0.4133768253635526,0.0,inf,0.9999980363334913,-0.8874422663834621,0.4117074451771717,,,,-1.052035397588205,0.34922621103768114,,,,-1.0992062655682708,0.33313539982306545,,,,-1.084909320488328,0.33793242805293805,0.0,inf,0.9999413008399881,-1.0968858763638687,0.3339093011373095,,,,-1.1139711334721112,0.3282528335736074,,,,-1.1606480587225523,0.3132830892434467,,,,-1.1299776964708865,0.3230404612842388,0.0,inf,0.9999986326100213,-1.1451730361309225,0.318168858318694,0.0,inf,0.9999952493059805
county_region_Alamo,-0.12585200081475612,0.8817453347182548,0.0,inf,0.9999987939522874,0.007630853833495562,1.0076600429974534,0.0,inf,0.9999999760156059,-0.09610202292797451,0.9083713366376212,,,,-0.36314488008592977,0.6954856641767484,,,,-0.25982740005629495,0.7711846807496293,,,,-0.2918182891490585,0.7469042442489449,0.0,inf,0.9999972504485213,-0.3750014433020511,0.6872882868256622,0.0,inf,0.999997041378594,-0.3831243340780837,0.681728131977574,,,,-0.3337276750825154,0.7162488080683609,,,,-0.28157116452736125,0.7545972132104232,0.0,inf,0.9999996821270402,-0.1726256103517559,0.8414525870178513,,,
