geoid,County Name,State,metro code,Metropolitan Status,Total Population,"Total population, MOE",Disabiltiy Population,"Disability Population, MOE",Disabitiy Rate,"Disability Rate, MOE",Male Disabiltiy Rate,Female Disability Rate,Vision Disabiltiy Rate,Hearing Disabiltiy Rate,Cognative Disabitliy Rate,Mobility Disabiltiy Rate,Self Care Disabiltiy Rate,Independent Living,Disability Employment Rate,Disability Unemployment Rates,Out of the Labor Force Disability Rate,Veteran Disability Rate ,Disability Poverty Rate ,Disability Rate-Black/African America,Disability Rate-White,Disability Rate-Asian,Disability Rate-American Indian/Alaskan Native,Disability Rate-Native Hawaiian Pacific Islander,Disability Rate-Other race,Disability Rate-Two or more races,Disability Rate- Hispanic (of any race),,,,
0500000US01001,Autauga,Alabama,,Metropolitan,54170,270,10201,791,18.8,1.4,19.2,18.5,2.8,5.1,8.2,10.5,4,8.5,34.3,4.1,61.6,32.1,23.6,24.7,17.3,5.3,41.4,54.8,11.1,30.2,16.1,,,,
0500000US01003,Baldwin,Alabama,,Metropolitan,200929,427,27471,1447,13.7,0.7,14.3,13.1,2,4.4,4.6,7.8,2.1,5.6,28.8,4.8,66.4,31.4,16.7,14.7,13.4,15,41.8,,1.4,15.5,4.5,,,,
0500000US01005,Barbour,Alabama,,Micropolitan,23326,241,5144,368,22.1,1.6,20.4,23.6,5.2,5.5,9.8,13.8,5.1,10.6,25.7,5.3,69,45.9,33.6,22.3,23.2,4.2,0,,11.6,12.7,12.4,,,,
0500000US01007,Bibb,Alabama,,Metropolitan,20553,190,3260,377,15.9,1.8,15.2,16.5,2.4,2.8,5.2,10.8,4.1,8.7,21,6.6,72.4,37.4,18.9,18.1,15.3,,6.1,,,22,3.3,,,,
0500000US01009,Blount,Alabama,,Metropolitan,57207,155,8425,510,14.7,0.9,15.3,14.2,2.1,4.5,5.6,9.2,3.1,6.6,20.9,4.8,74.2,34.8,18.1,16,14.6,14.3,37.3,,2.6,19.2,2.3,,,,
0500000US01011,Bullock,Alabama,,Non core,10113,109,1764,301,17.4,3,18.9,15.8,3.4,3.8,8.5,10,2.9,9.5,17.9,13,69.1,36.8,33.6,17.3,20.1,0,0,,0,0,100,,,,
0500000US01013,Butler,Alabama,,Non core,19832,140,3832,316,19.3,1.6,17.7,20.7,4.2,4.1,6.2,13,5,9.4,25.1,5,69.9,41.6,27.3,18.7,19.9,13.4,53.8,,0,20.8,15.6,,,,
0500000US01015,Calhoun,Alabama,,Metropolitan,113964,304,23053,1012,20.2,0.9,20.8,19.7,3.7,4.9,8.6,12.8,4.4,9.2,27.1,7.9,65.1,37.3,24.9,19.8,20.7,5.2,29.5,100,6.6,22.6,10.2,,,,
0500000US01017,Chambers,Alabama,,Micropolitan,33513,89,5763,483,17.2,1.4,16.6,17.8,4,4.4,6.5,10.7,3.3,7.4,31.7,3.2,65.1,34.9,25,16,18.3,9.1,36.7,,0,16.1,10.3,,,,
0500000US01019,Cherokee,Alabama,,Non core,25561,101,5231,488,20.5,1.9,21.4,19.5,3.7,5.7,8.4,12.4,4,9.5,23.4,1.9,74.7,34.8,22,19.8,20.6,44,12.8,,0,16.3,26.7,,,,
0500000US01021,Chilton,Alabama,,Metropolitan,43473,126,7548,618,17.4,1.4,19.1,15.7,3.3,4.5,7.2,10.5,4,8.7,31.7,4.2,64.1,33.3,24.1,12.7,18.5,1.6,60.6,,1.4,17.6,7,,,,
0500000US01023,Choctaw,Alabama,,Non core,13060,43,3528,307,27,2.3,26.1,27.8,6.5,6,10.1,17.2,6,12.9,26.7,1.9,71.4,37.5,30.4,31.7,23.4,0,100,,0,31.5,35.2,,,,
0500000US01025,Clarke,Alabama,,Non core,24341,73,4224,375,17.4,1.5,17,17.7,3.2,4.4,6.5,9.8,4.9,9.7,20.7,5.4,73.9,37.7,29.8,16.1,18.6,20.5,0,0,,0,15.7,,,,
0500000US01027,Clay,Alabama,,Non core,13153,90,2219,313,16.9,2.4,17.8,16,3.3,5.8,5.7,11.3,2.6,6,22.5,5.8,71.7,37.5,27.5,15.6,16.7,0,21.7,,0,46.9,3.6,,,,
0500000US01029,Cleburne,Alabama,,Non core,14758,85,3354,309,22.7,2.1,23.4,22.1,4.5,6.3,7.9,14.9,4.2,10.2,30,5.4,64.6,38.6,20.1,38.4,22.8,0,23.3,,15.7,0,4.3,,,,
0500000US01031,Coffee,Alabama,,Micropolitan,49425,284,8833,578,17.9,1.1,19.4,16.4,3.2,5.4,7.3,10,3.9,7.6,36.8,4.7,58.5,27.9,18.4,15.9,18.6,21.7,18.3,,6.7,12.4,10.9,,,,
0500000US01033,Colbert,Alabama,,Metropolitan,53993,113,10492,648,19.4,1.2,18.3,20.5,3.9,4.9,8.1,12.3,4.5,10,24.3,4.6,71.1,39.6,24,19,19.8,17.2,14.8,36.8,4.8,17.2,8.3,,,,
0500000US01035,Conecuh,Alabama,,Non core,12603,54,2857,375,22.7,3,24.5,21,3.7,5.3,7.1,16.5,4,8.4,17.5,4.3,78.3,33.2,21.5,22.5,23.3,0,76.2,,0,6.4,5.2,,,,
0500000US01037,Coosa,Alabama,,Micropolitan,10563,137,2333,302,22.1,2.9,22.1,22.1,3.7,5.4,10,13.2,5.9,11.9,12.9,1.5,85.5,38.6,19.2,21.9,22.5,,88.9,,,3.5,0,,,,
0500000US01039,Covington,Alabama,,Non core,36970,159,7600,471,20.6,1.3,20.8,20.3,4.5,5.5,7.5,12.4,4,8.2,25.4,6,68.6,42.9,24.4,23.3,19.9,0,68.5,12.5,0,36.1,8.7,,,,
0500000US01041,Crenshaw,Alabama,,Non core,13666,76,2731,262,20,1.9,17.9,22,4.7,4.8,9.2,13.4,4.4,9.7,25.4,2,72.6,35.7,25.6,20.9,19.7,23.2,36.3,,0,19.5,4.7,,,,
0500000US01043,Cullman,Alabama,,Micropolitan,80867,158,13346,763,16.5,0.9,16.5,16.5,3.3,4.9,6.3,10,3.8,7.7,27.8,3,69.1,28.9,21,15.1,16.4,4.2,23.4,0,6,34.1,4.4,,,,
