,county,white,black,hispanic/latino,asian/pacific,multi-races,indian_alaska,total,diversity,diversity_shannon,year
0,Anderson,35769,12356,8783,371,587,150,58016,0.5514645346062098,1.007669595741072,2010
1,Andrews,6901,105,6633,111,269,29,14048,0.5352863649417762,0.8672476512681461,2010
2,Angelina,54720,12698,16012,621,840,193,85084,0.5285467697681747,0.9774903362447649,2010
3,Aransas,16465,247,5618,346,527,44,23247,0.43912763603326677,0.7963460100084493,2010
4,Archer,8213,63,621,107,51,0,9055,0.1724239018920406,0.38868980841722234,2010
5,Armstrong,1739,17,180,1,5,16,1958,0.20269084603970033,0.4253179592922754,2010
6,Atascosa,16275,331,26893,119,365,60,44043,0.49048601471447584,0.7706614038297308,2010
7,Austin,18608,2719,6076,15,238,97,27753,0.49285083222455817,0.8930198912700736,2010
8,Bailey,3505,418,3098,0,0,6,7027,0.5533805579560535,0.8826634247447714,2010
9,Bandera,16518,125,3238,94,208,82,20265,0.3099155494864775,0.5854505129946678,2010
10,Bastrop,42252,5946,22471,520,786,202,72177,0.5534287965457414,0.983712731564177,2010
11,Baylor,3204,40,517,14,20,0,3795,0.2685694005443725,0.5114597292522505,2010
12,Bee,10864,2957,17772,59,147,42,31841,0.563423034032636,0.9584940378980327,2010
13,Bell,152693,59838,61332,9608,9179,1252,293902,0.6430206616467073,1.2346080318356958,2010
14,Bexar,513405,113979,958534,37821,19241,3864,1646844,0.5585781768068332,1.0160689949228412,2010
15,Blanco,7988,229,1776,10,68,0,10071,0.33925520068684145,0.616803489554629,2010
16,Borden,453,0,111,0,0,0,564,0.31671138656891273,0.5001491812907387,2010
17,Bosque,14711,286,2755,4,176,135,18067,0.31336527111028745,0.6034868713176565,2010
18,Bowie,60605,21307,5715,733,1931,592,90883,0.4958440351490052,0.9378039893174306,2010
19,Brazoria,165462,34129,80577,15236,3574,870,299848,0.6075958100485699,1.1497239957549463,2010
20,Brazos,111928,19566,41208,9647,2247,448,185044,0.5704888155777483,1.0983235207805677,2010
