variable,coef_2006,odds_ratio_2006,OR_lower_CI_2006,OR_upper_CI_2006,pvalue_2006,coef_2007,odds_ratio_2007,OR_lower_CI_2007,OR_upper_CI_2007,pvalue_2007,coef_2008,odds_ratio_2008,OR_lower_CI_2008,OR_upper_CI_2008,pvalue_2008,coef_2009,odds_ratio_2009,OR_lower_CI_2009,OR_upper_CI_2009,pvalue_2009,coef_2010,odds_ratio_2010,OR_lower_CI_2010,OR_upper_CI_2010,pvalue_2010,coef_2011,odds_ratio_2011,OR_lower_CI_2011,OR_upper_CI_2011,pvalue_2011,coef_2012,odds_ratio_2012,OR_lower_CI_2012,OR_upper_CI_2012,pvalue_2012,coef_2013,odds_ratio_2013,OR_lower_CI_2013,OR_upper_CI_2013,pvalue_2013,coef_2014,odds_ratio_2014,OR_lower_CI_2014,OR_upper_CI_2014,pvalue_2014,coef_2015,odds_ratio_2015,OR_lower_CI_2015,OR_upper_CI_2015,pvalue_2015,coef_2016,odds_ratio_2016,OR_lower_CI_2016,OR_upper_CI_2016,pvalue_2016,coef_2017,odds_ratio_2017,OR_lower_CI_2017,OR_upper_CI_2017,pvalue_2017
subject_race_black,0.011794396476529573,1.0118642246275833,0.9884987081766761,1.0357820405954263,0.3224278391101768,0.023055939598391098,1.0233237822675392,0.9984916819987816,1.04877344722399,0.06583710287437244,0.14107414605133345,1.1515100247409358,1.1234541848240525,1.1802664986169735,3.6534346360576864e-29,0.23390045060647535,1.2635187034261501,1.2330509974186146,1.2947392421318504,1.0690428771366595e-78,0.3412949344692395,1.4067680840816013,1.3740647567451305,1.4402497645587276,6.709061362121322e-178,0.36753574210798573,1.4441714153377745,1.4116572659643039,1.4774344503897803,1.2456211568561212e-219,0.36089548446604386,1.4346135136453855,1.4019744640068796,1.4680124255985445,1.9153121442786923e-207,0.4153800263724118,1.514946350877718,1.4781478921404796,1.5526609064227495,2.2819468612128842e-240,0.3666078037532226,1.442831934864399,1.4030725718944925,1.4837179729439458,8.116576059646725e-146,0.4995752895187662,1.648021190172121,1.602661612212242,1.6946645645972176,1.2255894597931854e-269,0.5269006644178372,1.6936748987100667,1.6481386750161529,1.7404692372093273,0.0,0.5726194374119665,1.7729049880430279,1.730341499839998,1.8165154664085068,0.0
subject_race_hispanic,0.250027646416986,1.2840609158805423,1.2621935083736078,1.3063071745762225,4.991465233680216e-179,0.23693684935874856,1.2673610805831743,1.245139603824411,1.289979134583416,6.671893348833708e-152,0.16738139627437998,1.1822050679441412,1.160178501922892,1.2046498192790158,3.884143437364652e-68,0.32855680747689103,1.38896214152175,1.366484837250611,1.4118091748916128,0.0,0.33887357738001844,1.4033659168014851,1.3811111115560508,1.4259793292236835,0.0,0.3896294944792052,1.4764336657076647,1.4536291937125312,1.4995958932743199,0.0,0.42841254417164815,1.5348191310650923,1.5102919090603502,1.5597446764771576,0.0,0.48714120277404993,1.6276564227551535,1.5998556788993064,1.6559402610357867,0.0,0.27022169464658496,1.310254895032975,1.2858070033264646,1.3351676305359084,5.746756276954497e-174,0.14309517141274106,1.1538396089863325,1.1318069098300823,1.1763012150770549,6.109435897697148e-48,0.3515841356816377,1.4213173256372016,1.3950932419066786,1.448034353170223,1.0458813060389648e-299,0.393139639891894,1.4816252688769826,1.4567372018743787,1.5069385435823413,0.0
subject_race_asian/pacific islander,-0.25952416269766143,0.7714185682151549,0.7095007692615902,0.8387399044069443,1.2065612159502855e-09,-0.31649852241514254,0.7286960882692947,0.6688510369443338,0.7938957402007659,4.5290797212735933e-13,-0.2041785107280175,0.8153168153977627,0.7540582256735996,0.8815519635457015,2.9990777440107366e-07,-0.209267307761308,0.811178372385343,0.7580176530290242,0.8680673190081223,1.437944924553073e-09,-0.17497636103614939,0.8394768648979218,0.786879300112529,0.8955902215219842,1.15646827989024e-07,-0.1498060872178496,0.860874894886674,0.8112948259978368,0.9134849143585173,7.426447551720244e-07,-0.15647251133745899,0.8551550244477112,0.8073499864528468,0.905790708006504,9.756109269503565e-08,-0.21157597283376056,0.8093077933106141,0.7612560848377541,0.8603926029082458,1.2458963521490686e-11,-0.30424934028273,0.7376769109482465,0.6887013560428888,0.7901352598937808,3.948929315110833e-18,-0.28589750056161883,0.7513396238896654,0.7006300133926023,0.8057194519732006,1.0662821799339953e-15,-0.24287436546619254,0.7843700515473118,0.726824563228749,0.8464716368848186,4.1735932824218904e-10,-0.2130616234658885,0.8081063373687694,0.7564100785190657,0.8633357368454302,2.6730938598726124e-10
county_type_Non core,-0.17576789744286067,0.8388126513060623,0.823292862055936,0.8546250021335682,5.546663034382828e-76,-0.1927475905499431,0.8246901074470844,0.8087308084671997,0.8409643433890122,2.8880859398940768e-83,-0.441604776969917,0.6430037151198008,0.6311956064723254,0.6550327242748222,0.0,-0.23236452741251953,0.7926571253851198,0.7776992771435117,0.8079026648083897,2.6634413048918062e-126,-0.213733204164686,0.8075638109455447,0.7925568689936549,0.8228549070263784,1.7853578122798043e-110,-0.22529263100921715,0.7982825823387033,0.7835150960980635,0.8133284022718954,1.233752241329363e-123,-0.22113563074317966,0.8016079502347638,0.7858307065587988,0.817701956052922,2.1443671172268372e-105,-0.21567164241554593,0.8059999146123346,0.7891787388062161,0.8231796301783156,2.355229373598157e-89,-0.18600334140216412,0.8302708207085806,0.8113797226404574,0.8496017542523281,1.6597146029628967e-56,-0.42398845147504566,0.6544314395830294,0.6389689098648478,0.6702681499876175,1.2091365059239012e-264,-0.40549614220620817,0.6666459775890059,0.6516971989733314,0.6819376546895173,4.876898369478217e-269,-0.42343512884885987,0.654793651506623,0.6413203635484139,0.6685499953269608,0.0
county_type_Micropolitan,-0.15386732526473124,0.8573857668953341,0.8407711697241196,0.8743286874547689,1.3746654033341256e-53,-0.1786712865435735,0.8363807838337964,0.8194723372687552,0.8536381080268436,6.673650466975816e-66,-0.42767780581542014,0.6520214584816324,0.639143858001828,0.6651585194757502,0.0,-0.1655251837584732,0.847448520997314,0.8304279576465095,0.864817940108707,1.495999389616317e-57,-0.1254733253941968,0.8820792932306548,0.864627851259877,0.8998829709366285,8.329764824744381e-35,-0.21302013549174806,0.8081398647590838,0.7925684748739551,0.8240171817541613,3.761498108580756e-102,-0.20938499646265527,0.8110829114735815,0.7952040745428001,0.8272788210531912,1.071053647437052e-95,-0.23562195821934756,0.7900793004681983,0.7733462266514682,0.8071744317304899,3.192874702049695e-103,-0.3702127596854979,0.6905873858509233,0.6751714420908029,0.7063553162431785,1.192440307627757e-226,-0.6464879837198003,0.5238824333240695,0.5120138396244506,0.5360261436426259,0.0,-0.5509272934809021,0.5764150565576984,0.5637734380187109,0.5893401409510669,0.0,-0.5478899491685463,0.5781684890924401,0.5667027309356163,0.5898662270914887,0.0
subject_sex_female,-0.19673572738788253,0.8214076801848785,0.8078352913393849,0.8352080978636606,1.707452182952233e-118,-0.17647609276272114,0.8382188184118251,0.8237344985157278,0.8529578265882246,1.2593955453361748e-87,-0.10451750295106312,0.9007590313276621,0.8852778081527911,0.9165109811250498,3.2154932321880963e-32,-0.18706876363266114,0.8293867027819434,0.8154128682594307,0.8436000086923424,2.9062459537486275e-103,-0.25007377228482497,0.7787433312774154,0.7659756737485176,0.7917238063726693,3.4615511963838374e-193,-0.2590944644933182,0.771750116616489,0.7594915092059925,0.7842065846400708,9.544190394167099e-221,-0.2443722952567801,0.7831959998233083,0.7703709237857905,0.7962345867427787,5.091399407956197e-185,-0.2761377432451919,0.7587084166038897,0.745567768377601,0.7720806690426066,1.0899370390456879e-210,-0.26133222436119635,0.7700250560330292,0.7554175973505542,0.7849149781501773,1.4677541327505695e-157,-0.09263158155775167,0.9115292626328272,0.8944464603539153,0.9289383249470071,8.263174084862114e-22,-0.11816593115816067,0.8885486024829781,0.8723935830850984,0.9050027811786864,1.592636478442639e-36,-0.1498605692236121,0.8608279939733295,0.8469723374840233,0.8749103157364035,3.121394713894542e-73
daytime,-4.758195193666208,0.008581082622478564,0.008312300132820706,0.008858556331846044,0.0,-4.8854101901865885,0.007556023719502122,0.007301637928952284,0.00781927219689885,0.0,-4.926586136720161,0.0072512157340368765,0.007010273474985794,0.007500439149651078,0.0,-5.248548438292497,0.00525514102696793,0.005076337894738797,0.005440242116653379,0.0,-5.2376600005417275,0.005312673956356722,0.005137933923836385,0.005493356859964511,0.0,-4.816124385756302,0.008098111555705653,0.007856875591277937,0.00834675438178687,0.0,-4.451995058750484,0.011655290769582546,0.011308629716807192,0.012012578563927897,0.0,-4.51659787942763,0.010926132528605553,0.010573492703317986,0.011290533353769713,0.0,-4.387678874148985,0.012429546304710057,0.011995719318423527,0.012879062708949323,0.0,-4.160252642204059,0.015603615290208265,0.015053928474190065,0.01617337365075534,0.0,-4.272562568578062,0.013945999743466907,0.013480368064898933,0.014427715022945644,0.0,-4.319654879588093,0.013304474395883304,0.01290254894377988,0.013718920170114736,0.0
Speeding Over Limit,0.11052429971877278,1.1168634881910509,1.0974425496842974,1.1366281101576734,4.931418906084264e-35,0.16681513202771533,1.1815358169862666,1.1600288079601773,1.2034415673488417,7.343902578292031e-71,0.2747461053321614,1.3161964571790667,1.2924866374488309,1.3403412180029683,7.530124234253959e-193,0.3966535211082737,1.4868406818835216,1.4594870065825087,1.5147070192014611,0.0,0.40243973576488845,1.4954687992259645,1.4683720695250881,1.5230655607482853,0.0,0.2869210634534439,1.3323190406607603,1.3087455072451322,1.3563171879334153,8.436399170587082e-218,0.20119967184303358,1.2228689199387965,1.2001586698353417,1.2460089094364868,3.0537357411159714e-98,0.254023620143725,1.2892022550507318,1.2638534827198034,1.3150594409497445,1.0163012853888784e-138,0.20737566241667343,1.2304447168059578,1.203760608872633,1.2577203390411704,1.0193261351898575e-76,0.09447675292575008,1.0990836123576575,1.0744839219604048,1.1242464984949978,2.8319223182361623e-16,0.23575723531880324,1.2658669650719092,1.2388282996499074,1.293495776382578,1.3052037590766495e-101,0.2588837401140506,1.2954831833454548,1.2702163482288895,1.3212526202099015,2.423192464342234e-146
Speeding-10% or More Above Posted Speed,9.717885496868792,16612.081268065464,15551.498066930895,17744.99426801991,0.0,10.015282054238108,22365.660635427987,20740.27322695942,24118.427476110304,0.0,9.21910970371534,10088.078949708986,9532.35071097553,10676.205689577131,0.0,8.80110516457312,6641.579990711431,6321.597103453152,6977.759583717094,0.0,8.72046260765532,6127.012835647501,5831.976723368665,6436.974643222721,0.0,8.228381643947543,3745.7668597496754,3571.0556694860843,3929.0256624921594,0.0,7.608858862525581,2015.9762785415548,1923.9086640792652,2112.4497391809723,0.0,7.651458219652724,2103.7110265992505,2001.59644111593,2211.0351480081135,0.0,7.36056401013419,1572.723344761972,1495.9377720380887,1653.450274064145,0.0,7.360603788462921,1572.785906312472,1492.1060661720646,1657.8281954453835,0.0,7.560497391708455,1920.8006661362665,1822.6913809039854,2024.1908409089453,0.0,7.355058558427958,1564.0885832812412,1495.019566150773,1636.3485480323159,0.0
No/Improper License Plate Lamp,0.2307943620881893,1.2596001912620327,1.229440340850751,1.2904999039883913,9.561900110849193e-78,0.261739180514759,1.2991876447830042,1.266203476253084,1.3330310396489868,1.5435338819884305e-88,0.33506395690420104,1.398029796020952,1.3635840510664374,1.4333456812096115,1.0209126775052454e-152,0.5196347920700607,1.6814134720209448,1.6394764485861377,1.7244232244577988,0.0,0.5223309804254891,1.685952996401275,1.6446030776340312,1.7283425677177022,0.0,0.3106706484901899,1.3643397998084583,1.3327540963549593,1.396674070957514,5.517578655052972e-149,0.17063650851533588,1.1860595481114868,1.1568090487104603,1.2160496611213136,6.632430446270161e-41,0.25362370791574657,1.2886867903817816,1.2532365117550086,1.325139850401315,4.890008905574744e-71,0.19199587100258603,1.2116655139907981,1.1748864375260588,1.2495959361706581,2.8161751081031337e-34,0.11506129855703921,1.1219422089026123,1.085817458155644,1.1592688169292997,5.556685619647526e-12,0.17621317318735816,1.1926922815681513,1.1553778257144678,1.231211857153811,1.6810808437202935e-27,0.27169537802689886,1.3121872193631763,1.275915098843165,1.349490495269789,1.8127162045569282e-80
