variable,coef_2006,odds_ratio_2006,OR_lower_CI_2006,OR_upper_CI_2006,pvalue_2006,coef_2007,odds_ratio_2007,OR_lower_CI_2007,OR_upper_CI_2007,pvalue_2007,coef_2008,odds_ratio_2008,OR_lower_CI_2008,OR_upper_CI_2008,pvalue_2008,coef_2009,odds_ratio_2009,OR_lower_CI_2009,OR_upper_CI_2009,pvalue_2009,coef_2010,odds_ratio_2010,OR_lower_CI_2010,OR_upper_CI_2010,pvalue_2010,coef_2011,odds_ratio_2011,OR_lower_CI_2011,OR_upper_CI_2011,pvalue_2011,coef_2012,odds_ratio_2012,OR_lower_CI_2012,OR_upper_CI_2012,pvalue_2012,coef_2013,odds_ratio_2013,OR_lower_CI_2013,OR_upper_CI_2013,pvalue_2013,coef_2014,odds_ratio_2014,OR_lower_CI_2014,OR_upper_CI_2014,pvalue_2014,coef_2015,odds_ratio_2015,OR_lower_CI_2015,OR_upper_CI_2015,pvalue_2015,coef_2016,odds_ratio_2016,OR_lower_CI_2016,OR_upper_CI_2016,pvalue_2016,coef_2017,odds_ratio_2017,OR_lower_CI_2017,OR_upper_CI_2017,pvalue_2017
subject_race_black,-0.09886445512297302,0.9058654851282414,0.821954110122171,0.9983431763905355,0.04621786900904177,0.10221295934108694,1.1076193244950368,0.9885001408109917,1.241092962301781,0.07828586530671318,0.2555225678749493,1.2911361508883217,1.1823011575264275,1.409989789419155,1.2913235556710032e-08,0.14495980125755392,1.1559930998651111,1.0708595652316102,1.2478947663382205,0.00020398891326198933,0.3059262169775675,1.357882114205198,1.2588164129120527,1.4647440382612795,2.470133382679998e-15,0.2609312767776514,1.2981384501107966,1.206343061984814,1.3969189103499604,3.0929951318121137e-12,0.1919081173142649,1.2115591905381398,1.1432947480143747,1.2838996022038724,8.830051581020495e-11,0.20880270861258865,1.232201871730787,1.160714529378128,1.3080920538750564,7.522371255369728e-12,0.28126282440836536,1.3248017484185488,1.2399942578539618,1.4154095162104756,7.89559069351452e-17,0.135542664434624,1.1451580523130682,1.0630857488006458,1.233566498522761,0.0003538986368434869,0.12392172213339114,1.1319272626799064,1.051024003942129,1.2190581025669645,0.0010556809550740824,0.3341018404151862,1.3966853753504211,1.3040109818243526,1.495946019556226,1.4607337774378117e-21
subject_race_hispanic,0.45115267810808246,1.5701209868956387,1.4530393080382804,1.6966367667083009,3.714981531583203e-30,0.4283538524242095,1.534729052491748,1.4080815239229525,1.6727676803826177,1.8803404384806482e-22,-0.006462193393861424,0.9935586416736317,0.9264086661605173,1.065575928316401,0.8563707577348673,-0.07703442063963997,0.9258579844339799,0.8838309578074993,0.9698834372883043,0.0011535421376694121,0.15159579152855127,1.1636897680924725,1.1107126081764294,1.2191937557874655,1.8078283901177868e-10,0.19105881291766869,1.2105306448269022,1.1553081637489095,1.2683927007924414,1.0572692113119055e-15,0.24843156332124347,1.282013082649538,1.2340026579724712,1.3318914132527226,2.848157254700465e-37,0.16833215165116874,1.1833295902570655,1.1386793053160083,1.2297307175432943,9.678193704281122e-18,0.04152683902094413,1.0424011385020273,1.0012450613645618,1.0852489320341148,0.04333100389978944,-0.09970160991475567,0.9051074528361095,0.8656445452562345,0.9463693910726113,1.1680930086857934e-05,-0.06521341714187359,0.9368674984563566,0.896239268572964,0.9793374832386236,0.003939145563652849,0.07085181452159482,1.0734221485075637,1.0323617726832108,1.1161156286442309,0.0003702196083127918
subject_race_asian/pacific islander,0.4829757842213671,1.620890653407571,1.2482844213938575,2.104717855382947,0.00029005622028942436,0.35924001295813734,1.4322405166051322,1.0715490821450357,1.914343385278256,0.015232843432667901,0.6568940006962001,1.9287921937983783,1.575957251634396,2.360621979434639,1.8570035013736166e-10,0.5625827933626026,1.7551999698522882,1.49335343744857,2.062959013529288,8.790730313164908e-12,0.6424265710477386,1.901088412892207,1.6273670407326652,2.2208494231306735,5.5305401510875e-16,0.7117918626583979,2.0376391589227225,1.7565917782570901,2.363652951908345,5.466077734460009e-21,0.6106496467610654,1.8416274175316085,1.6475850861137125,2.058522848737453,5.951083099733344e-27,0.7581174700242279,2.134254637977754,1.9024465129695611,2.3943079759017825,3.324308294208083e-38,0.561612530594262,1.7534977905846694,1.5455890898983866,1.9893738391925786,2.7410917351810474e-18,0.5117292892668596,1.66817345654926,1.4458143874949665,1.924730245600211,2.3660182505435973e-12,0.49478168418576385,1.6401401314399315,1.4016860966580609,1.919159829846006,6.7168134059186e-10,0.5952954395059313,1.8135666650593179,1.5770566834699113,2.0855458672403056,6.83921349277634e-17
county_type_Non core,0.19474856975080002,1.2150054589565837,1.1385711755838088,1.2965709100595744,4.238147847623364e-09,0.15643800225748372,1.1693382637391023,1.0850707890918019,1.2601500185889665,4.140467016529437e-05,-0.03652772070871186,0.9641313671210952,0.9123154324165272,1.0188902434814855,0.19497737330124254,0.10575301467223763,1.1115473067246981,1.0582533443506654,1.1675251693582358,2.458560072038395e-05,0.3224567969063365,1.380515247041662,1.3135075883239367,1.4509412539796367,5.753500471141717e-37,0.1707523692695405,1.1861969738262323,1.1299791452390004,1.2452117073513822,5.469643961605034e-12,0.3776480988171687,1.4588494816791184,1.4020984078137921,1.5178976014343188,1.1601991913216534e-77,0.3742714557260585,1.4539317749985052,1.3959909683808371,1.5142774231570897,9.76513448227526e-73,0.22214175640769407,1.2487483834030975,1.195274666039679,1.304614386430979,2.5682136086769422e-23,0.10301137406663649,1.1085040172028628,1.0545665166533584,1.1652002379654458,5.17547152239052e-05,0.02482379846681517,1.0251344743437292,0.9755873793048546,1.0771979145904933,0.3260390734046773,0.08882108521844823,1.0928851055334705,1.0421836527509223,1.146053145953884,0.00024758337513838954
county_type_Micropolitan,-0.04688523365488507,0.9541969009974455,0.8822036865311839,1.0320652019185879,0.2414356703467484,-0.27588589765843813,0.75889951803326,0.6950078603547267,0.8286646976584765,7.828052364530616e-10,-0.15491168903611385,0.8564908116730388,0.8020783019830616,0.9145946333003189,3.732633032650794e-06,-0.005605291715707862,0.9944103886206015,0.9373123617057051,1.0549866420166267,0.8526124167189815,-0.021293547387049288,0.9789315595866158,0.9259512311964421,1.0349432735419923,0.4532064003230917,0.14116864082814118,1.1516188415649453,1.0857149090153875,1.221523205801893,2.6640208531693837e-06,0.32060224957301975,1.3779573887394176,1.3150336729903838,1.4438919734000148,3.3421686526705943e-41,0.3445166027474676,1.4113075325652014,1.3453483270911546,1.4805005598675136,3.410884477747874e-45,-0.10539496244526338,0.899968998425262,0.8562698951795668,0.9458982532098917,3.323189294132571e-05,-0.23960504044283665,0.7869386086205312,0.7448244035423344,0.8314340545132519,1.3630037428824253e-17,-0.37339540119504966,0.6883929876144916,0.6529802295336459,0.7257262685200302,1.150494788853197e-43,-0.8639238394040192,0.4215049156190748,0.4036988030642286,0.4400964098542957,0.0
subject_sex_female,-0.05826155070505591,0.9434031674018734,0.8887296444068644,1.0014401363396366,0.055784096627251874,-0.03202849142423757,0.968478988340385,0.9038636708524639,1.037713519310055,0.3632749457259915,0.013016114147630813,1.0131011924904567,0.9626315784969833,1.0662168675456578,0.6176153395711323,0.002099191374736051,1.0021013962194771,0.9589275567242123,1.0472190534762527,0.9255659007059085,0.00365770559393078,1.0036644031624584,0.9616671722019071,1.0474957067204087,0.8668062820318013,-0.03920702451222161,0.9615516237834131,0.9218124978838055,1.0030038943093846,0.06865559252962539,-0.1432067175782994,0.8665749141112453,0.837663676728639,0.8964839978493935,1.3187754539483635e-16,-0.12556505425465112,0.8819983848131316,0.8518823743082624,0.9131790658829552,1.4027574542934296e-12,-0.06648293275899285,0.9356788851770929,0.9010152549276653,0.9716760858133675,0.0005569609424639908,-0.10802220991923833,0.8976076604154015,0.8600947087230905,0.9367567360489455,7.071055018135372e-07,-0.040676493773520256,0.9601396908791826,0.9200799744831003,1.0019435826972287,0.06139118359938065,-0.050108309190453185,0.9511264031909892,0.9160067129023374,0.9875925821337064,0.00904456851914168
const,0.7410639438026602,2.098166658791393,1.3469617460337961,3.2683209757267906,0.0010487323940198486,0.775408895928148,2.171479854947683,1.4920262708487317,3.160349688589144,5.126741989790715e-05,0.981776572121092,2.6691940478875638,1.8894331834412443,3.7707588327110324,2.5552998590910807e-08,-1.2062220200208462,0.2993259935685972,0.2346451568718847,0.38183635077005634,2.715122918784396e-22,-1.0464815330201616,0.35117116211543525,0.2874036731108383,0.4290870181535434,1.3737479056362789e-24,-0.3666285472178635,0.6930670389164099,0.5756516589488236,0.834431575007523,0.00010832226564357873,-0.6749660399236843,0.5091737118920546,0.44543562544808224,0.5820321816898564,4.5134388077429566e-23,1.1749565919206606,3.238002385322852,2.4466093642479154,4.2853835191542515,2.0847139259224923e-16,1.7923975888481345,6.003829939570307,3.4629659638505395,10.408988803112743,1.7232188324022425e-10,0.5768049138857304,1.7803409909127819,1.1456251082812774,2.766711397133671,0.010336136308349576,-0.3344378952527238,0.7157402943177192,0.44196775965370405,1.1590985037266215,0.17392392792717892,0.6836064422277145,1.98100926022853,1.32033016855764,2.97228510153509,0.0009587890642350159
male_asian/pacific islander,-3.752431552677853,0.023460630685509624,0.008482094343398298,0.06488977484555554,4.862484599480823e-13,0.4502609837674384,1.5687215429283572,1.3572412673982792,1.8131538867550396,1.0992170317352527e-09,-1.6675718654246334,0.1887047102340182,0.14864006592071957,0.2395684329385178,1.0881649117057499e-42,-0.3961082309850077,0.6729338597014083,0.6356509552273351,0.7124035224184951,3.0074127853963666e-42,0.2638028690748657,1.301871531863994,1.251611914436876,1.3541493700469098,2.1377566302603056e-39,0.7653149701253734,2.149671350290786,1.9654672400149187,2.3511391185670103,6.288126618848885e-63,-1.8972488027303835,0.14998067856782402,0.11838819188346157,0.19000377981790353,1.0907937539141007e-55,0.49111089919523315,1.6341305663218626,1.5247244027219267,1.7513871379117856,7.25246027025408e-44,2.1597180178913735,8.668692897487958,4.182999982217943,17.96467532163688,6.284028258917867e-09,0.651735542631312,1.9188682183624963,1.2176575793119786,3.0238839736226644,0.004975453009793048,-0.4132023820026011,0.661528387839429,0.44208123723203147,0.9899081233518721,0.044506679048330784,4.1690385749236425,64.65326294881775,19.61798089680864,213.072101146197,7.302772435836966e-12
male_black,1.0368955040545658,2.8204473413523172,1.9047860793421916,4.176281678879419,2.2495406115404186e-07,0.07027412702163494,1.0728022250284535,1.0410464141014817,1.1055267070098278,4.56464974052281e-06,0.8259523616730771,2.2840549762659847,2.006793198035731,2.599623688037098,6.670392121719186e-36,-0.16521939038568428,0.8477077047651344,0.8212461378590104,0.8750218961048449,1.7689326275897916e-24,-0.13855456345625972,0.8706157461689218,0.8449643842342266,0.8970458301200497,1.0813164392439665e-19,-0.5874630384132337,0.5557353771453262,0.5050093042524308,0.6115566719469432,2.4872039039536142e-33,-0.22530890807420553,0.7982695887469805,0.7626917780449785,0.8355070221835976,3.4658536739734905e-22,0.14852450639706363,1.1601212278175175,1.1332194265972697,1.1876616581433983,2.3803388805971064e-35,0.8163131190519635,2.2621441875471806,1.9317777424290035,2.6490088444745425,3.8870344497565625e-24,0.7602194962727936,2.138745615670782,1.6880245851089017,2.709814092106892,3.0552339832808796e-10,-0.6099301945570776,0.5433887992464286,0.4229086083589027,0.6981919528483387,1.8513962943916167e-06,-0.10295911715888463,0.90216385574916,0.8214810749159392,0.9907709957937572,0.03124536248932722
male_hispanic,-0.42278643407223926,0.6552185505281076,0.5792562311885143,0.7411423923317942,1.7593242367283932e-11,-0.024736756135727754,0.975566690174591,0.9718162559114777,0.9793315981173493,2.4823746358501193e-36,0.04960685776789324,1.0508578785426583,1.0253737845984061,1.0769753405853684,7.48084261882854e-05,0.16554864363730945,1.1800403627787923,1.1520914870043728,1.2086672573267772,9.500497050096198e-42,0.017972462885053032,1.0181349395049073,1.0108558027049945,1.0254664931108672,9.137867631790344e-07,0.05272432111595608,1.0541390011955236,1.0432772959254675,1.065113789192324,1.916628864890848e-23,0.13315852661273753,1.1424310897075511,1.1205631021430817,1.1647258349255654,1.490048919327363e-41,-0.02623021686393624,0.9741108070578,0.965104328516226,0.9832013352231534,3.119033899803421e-08,0.06221828958510721,1.064194621977764,1.0240275541790966,1.105937226810526,0.0015270754944758515,-0.5121215292230533,0.5992229603194884,0.45615351992053704,0.787165154916708,0.00023383878668995132,-0.026693811423172828,0.9736593192492863,0.9018072027336501,1.051236303155787,0.4949395704232906,-0.06161427710900864,0.9402454910632636,0.8762851381533178,1.0088743320785607,0.08649905475036808
