variable,coef_2006,odds_ratio_2006,OR_lower_CI_2006,OR_upper_CI_2006,pvalue_2006,coef_2007,odds_ratio_2007,OR_lower_CI_2007,OR_upper_CI_2007,pvalue_2007,coef_2008,odds_ratio_2008,OR_lower_CI_2008,OR_upper_CI_2008,pvalue_2008,coef_2009,odds_ratio_2009,OR_lower_CI_2009,OR_upper_CI_2009,pvalue_2009,coef_2010,odds_ratio_2010,OR_lower_CI_2010,OR_upper_CI_2010,pvalue_2010,coef_2011,odds_ratio_2011,OR_lower_CI_2011,OR_upper_CI_2011,pvalue_2011,coef_2012,odds_ratio_2012,OR_lower_CI_2012,OR_upper_CI_2012,pvalue_2012,coef_2013,odds_ratio_2013,OR_lower_CI_2013,OR_upper_CI_2013,pvalue_2013,coef_2014,odds_ratio_2014,OR_lower_CI_2014,OR_upper_CI_2014,pvalue_2014,coef_2015,odds_ratio_2015,OR_lower_CI_2015,OR_upper_CI_2015,pvalue_2015,coef_2016,odds_ratio_2016,OR_lower_CI_2016,OR_upper_CI_2016,pvalue_2016,coef_2017,odds_ratio_2017,OR_lower_CI_2017,OR_upper_CI_2017,pvalue_2017
subject_race_black,0.07603992399794456,1.0790056515167812,1.0626915194609476,1.0955702333972925,1.3399357839609837e-22,0.08163923238741382,1.0850642831577868,1.0676789693122017,1.102732686907919,3.903371032916479e-23,0.2012022627252445,1.222872088252232,1.2033724216094397,1.2426877310569768,6.583939445495708e-133,0.2457193624554954,1.2785407166624634,1.2584067833229198,1.2989967837326046,3.2932418858373235e-202,0.3318769253468885,1.3935813234195749,1.3731246957397825,1.4143427111967775,0.0,0.37763526256076535,1.458830755633304,1.4383868391018908,1.479565243318305,0.0,0.3793621603493602,1.4613521837368375,1.4413190925667676,1.4816637175806349,0.0,0.44439473433830595,1.5595459704841352,1.5367815271100502,1.5826476250186814,0.0,0.42758454216320557,1.533548823723065,1.508629587278986,1.5588796710424655,0.0,0.5182578169323218,1.6790998007731768,1.6502499285249033,1.7084540300369273,0.0,0.5027896932047703,1.6533271186899392,1.6259282154054457,1.6811877274138736,0.0,0.5407432177666586,1.7172827030276048,1.692121072896206,1.7428184834730742,0.0
subject_race_hispanic,0.23183559130635917,1.260912406824425,1.2468300736319402,1.2751537930525545,0.0,0.1963974387281599,1.2170104963328747,1.202945448690011,1.231239994961784,1.8516680588935466e-240,0.06244359593207056,1.0644344187933577,1.0516701619211366,1.0773535971033064,3.495909768993429e-24,0.25961671169843165,1.2964330837893796,1.2831827738914017,1.3098202180867842,0.0,0.2842220977584666,1.3287280054954946,1.315946832253023,1.3416333162680323,0.0,0.32441529402171654,1.383221631528761,1.3703351566551472,1.3962292893362447,0.0,0.3965435545425626,1.4866771881095644,1.4728229300389344,1.5006617676620053,0.0,0.41513555808578045,1.5145760398054815,1.499697130557022,1.529602566820164,0.0,0.2803290747904695,1.3235652926520627,1.3097196547840364,1.3375572990099196,0.0,0.22616569959462932,1.253783399468021,1.2397516149364325,1.26797399885798,0.0,0.3476672769977699,1.415761115077051,1.400544820858803,1.4311427275388056,0.0,0.35938767272953137,1.4324520165270263,1.4185596158640301,1.4464804698409104,0.0
subject_race_asian/pacific islander,-0.17349603971580185,0.840720480647323,0.7958172675122523,0.8881573137880974,5.825369192387425e-10,-0.19608036912623128,0.8219461729278322,0.7776462151438472,0.868769754207239,4.0162598573700205e-12,-0.07916372561498002,0.9238886478244578,0.8789598847678547,0.9711139818449672,0.0018560098309939553,-0.05440903485582531,0.9470446529931081,0.9064463254416255,0.9894613167810739,0.014937294240306142,-0.02992835103446321,0.9705150674580834,0.9318587310542119,1.0107749863518443,0.1489737383539148,0.0371794618489647,1.0378792638575929,1.0004029563473211,1.0767594792788655,0.04754254187652744,0.012670800203708076,1.0127514149170973,0.9782500990983611,1.0484695369434909,0.47368429747534735,0.00824378757390475,1.0082778611581247,0.9717024810205162,1.0462299573773937,0.6619025322771817,-0.018893061591396844,0.9812842936128554,0.9425388353702484,1.0216224825505746,0.3579953638910067,-0.04235067007236922,0.9585335925861164,0.9178583297370339,1.001011396147899,0.05558547716884042,-0.0980545451127066,0.9065994518359728,0.8657582659882298,0.9493672753226253,3.055516751021492e-05,-0.046250409473221725,0.954802840576466,0.9175340247618365,0.9935854581627359,0.022801359287659605
county_type_Non core,-0.21940263349526637,0.8029983390284253,0.7936686407205502,0.8124377093909213,2.1317884583765494e-296,-0.2523724757935599,0.7769552871284245,0.7674457562875582,0.786582651934848,0.0,-0.4659485296012503,0.6275395829286801,0.6203164806492578,0.6348467926083834,0.0,-0.2728204177800495,0.7612294786345948,0.7523435201441709,0.7702203895253242,0.0,-0.25540462198787367,0.7746030131329439,0.7660387821281326,0.7832629913171605,0.0,-0.23976715486772826,0.7868110448608119,0.7782757723810143,0.7954399228193993,0.0,-0.21344055235387063,0.8078001805424752,0.7989140269218398,0.8167851729912055,0.0,-0.22170058332013626,0.8011552076586542,0.7918775395754706,0.8105415732623001,1.3667161694461204e-304,-0.19331123738180475,0.824225404457241,0.814030334182131,0.8345481597258334,1.568760217224147e-203,-0.2720943777756912,0.7617823623721489,0.7515220797147077,0.7721827252787966,0.0,-0.3159572793305648,0.7290905967406895,0.7197921675846631,0.7385091449931209,0.0,-0.33176149198949334,0.717658469737521,0.7093499397011772,0.7260643165811291,0.0
county_type_Micropolitan,-0.18289276973563853,0.8328574584744749,0.8223952030662923,0.843452811434562,7.021842638789216e-177,-0.22228025159768924,0.8006909379735826,0.790082285954163,0.8114420352796133,5.181058151718148e-234,-0.47917379586844666,0.6192948444540394,0.6114900160911605,0.6271992907079239,0.0,-0.23702588176341086,0.7889708677960168,0.7789978385614178,0.7990715755775779,5.548576226762754e-292,-0.18707908815520496,0.8293781398044373,0.8193800443909722,0.8394982322235424,8.794283592198674e-201,-0.24169306472416907,0.7852971759697951,0.7760682253079578,0.7946358766865129,0.0,-0.2032551017542604,0.81607003397243,0.8066351310647681,0.8256152933342666,3.361861755265271e-257,-0.24167043068922434,0.7853149506146732,0.7756124922534101,0.7951387810518017,0.0,-0.40826957502447325,0.6647996412849364,0.6562578690412536,0.673452592192533,0.0,-0.5547993614352841,0.5741874537866173,0.5664880021594353,0.5819915529176004,0.0,-0.4805739826545072,0.6184283227838253,0.6105291494378032,0.6264296975392444,0.0,-0.511452855821085,0.599623778768286,0.592707932521685,0.6066203206268103,0.0
subject_sex_female,-0.13932368133146297,0.8699463974731289,0.8610075701433961,0.8789780261170445,4.889561998720744e-154,-0.12140002044994631,0.8856795987702047,0.8760566568888375,0.8954082427311395,3.560628531240848e-105,-0.08712026251065612,0.9165668603728879,0.9069271615564508,0.9263090192293487,1.1345375780771158e-58,-0.15259001491362348,0.8584816143299261,0.8495630012260386,0.8674938539919171,2.2638434306266335e-180,-0.1927852841072412,0.8246590225291204,0.8166077398499588,0.8327896862251599,0.0,-0.20699160438820685,0.813026475813586,0.8053851693232353,0.820740281236253,0.0,-0.19784493958087815,0.8204970698939804,0.8128548790263309,0.8282111100950896,0.0,-0.20486443194440584,0.8147577640505121,0.8068074742945323,0.8227863960494903,0.0,-0.20726777278310524,0.8128019745982477,0.8042737689851326,0.8214206099801606,0.0,-0.14358024650184606,0.8662512837628155,0.8566815904721765,0.8759278767822397,1.3998758280549126e-141,-0.13551499985822169,0.8732660639630889,0.8639977243830685,0.8826338275533194,9.01320033086718e-137,-0.14893266166273209,0.8616271334840125,0.8535439550683803,0.8697868607087729,1.4008649188795829e-210
const,-4.116608375659708,0.016299703269509233,0.016007053554370137,0.016597703366933243,0.0,-4.25129866985253,0.014245721401871496,0.013968050497745146,0.014528912126463185,0.0,-4.2564313046376965,0.014172790640253353,0.013907695249680885,0.014442939029532014,0.0,-4.5564444502462145,0.01049932352330307,0.010297978319834705,0.010704605411206053,0.0,-4.490255098835745,0.011217781801479936,0.01101813161826592,0.011421049675699868,0.0,-4.173164860090333,0.0154034331885031,0.015152559710203475,0.015658460255590218,0.0,-3.8874383650844813,0.020497786688432773,0.020173306228470324,0.020827486301255197,0.0,-3.853634412913993,0.021202537460915966,0.02084500339090059,0.02156620396510871,0.0,-3.8607431291774903,0.021052349093750065,0.02066905855544218,0.021442747437010082,0.0,-3.8947309568448856,0.02034884843114378,0.01995873183269652,0.020746590311681096,0.0,-3.8943009997299387,0.020357599444453135,0.01998986277242538,0.02073210105836636,0.0,-3.9288230951082315,0.019666804896999603,0.019347562169734232,0.019991315260467286,0.0
Speeding Over Limit,-0.1935594612667454,0.8240208374155432,0.8150503528153611,0.8330900516140675,3.323561437333702e-263,-0.13192942385471684,0.8764028460313348,0.8663519307098466,0.8865703662742399,2.6617745314076585e-111,-0.005124732000256986,0.994888377035788,0.9837564119197723,1.0061463089519616,0.37204522717335897,0.13148755369420354,1.1405237123271397,1.127424104041842,1.1537755257467899,3.047697897590353e-110,0.13149172456202257,1.1405284693107085,1.1279356961315294,1.1532618337814713,3.4020281531875006e-119,0.004269686406996954,1.0042788145047519,0.9935953091971481,1.0150771928241353,0.43394201787383,-0.08569300846966117,0.9178759681206318,0.9080824605176822,0.9277750969588097,2.9703690338956614e-55,-0.09368802789310919,0.9105667893739375,0.9003225525936607,0.920927589253637,3.1109439126675565e-59,-0.06053099148450066,0.9412645973791911,0.9297552515225455,0.952916416259604,5.255883479965145e-22,-0.04256548095791235,0.9583277112498378,0.9459482574635084,0.9708691727092496,1.3944663562397276e-10,0.005911191930216952,1.005928697501167,0.9936038184816661,1.0184064570149047,0.3473223557994699,0.059332834254845486,1.0611283618391083,1.0492961772840672,1.0730939697253075,3.3658696572893623e-25
Speeding-10% or More Above Posted Speed,9.362740144890791,11646.257292024036,11175.36013257564,12136.996687619272,0.0,9.727529998979726,16773.07160886968,15979.604430819143,17605.938395675814,0.0,8.660570308088358,5770.824872298209,5586.236657296507,5961.512508288997,0.0,8.28401998426761,3960.081893722352,3849.9840218623076,4073.3282309576493,0.0,8.027341728749382,3063.5869941692454,2982.763018578674,3146.601058274921,0.0,7.682763240735902,2170.6094089722797,2115.361094334462,2227.300681164008,0.0,7.104937884674459,1217.9664280035072,1189.5121532069084,1247.101356421019,0.0,7.001592483679504,1098.3809201072725,1071.7668193531083,1125.655901890932,0.0,6.937732645024949,1030.4312109536575,1004.7048297582227,1056.8163395441577,0.0,7.16571961020334,1294.2926519625864,1258.9604075521117,1330.6164823574913,0.0,7.245624582120823,1401.9572600173328,1364.819606232588,1440.1054541858302,0.0,7.057681950866619,1161.7490507362415,1134.988714910098,1189.140331667055,0.0
No/Improper License Plate Lamp,0.020320475390250742,1.020528341844554,0.9986656548629322,1.0428696445467918,0.06589789327451007,0.056074011201219534,1.0576759607082422,1.033536225635299,1.0823795142472812,1.9339249645419153e-06,0.13621608949416927,1.145929490166273,1.1204815936133468,1.1719553484123317,1.3635985687720302e-32,0.34877834609165,1.4173349976805796,1.3852747766240832,1.4501372071075687,3.853849269247892e-196,0.3655154954914756,1.4412567780566463,1.4095764269651105,1.4736491477561011,6.280143286065777e-228,0.17936668720702703,1.1964593900921183,1.1715300762370677,1.221919181740176,1.4007518413863373e-62,0.031088799622611178,1.031577103476941,1.0084790222860909,1.055204220317427,0.007129642484776713,0.052654613716017734,1.0540655224676119,1.0276666198639832,1.0811425652824775,4.7248524816106784e-05,0.08261980354417038,1.0861287877230195,1.0561566548973342,1.1169514844702166,7.176761498484223e-09,0.09276186792761924,1.0972004255450518,1.0645604637723445,1.130841145039635,1.7417678662869534e-09,0.10001087088997009,1.105182932332399,1.0731645869524113,1.1381565593656726,2.6021700033894223e-11,0.19122629015263012,1.210733398129941,1.1797091848076688,1.2425734920308011,2.966804790440843e-47
