variable,coef_2006,odds_ratio_2006,OR_lower_CI_2006,OR_upper_CI_2006,pvalue_2006,coef_2007,odds_ratio_2007,OR_lower_CI_2007,OR_upper_CI_2007,pvalue_2007,coef_2008,odds_ratio_2008,OR_lower_CI_2008,OR_upper_CI_2008,pvalue_2008,coef_2009,odds_ratio_2009,OR_lower_CI_2009,OR_upper_CI_2009,pvalue_2009,coef_2010,odds_ratio_2010,OR_lower_CI_2010,OR_upper_CI_2010,pvalue_2010,coef_2011,odds_ratio_2011,OR_lower_CI_2011,OR_upper_CI_2011,pvalue_2011,coef_2012,odds_ratio_2012,OR_lower_CI_2012,OR_upper_CI_2012,pvalue_2012,coef_2013,odds_ratio_2013,OR_lower_CI_2013,OR_upper_CI_2013,pvalue_2013,coef_2014,odds_ratio_2014,OR_lower_CI_2014,OR_upper_CI_2014,pvalue_2014,coef_2015,odds_ratio_2015,OR_lower_CI_2015,OR_upper_CI_2015,pvalue_2015,coef_2016,odds_ratio_2016,OR_lower_CI_2016,OR_upper_CI_2016,pvalue_2016,coef_2017,odds_ratio_2017,OR_lower_CI_2017,OR_upper_CI_2017,pvalue_2017
subject_race_black,0.12988369037295083,1.1386959343227807,1.1159205269618249,1.1619361769187955,2.116174805226345e-36,0.13106843280596076,1.1400457951752936,1.1157215739473538,1.1649003169299612,1.0350389615204673e-32,0.25496981326478924,1.2904226666375946,1.2631917213026935,1.3182406363895551,2.0858232577041904e-121,0.2658205164518757,1.3045009012235673,1.2773576603167531,1.3322209230507251,1.5588199149404143e-135,0.33278176214581806,1.394842857738572,1.3683786394055917,1.421818889711292,4.0172893508615736e-254,0.3902536798372305,1.4773555216584584,1.4508718296052117,1.5043226374921241,0.0,0.39614079316797324,1.486078532527476,1.4605211551686665,1.5120831334921532,0.0,0.47532827479703976,1.6085421546728775,1.5790712333756045,1.6385631051162413,0.0,0.4628858919575712,1.5886520540970557,1.5566426464642271,1.6213196745697622,0.0,0.5093336812533625,1.6641819498005412,1.6274183748164184,1.7017760183237123,0.0,0.4862238000881174,1.6261638911120915,1.5918614996111886,1.6612054512297165,0.0,0.5255451165410054,1.6913805966665258,1.6600083033395017,1.723345791117368,0.0
subject_race_hispanic,0.22840276267900822,1.256591331616441,1.2379605149908668,1.2755025346710918,2.489806772611639e-197,0.17574555817028142,1.192134691125531,1.1737743752843546,1.2107822011710503,4.033108596252194e-109,-0.009235341356709779,0.9908071734280965,0.9752760234534977,1.0065856550439258,0.25193090140913066,0.2152406476924243,1.2401603027743862,1.2237922060422943,1.2567473211414648,2.9861922976567235e-221,0.2517860145878134,1.2863207539558432,1.270735137420324,1.3020975286923433,0.0,0.28561767127316007,1.3305836376425613,1.3150261293722285,1.3463252000987203,0.0,0.3821890329314478,1.4654890846487958,1.448663124848117,1.4825104749248956,0.0,0.38317775217912625,1.4669387584561528,1.449291408436422,1.484800992081007,0.0,0.2853021474270949,1.3301638730020604,1.3133506831258637,1.3471923011671962,0.0,0.27229596088254704,1.312975533210722,1.2948566316464674,1.3313479721828034,0.0,0.34650808812463213,1.4141209313704461,1.3954453041677866,1.4330464996136973,0.0,0.34484334945138784,1.4117687479958925,1.3950171477003446,1.4287215043223354,0.0
subject_race_asian/pacific islander,-0.10385150832195526,0.9013591318143162,0.8378140715041895,0.9697238470182403,0.005366190544604148,-0.11211134405525551,0.8939447165288998,0.8309850980754276,0.9616744729366955,0.0026233731801093745,0.015705237711426737,1.0158292131280349,0.9516526987421011,1.084333593135715,0.6371585693046797,0.07109487731496003,1.0736830892046427,1.013385472977674,1.1375684838432871,0.01591493000944914,0.07569393772616732,1.078632394948734,1.023344041818246,1.1369078197452185,0.0048097461799226915,0.16261370421694443,1.1765820931887472,1.1224399478918077,1.233335845371971,1.3281088951333958e-11,0.11601134492909963,1.1230086125140726,1.0750617547946573,1.17309386010264,1.8770363527875925e-07,0.15430408406499166,1.1668456520055592,1.1134680325260715,1.222782096864913,1.0553926393358588e-10,0.13653275115274524,1.1462924195591193,1.0904529111619543,1.204991336800188,8.393631793130278e-08,0.1015645243187951,1.1069013381425727,1.047314733222035,1.1698781020796203,0.0003214014417712431,-0.0093008752457853,0.9907422441082565,0.9348871716668423,1.0499343920941702,0.7534109067322354,0.06060505975715394,1.0624792155153084,1.0107370764694255,1.116870163054885,0.017348694759105814
county_type_Non core,-0.24249659520094477,0.784666419205657,0.7729566257088663,0.796553608508599,2.6649122229774074e-219,-0.28781046549111716,0.7499037114020229,0.7380629267595105,0.7619344584120614,3.742625748008012e-275,-0.47454451777625484,0.6221683785726462,0.6129914490307908,0.6314826934498914,0.0,-0.29470559663099205,0.7447508123422798,0.7337039305467115,0.7559640195346801,0.0,-0.27453369194236954,0.7599264004211158,0.7494929817537342,0.7705050589076002,0.0,-0.24249290212805039,0.784669317041292,0.774176353931993,0.7953044987474958,5.222517725498406e-273,-0.20494722963694834,0.8146903067803594,0.8038895516654331,0.8256361767444722,5.18865925307821e-199,-0.21939222949464934,0.8030066934670999,0.791832292558527,0.8143387884187661,9.049458938541377e-207,-0.19330041381484409,0.8242343255643759,0.8121012670876174,0.8365486559021282,5.883418544381939e-144,-0.1933485417787248,0.824194657799098,0.8107018372915951,0.8379120444749173,1.2219847129959112e-116,-0.26924209360288787,0.763958283845465,0.7521209222306245,0.7759819494519363,2.549205661137651e-250,-0.28905627977055764,0.7489700523537975,0.7384882921285075,0.7596005858211166,0.0
county_type_Micropolitan,-0.1925760735915397,0.824831567917027,0.8112241147910182,0.8386672721233484,5.642862157042212e-114,-0.24389796062814623,0.7835675849279063,0.7698289971413393,0.797551355469436,7.649710218423496e-161,-0.5057085620716181,0.6030781057285751,0.5932179488559597,0.6131021529449336,0.0,-0.2832461636918222,0.7533343214753581,0.7410825938674629,0.7657885971266432,2.8752281732813165e-251,-0.21797333597411853,0.8041468831740054,0.7919259404697546,0.8165564185647035,2.8832743249023115e-171,-0.25291468710798504,0.7765341273700523,0.76502472188663,0.7882166859696971,1.2124086553281319e-241,-0.19451974817357198,0.8232299208086304,0.8114472358154557,0.8351836972289748,4.0434194940224056e-154,-0.23755707094216452,0.7885518862977624,0.7765613238915671,0.800727590021705,8.228874654013983e-203,-0.42284759064040733,0.6551784808354323,0.6448990553343955,0.6656217561479353,0.0,-0.5001306895834886,0.6064513976528181,0.5963865250929762,0.6166861292812064,0.0,-0.44195839025339007,0.6427763806614228,0.6326984372077789,0.6530148507392564,0.0,-0.49258417172068597,0.6110453061625638,0.6023986940484417,0.6198160286072539,0.0
subject_sex_female,-0.11147236284126341,0.8945161129454556,0.8827585327145403,0.906430293976888,2.9775436235035317e-61,-0.09341935952232626,0.9108114627362527,0.8980633881585944,0.9237404971521366,1.3928737676256572e-38,-0.08416354200018214,0.9192809027633503,0.9070418801993879,0.9316850705941313,8.264035569341777e-35,-0.13330331116738395,0.8751995940359804,0.8636413520137115,0.8869125217484768,5.4891906528962724e-86,-0.16044158036003447,0.8517675820739791,0.8414164193985167,0.8622460854647682,7.270426502780904e-146,-0.1766548072225073,0.8380690299735887,0.8283004313259951,0.8479528350317175,1.1531368366669544e-191,-0.1753836027380731,0.8391350645131443,0.8296328484464969,0.8487461143974815,3.868853671971175e-200,-0.17359971892459566,0.8406333199315278,0.8306978102201518,0.8506876626914689,4.049616532105539e-180,-0.18370682844848485,0.8321797394927922,0.8217039047252139,0.842789129806896,1.0829631771338872e-177,-0.1726430410423078,0.8414379200460209,0.8299249162430351,0.8531106361964412,3.31656998613629e-133,-0.14369555535472212,0.8661514030796565,0.854835526590289,0.8776170733676433,9.416891858254737e-102,-0.14946690880334756,0.8611669345925888,0.85122953222974,0.8712203479277807,1.4575887206209865e-140
daytime,-3.7479949034226485,0.023564948514862356,0.02304175627992191,0.02410002049158015,0.0,-3.883559680547543,0.020577445522579885,0.020078721352466546,0.02108855722442341,0.0,-3.8846448216762393,0.020555128201031524,0.020084636200468364,0.021036641696850284,0.0,-4.162084277471358,0.015575061316361055,0.015209746216210554,0.015949150732696774,0.0,-4.104264134067541,0.016502157747207775,0.01614890548267423,0.01686313729471613,0.0,-3.8434204824996887,0.02142020844894841,0.020999657822447667,0.02184918125217915,0.0,-3.6325394147613315,0.026448934242963348,0.02594993903315187,0.026957524705353134,0.0,-3.5621104169246234,0.02837887022392917,0.027812642228772107,0.02895662585964129,0.0,-3.640437894035926,0.026240850737428018,0.025677251251333612,0.026816820877126137,0.0,-3.814124936436132,0.02205700729459419,0.021547499637647776,0.02257856266272995,0.0,-3.75347787448783,0.023436096153693773,0.022927431513923735,0.023956045952710513,0.0,-3.7841101876475545,0.02272907839606012,0.022287092205668216,0.023179829830060044,0.0
Speeding Over Limit,-0.40254694905863697,0.6686149473468941,0.6592341413592644,0.6781292408398828,0.0,-0.33751256627935655,0.7135430080693916,0.702956195338562,0.7242892626040505,0.0,-0.1912408366381657,0.8259336491128506,0.8141116173836079,0.8379273531671441,5.096419329945629e-149,-0.049998485100535624,0.9512308655187511,0.9372055733587794,0.9654660463368404,4.1909148409385456e-11,-0.04178435461331346,0.9590765787138293,0.9456822763920275,0.97266059309767,5.781099715624804e-09,-0.1685056430079913,0.8449264954785176,0.8336239673905278,0.856382266690718,8.26866467287757e-133,-0.23715073543726162,0.7888723680337678,0.7785295547177133,0.7993525862648221,1.0209379358258546e-271,-0.27617674151311594,0.7586788288667217,0.7482096150560273,0.7692945316233056,0.0,-0.19095524912450854,0.8261695591350214,0.813888673913453,0.8386357524296217,7.79705239118455e-138,-0.09028569161860733,0.9136701200854558,0.8990791969160402,0.928497835563787,4.168779800383993e-28,-0.09527218949191961,0.9091254463945876,0.8953947003189048,0.9230667514424507,1.3130390757562563e-34,-0.028968836324585842,0.9714467378457079,0.9581291615037478,0.9849494226748635,3.9022656161208586e-05
Speeding-10% or More Above Posted Speed,9.152781194281888,9440.660210829401,8950.459469726175,9957.708374390762,0.0,9.564554651006759,14250.605143515677,13370.092980035155,15189.10506154621,0.0,8.34592067829069,4212.959624114558,4048.064025984991,4384.572151153345,0.0,7.975802624563748,2909.692325665143,2810.7323864440505,3012.1364349259993,0.0,7.664043369866874,2130.353846166135,2063.2271127035783,2199.664536168236,0.0,7.3893134752625524,1618.5945262293149,1569.5352151263837,1669.1872951245264,0.0,6.864051109149517,957.2370952007365,931.2037201534191,983.9982772807004,0.0,6.709798727255312,820.4054975656536,797.446126180092,844.0258950909308,0.0,6.746685823362568,851.2329461422222,826.5152022062114,876.6898983392008,0.0,7.096997015308231,1208.3330151641837,1169.369879477599,1248.594393578903,0.0,7.115880291617858,1231.3670963735256,1193.218377266374,1270.7354788694106,0.0,6.938862090079517,1031.5956838692416,1003.720454357854,1060.2450616177593,0.0
No/Improper License Plate Lamp,-0.03831585497144463,0.962408911239911,0.8816205795690811,1.0506003760560063,0.3917099535519011,0.0238551464853906,1.0241419565836825,0.9337213902222339,1.1233187524871995,0.6129746070322554,0.004955421974355625,1.004967720384039,0.8986476565801917,1.1238666362935843,0.930784273738077,0.39887995347206057,1.4901547199693124,1.1951246156477557,1.8580163611166847,0.00039492298182473834,0.25736713842346864,1.2935199404645101,1.0623485573581573,1.5749951602891985,0.010405488876028187,0.026599173828496903,1.0269560893786442,0.8473619315565675,1.2446143380250183,0.7862308706900182,-0.15984099458453924,0.8522792952162365,0.7083476668873041,1.0254568921589313,0.09033954570452464,-0.20561294863832819,0.8141481324507958,0.6629596644117279,0.999815248430358,0.049794295436105265,-0.054200972092414694,0.9472417182209402,0.7612410224241491,1.1786895954199101,0.6269987155363843,-0.29889609821251417,0.7416364627860988,0.604930333072874,0.9092363415468157,0.004036748071645651,-0.19378120545071245,0.8238381358446326,0.6590602501474124,1.0298136990057465,0.0887659806989865,-0.4126606883062604,0.6618868306714185,0.5358042821783986,0.8176384384893539,0.0001295728620758782
