variable,coef_2006,odds_ratio_2006,OR_lower_CI_2006,OR_upper_CI_2006,pvalue_2006,coef_2007,odds_ratio_2007,OR_lower_CI_2007,OR_upper_CI_2007,pvalue_2007,coef_2008,odds_ratio_2008,OR_lower_CI_2008,OR_upper_CI_2008,pvalue_2008,coef_2009,odds_ratio_2009,OR_lower_CI_2009,OR_upper_CI_2009,pvalue_2009,coef_2010,odds_ratio_2010,OR_lower_CI_2010,OR_upper_CI_2010,pvalue_2010,coef_2011,odds_ratio_2011,OR_lower_CI_2011,OR_upper_CI_2011,pvalue_2011,coef_2012,odds_ratio_2012,OR_lower_CI_2012,OR_upper_CI_2012,pvalue_2012,coef_2013,odds_ratio_2013,OR_lower_CI_2013,OR_upper_CI_2013,pvalue_2013,coef_2014,odds_ratio_2014,OR_lower_CI_2014,OR_upper_CI_2014,pvalue_2014,coef_2015,odds_ratio_2015,OR_lower_CI_2015,OR_upper_CI_2015,pvalue_2015,coef_2016,odds_ratio_2016,OR_lower_CI_2016,OR_upper_CI_2016,pvalue_2016
subject_race_black,0.09173139898756538,1.096070376925512,1.028219643064277,1.1683984830258032,0.004900469572974309,0.1586908338311911,1.1719755554716305,1.0941169460409028,1.2553746723265617,6.054037169208646e-06,0.22281015710208538,1.2495833266969378,1.156239834885271,1.3504624587803822,1.8561731779070694e-08,0.11756204474468303,1.1247514126931164,1.032345335812926,1.225428833229511,0.007193579549216193,0.030446162992712366,1.0309143872093638,0.9482421023992765,1.120794437481907,0.47530864566416287,0.05628467115715088,1.057898794149732,0.9781431030109932,1.144157593319839,0.1593151224100714,0.23326202733547696,1.2627123011229289,1.1628469416802354,1.3711541031387164,2.8733219565360717e-08,0.145062980397018,1.156112380391907,1.0522844765031008,1.270184884354799,0.0025155552880180817,0.010997605650805152,1.011058301615191,0.9079465697446006,1.1258800058604148,0.8411792918820107,0.13208240330828808,1.141202354242201,1.0114674199807536,1.287577620001565,0.03194115675792593,0.09216731917074744,1.0965482802812931,0.9865026682485428,1.2188696185917667,0.08761457447011152
subject_race_hispanic,-0.646135926704217,0.5240669022799518,0.49637420518482256,0.5533045738407003,2.3622111895366273e-120,-0.5041768934344791,0.6040025293234531,0.5713811298070539,0.6384863559500508,7.348793698479855e-71,-0.44332795537261344,0.641896659106495,0.5992238535714659,0.6876083428860684,1.4261363360807446e-36,-0.42783036167513966,0.6519219963744347,0.6084845699814527,0.6984602573731375,5.0227915750608965e-34,-0.5448143441370144,0.579949444360168,0.5418334702701834,0.6207467357931067,1.3482404026871315e-55,-0.556932035755487,0.5729642038094928,0.5371053645623407,0.6112170916679465,5.353239132828549e-64,-0.3902576809651223,0.6768824323054828,0.6324211706177673,0.72446946505006,2.1151222100747946e-29,-0.37670924259704364,0.6861155380687494,0.6366844353694964,0.7393843879757633,5.368959334400516e-23,-0.4089828194532856,0.6643256457019621,0.6109788813009265,0.7223303080421212,1.01062937275137e-21,-0.46692738782034476,0.626925611194786,0.5717365399600635,0.6874420200594665,3.044103509602489e-23,-0.38777756665772944,0.6785632615730636,0.6239445693557208,0.737963150207603,1.3406957783950156e-19
subject_race_asian/pacific islander,-0.6256413722678847,0.5349182367512756,0.3595099519977904,0.7959098723666272,0.0020296427269703883,-0.1266786639295945,0.8810167295703553,0.6035442773380493,1.286053910089673,0.5115708947338392,0.4397469001787108,1.55231427832046,1.072800847614078,2.2461574522771186,0.019661628476441914,-0.06346312118111243,0.9385087297559328,0.6468360954523759,1.3617029754842191,0.7382358393617572,-0.12290894677249445,0.8843441812869522,0.6195750919904897,1.2622596374292179,0.4983843824992301,-0.024359204460758562,0.9759350865524692,0.7288023435747437,1.3068691416282407,0.8701187764719371,0.04107352470802959,1.041928710233484,0.7613771683933225,1.4258576199489994,0.7974697989225749,-0.11606604599723908,0.8904164129154498,0.6437493320409998,1.231599551141315,0.48312023162224105,-0.38831121159017984,0.6782012463295694,0.4459192033370155,1.0314804275772718,0.06951105621153598,-0.24276742102761678,0.7844539400477345,0.48962753306000595,1.2568083747467662,0.3127402389043109,-0.08588908182596233,0.9176960147415022,0.5788705346652018,1.4548433976856576,0.7148649802974261
county_type_Non core,0.1689145966449332,1.1840190154095083,1.1207849205853118,1.2508207445538981,1.6197590968258618e-09,0.09880447908086133,1.1038504526031874,1.040933348279948,1.1705704536469155,0.0009676087360808088,0.05180807587079846,1.0531735936904998,0.985897537235084,1.1250404596380312,0.12398505580520924,-0.0415448368876555,0.9593063220673991,0.8863004637883357,1.0383257790760414,0.30361932202926756,-0.010837682346588806,0.9892208337490025,0.9138844203955039,1.0707676332851574,0.7885802620109986,0.019502762423611802,1.0196941836840576,0.9465062168856374,1.0985413615774788,0.6077990481575937,0.0033657182743396788,1.0033713886639508,0.9262422082350437,1.0869231985311887,0.9342699469101123,0.002956620609175929,1.0029609957226768,0.9191917391766418,1.0943644465757247,0.9470260482653656,-0.08244554767307878,0.920861579547405,0.8324882226475042,1.0186162706179205,0.10923569408511757,0.006859036843132963,1.0068826139108404,0.9038254506140366,1.1216906953739434,0.9009179577485837,0.02044609365522377,1.0206565468964919,0.9257744573115321,1.1252630470578162,0.6812827062518501
county_type_Micropolitan,0.0570623161616206,1.0587217838176652,0.9985864599637128,1.1224784838067907,0.055805306239409845,0.010147367571778441,1.0101990266929357,0.9501008257002863,1.0740987123963166,0.7457394900424998,0.025643580916256705,1.0259752061556218,0.9574162449249318,1.0994435588761122,0.46739667814377917,0.05376664901764111,1.0552383325210506,0.9728592769561681,1.1445930205915864,0.1948119433586959,0.0677528208245076,1.070100769160001,0.9897265245393403,1.1570020887232564,0.088991160354691,-0.00041894483810431146,0.9995811429070305,0.9261894382178326,1.0787884422196683,0.9914088007215034,-0.03995031481669854,0.9608371773376521,0.8862512949578447,1.0417001211807535,0.3325347526682527,-0.012441042265203315,0.9876360275603852,0.9026288796655924,1.080648918852048,0.7864487276648324,-0.11944390143269275,0.8874137890648844,0.8033762342834361,0.9802421324112248,0.018617639901964845,-0.1915744911402716,0.8256581186009373,0.7351005089282692,0.9273715914107203,0.001229041525049069,-0.2713834986331888,0.762324090093341,0.686220288195223,0.8468680223154699,4.250211956803007e-07
subject_sex_female,0.05548065424591968,1.0570485674729797,0.9958096139085296,1.122053511424839,0.06844632326092899,0.016380677435866544,1.016515576304211,0.9556150941033018,1.0812971909351008,0.6032943026924997,-0.005628954753085731,0.9943868581288091,0.9260065816005479,1.067816626000857,0.8769366607087641,0.09217704848981878,1.0965589490012888,1.0122035499968651,1.1879443898794222,0.024010572553061715,0.05273711530777086,1.0541524881383815,0.9750741431411233,1.1396440732892146,0.184997554278017,0.06363517203283922,1.065703529378386,0.9910090018204186,1.1460279477212596,0.08609567052158106,0.12910960503561844,1.137814827566249,1.053952233239426,1.22835033789953,0.0009492686390479432,0.09672287349964961,1.101555061218827,1.0119743114551025,1.1990655683265816,0.02541630514679011,0.05430785979275585,1.055809593449266,0.9611968281052591,1.1597353060526656,0.25689702470845655,0.04920611622645774,1.0504368405059321,0.9465462092803489,1.1657302570901469,0.354410601787398,0.1644785163885997,1.1787782448658355,1.0752647631086227,1.2922567522363895,0.00045248537530482463
const,-2.242816749420842,0.10615905937745149,0.09618630411328179,0.11716580641909809,0.0,-2.2083938313469638,0.10987698783580936,0.09863623392507945,0.12239875728670643,0.0,-2.677319999820039,0.06874714986388995,0.060586761724530404,0.07800665491739937,0.0,-2.389421260514581,0.09168272894175725,0.08082574418094116,0.10399808713657122,3.4119567803899313e-302,-2.4390678686490848,0.0872421347016441,0.0765957499696345,0.09936830790634182,2.2733962619033335e-295,-2.1132052863935584,0.1208499861553144,0.1068510661431816,0.13668295208369,4.0775260755316164e-248,-2.2020662120591887,0.1105744518997217,0.09623637890526425,0.12704872681213336,4.986873125188653e-212,-1.981935766506529,0.13780222602485512,0.1179218379533843,0.16103423951814577,3.2528342778583074e-137,-1.9462130342198039,0.1428138801000843,0.12009745643452117,0.1698271133690607,1.902520103822537e-107,-1.7104027993156814,0.18079295467014814,0.15053414087966088,0.21713408179272742,7.9077682820128335e-75,-1.6684721642788887,0.1885348960528284,0.15962894049416534,0.2226752048820999,5.938064334913939e-86
Speeding Over Limit,-0.08862720185604764,0.9151866898860969,0.8642192292677601,0.9691599642538948,0.002433937695877195,-0.1067411863205309,0.8987582538220817,0.8469908608503007,0.9536896277751976,0.00042103403183833604,0.024750153453695408,1.0250589810818018,0.9586264128283756,1.0960953095338701,0.46907930693447175,0.022427150864135575,1.022680530057819,0.9467492684456169,1.1047016368721054,0.5688362144505849,-0.027035986400932056,0.9733262143867016,0.9014232761873576,1.050964563084392,0.48989964342304704,-0.14902028178653906,0.8615516409152837,0.8008978302022846,0.9267989023972518,6.309384111328163e-05,-0.09536687949604626,0.909039365377887,0.8410588726402485,0.9825145357691182,0.01618223725498727,-0.15418560368159967,0.8571129229332766,0.7852170268889089,0.9355917377007679,0.0005618831144915609,-0.03312180062933248,0.9674207199601867,0.8761641225203295,1.0681821194824952,0.5123371279472853,-0.05768417680472542,0.9439480210452208,0.8453099728940058,1.0540960062077922,0.3056539682513544,0.03791539345804279,1.0386433531385137,0.9400929759813474,1.14752481146101,0.456014971953567
Speeding-10% or More Above Posted Speed,-0.001384717606281718,0.9986162406727765,0.9170270537081416,1.0874645323744334,0.9745981576594925,-0.015998473376148663,0.9841288224486715,0.8974062656988759,1.0792319779714925,0.7339212871134674,0.0002458644659373244,1.0002458946930823,0.8927161412816871,1.120727859153462,0.9966193664709833,0.10190988839594883,1.107283688122894,0.9797677777956794,1.2513956814761922,0.10256729464591394,0.007574530072583823,1.0076032893924145,0.881730555507947,1.151445169334685,0.9114166780321149,-0.12378511204934871,0.8835696889637068,0.7732539882615925,1.009623496427815,0.06887963760893057,-0.07392508124892269,0.9287412713710489,0.8106616471367618,1.064020176844995,0.2866350621561008,-0.0842015850742823,0.9192459311570655,0.7940385846506888,1.0641964991166724,0.25969949494534705,-0.012481202212222016,0.9875963649462741,0.8457128759711805,1.1532833515571677,0.8746710627783295,-0.08370324933817108,0.9197041384158792,0.7758374326908314,1.0902486353173493,0.33483891124847853,0.053493329705154656,1.054949954916876,0.9143104385376823,1.217222685501748,0.46369272582382703
No/Improper License Plate Lamp,-0.05418916915176279,0.9472528985247034,0.8767210230457471,1.0234590367711895,0.16987360987327316,-0.054074298229037594,0.9473617165891072,0.8705041059148969,1.0310051566217444,0.21033812982138456,0.04405561830928095,1.0450404766565533,0.9506419294851488,1.1488127800569705,0.36173946527605916,0.0602494622633421,1.0621014677361063,0.9571761554621695,1.1785286557023678,0.25626599228561386,0.021402026563106264,1.021632692567867,0.9231931041147776,1.1305688418505622,0.6788655399466886,0.015863184509499913,1.0159896727713476,0.9226388281431903,1.1187855785946075,0.747006946165999,-0.0068744480544535675,0.9931491269110148,0.8907639121027496,1.1073025914978198,0.9014441126911289,-0.02519080835768289,0.9751238324991159,0.8637777167751074,1.1008231287301555,0.6838581857600893,-0.04737014942892939,0.953734308036984,0.8247059138323407,1.1029496879680487,0.5230026397684204,0.04556958541351766,1.0466238318321988,0.8919727610001228,1.2280884498433287,0.5764321767730669,-0.1274542231308788,0.880333713833057,0.757379780079866,1.0232481353402123,0.09680547026044536
