variable,coef_2006,odds_ratio_2006,OR_lower_CI_2006,OR_upper_CI_2006,pvalue_2006,coef_2007,odds_ratio_2007,OR_lower_CI_2007,OR_upper_CI_2007,pvalue_2007,coef_2008,odds_ratio_2008,OR_lower_CI_2008,OR_upper_CI_2008,pvalue_2008,coef_2009,odds_ratio_2009,OR_lower_CI_2009,OR_upper_CI_2009,pvalue_2009,coef_2010,odds_ratio_2010,OR_lower_CI_2010,OR_upper_CI_2010,pvalue_2010,coef_2011,odds_ratio_2011,OR_lower_CI_2011,OR_upper_CI_2011,pvalue_2011,coef_2012,odds_ratio_2012,OR_lower_CI_2012,OR_upper_CI_2012,pvalue_2012,coef_2013,odds_ratio_2013,OR_lower_CI_2013,OR_upper_CI_2013,pvalue_2013,coef_2014,odds_ratio_2014,OR_lower_CI_2014,OR_upper_CI_2014,pvalue_2014,coef_2015,odds_ratio_2015,OR_lower_CI_2015,OR_upper_CI_2015,pvalue_2015,coef_2016,odds_ratio_2016,OR_lower_CI_2016,OR_upper_CI_2016,pvalue_2016
subject_race_black,0.03557348514329271,1.036213791649283,0.9717303340018616,1.1049763338993661,0.2778456239328685,0.02283992279729721,1.0231027510117023,0.9525576461690971,1.0988723289738809,0.5309374831250692,0.10698745216632286,1.112920289653021,1.026545623784983,1.2065626138997558,0.009443241364636116,-0.1092391265744276,0.8965160110614742,0.8187932280806587,0.981616518707213,0.018226551186864653,-0.06962702704893467,0.9327416424406801,0.8583940033510113,1.0135287154227446,0.1004063641979009,-0.04518167176970279,0.955823819853961,0.8849315777515095,1.0323952693851748,0.25050920494881956,-0.08886418505839598,0.9149698317104684,0.8455610425476188,0.9900761161109628,0.02726206739894819,-0.1002603355608873,0.9046018873390617,0.8272406742342013,0.9891977027543026,0.027943485501171293,-0.21860685243594827,0.8036376042211187,0.7288215973602339,0.8861337277290426,1.161943395762761e-05,-0.03236805330857853,0.9681501856177549,0.8715551867707665,1.0754508677580994,0.5461285525406951,-0.15866647028751188,0.8532809060493071,0.7789414860478172,0.9347150173275415,0.0006457396539487889
subject_race_hispanic,-0.7957975613194292,0.45122121478518995,0.4247709430102818,0.47931853160514865,5.267330383344244e-147,-0.7658555220920734,0.4649359977607724,0.4359268882476463,0.49587554207255785,4.5278423372225206e-120,-0.7228244405959999,0.4853793928258919,0.4488191701158984,0.5249177634707411,3.7611184478804687e-73,-0.8336590640102203,0.4344566695914822,0.4019556150240106,0.46958567239133425,4.873938125396545e-98,-0.8091375335087408,0.4452419068994922,0.41447918327033495,0.4782878457135885,1.0267245816040365e-108,-0.8409358407702073,0.4313067001069639,0.4035450588073043,0.46097818693893866,1.736648412434067e-135,-0.6887215129730634,0.5022177376584617,0.46958196692581056,0.5371216822272739,9.014860964927972e-90,-0.7140169916980837,0.48967322813539493,0.4550877519051333,0.5268871099007792,2.2679904129228485e-81,-0.7917296494402696,0.4530604813758163,0.41875165156135846,0.4901802751562633,1.933872144285542e-86,-0.714211802224226,0.4895778439274096,0.4506408979979104,0.5318790778410939,5.2120563513571706e-64,-0.7534159215848742,0.47075573841157065,0.43761427834107763,0.5064070717425243,5.559908106788994e-91
subject_race_asian/pacific islander,-0.708797635124183,0.49223568869827644,0.3193888895434769,0.7586236752774831,0.001319491129335841,-0.25880363231685294,0.7719745990243632,0.5199213349869908,1.1462210558328747,0.19939539800310702,0.1487427816770218,1.1603744812417802,0.7806042432644077,1.7249059921661893,0.4621020003575953,-0.05215452325125205,0.949182184793063,0.6191253701252549,1.4551928630323492,0.8109278025426524,-0.14200432581495337,0.8676175033250266,0.5906108216195457,1.2745451057123682,0.46926121859977954,0.15150200948098042,1.1635806400004916,0.83669896815488,1.6181684898807376,0.3679188407463959,0.21103406960753485,1.2349544287573844,0.8739763606994277,1.7450271079265316,0.23156238761582582,0.00741518218779912,1.0074427427312729,0.7221134111093933,1.4055145137418807,0.9651868601013864,-0.05448688421476625,0.9469709290437025,0.628474873185223,1.4268731793667164,0.7944883975445086,-0.08519472678967033,0.9183334428662272,0.5998325839346765,1.4059528189591979,0.6950202375634946,0.04968131524791497,1.0509361256851621,0.7238057461470125,1.5259159603933428,0.7940032693352287
county_type_Non core,0.04844210366633266,1.049634600066077,0.9921549505547657,1.1104442839697943,0.09182151010731532,0.01480350772408105,1.014913622334413,0.9543309152338224,1.0793422327176578,0.6373496471838946,-0.09504652538527797,0.9093306265262983,0.847752474794372,0.9753816272129147,0.007891022696714973,-0.06023241341985137,0.9415456803015088,0.8656473024584503,1.0240986895895536,0.1601285185098904,-0.16141858645204762,0.8509358063484527,0.7862096200159593,0.9209906977622494,6.36081154721094e-05,0.0004887172806744123,1.0004888367224216,0.9313955918296167,1.0747075906166588,0.9893201989365118,-0.05684865943369085,0.944737035585935,0.8780554087372414,1.0164826245888883,0.12795564396623746,-0.028470982844994476,0.9719304963948285,0.8973027255123498,1.0527649843957778,0.48487837397469125,0.005765489227128047,1.0057821416478776,0.9219977221410864,1.0971802773098327,0.8966300163061731,0.056292811055449754,1.0579074053733741,0.9650825697374604,1.1596604409177975,0.22958762973713442,0.016298563878592926,1.0164321100211202,0.9379779985711418,1.1014482598267763,0.6908659191002553
county_type_Micropolitan,-0.01506728184798343,0.9850456616809712,0.9245940930294576,1.049449658949517,0.6410112813572042,-0.01987839748102332,0.9803178751820043,0.9150918779327182,1.0501930566495736,0.5714877759830519,-0.07211395250913145,0.9304248655221272,0.8622706714670583,1.0039659923826376,0.06317128076351824,-0.104374999571262,0.9008874016804,0.8237014800277384,0.9853061214350758,0.022379030681557808,-0.08352426265516696,0.9198687679417663,0.8493317691027447,0.9962638641535877,0.0401773765024186,-0.0408591661289004,0.959964315918922,0.8899836203047559,1.0354476945565865,0.29006000522938136,-0.10341488927351335,0.9017527683090958,0.8351857540438692,0.9736253895805862,0.008215050018705703,-0.12757521639867156,0.8802272058237782,0.8086269291222292,0.9581673649100302,0.003207231770624569,-0.15194204802001213,0.8590380622552335,0.7843668182457008,0.9408179632760381,0.001057273809125732,-0.31124914888526256,0.7325313437637228,0.6609901325367342,0.8118157037184878,2.9187078833356776e-09,-0.21607020328696133,0.8056787385923547,0.7365783716416363,0.8812615938926592,2.3263220178990092e-06
subject_sex_female,-0.16583308438778754,0.8471876312305102,0.7946033356773252,0.9032517865007044,3.930946890233609e-07,-0.10691234632119695,0.8986044355229046,0.8397392461267513,0.9615960374198759,0.001982532858821659,-0.10536498402437657,0.8999959784790896,0.832820828003493,0.9725894622740351,0.007763170024658689,-0.011338407092582114,0.9887256303889272,0.9031599329673474,1.0823978528101121,0.8060616811607381,-0.14866847586587736,0.8618547932057721,0.7934464483146064,0.9361610807503947,0.0004261056944439417,-0.05916177609040141,0.9425542740769521,0.8743946829407102,1.016026946313179,0.12239555524716796,-0.01806287703250682,0.9820992789285987,0.9117223604047112,1.0579086743511765,0.6339909288090302,-0.0037350851240626672,0.9962718816298739,0.9179400516687316,1.0812881084357848,0.9287656207090399,0.05623991471465783,1.0578514474227316,0.968991568199811,1.1548600849988147,0.20900166366254658,0.005277940151741012,1.0052918930145214,0.9160777001267667,1.1031944015457114,0.9113678972440765,0.039617459089533166,1.0404126976363435,0.9602614729182325,1.1272539948034614,0.3327515428016322
const,-2.3813793354916157,0.09242300721535741,0.08416694669862948,0.10148891694165617,0.0,-2.476113167033499,0.08406935491667138,0.07583129060094372,0.0932023756960468,0.0,-2.7364792562061386,0.06479808320662153,0.057497324024772534,0.07302586091560039,0.0,-2.502759393388067,0.08185880604211773,0.07170395176987844,0.0934518106916384,3.103972548309148e-300,-2.6769375821836077,0.0687734450139964,0.060765862005060324,0.07783624856172222,0.0,-2.567914527555998,0.07669532474465571,0.06808589430801046,0.08639341375290047,0.0,-2.453083312678352,0.08602792615747201,0.07587751225890617,0.09753619825730099,0.0,-2.22005083407598,0.10860358792159407,0.09494639211851098,0.12422525012557986,5.77175906643296e-230,-2.121703726051348,0.11982730160693582,0.10299412114272609,0.13941166788055684,3.962282590317724e-166,-2.02730321037979,0.1316901834285237,0.11293219230914389,0.1535638692284029,1.9829901303562818e-147,-1.7742725009998268,0.16960679340036913,0.14847124553282115,0.19375108132433874,1.720117030917833e-150
Speeding Over Limit,-0.019004013903096733,0.9811754238918295,0.9233942450701706,1.0425722464581242,0.5394280814457055,0.05284123218162806,1.0542622489138904,0.987773017010994,1.125227021131114,0.1118741863443849,0.07181835583477345,1.0744601569187746,0.9979411464896046,1.1568464060900845,0.0567426678096499,0.04618042425412324,1.047263345620231,0.9614752537433793,1.1407059212492308,0.28958620796677403,0.17506637043122053,1.1913252827612426,1.1003786297239997,1.2897887063674953,1.5546245800123873e-05,0.08967019727123451,1.093813481540739,1.0160842257360445,1.1774889345748756,0.01711531781058907,-0.01918582936653322,0.98099704724373,0.9099299253650318,1.0576146358906198,0.6170506819145016,0.06979706035721144,1.072290548910887,0.9873328329990129,1.164558680572877,0.09746455584218855,0.035336919023092855,1.035968687565699,0.9451729873687116,1.1354864516435128,0.4502012728758311,0.07654142417379739,1.079546908749718,0.9805488014072185,1.1885400568727802,0.11883127740625621,0.05763031390322873,1.0593233062153746,0.9747423842319399,1.1512435339264502,0.17465087521728506
Speeding-10% or More Above Posted Speed,-0.23894859706214522,0.7874553588512485,0.7261381873001179,0.8539503265750472,7.598650561779855e-09,-0.205264199903635,0.814432115098257,0.7459675084816043,0.8891803765737039,4.613170572356323e-06,-0.2426671267230498,0.7845326202556387,0.701883004717778,0.8769145685364799,1.9330872140438186e-05,-0.06509899980338006,0.9369746984747045,0.8270980850647445,1.0614479726585762,0.30634632729434896,-0.07544468648537214,0.9273310230535096,0.8143588998005326,1.0559752297520189,0.25501778661835006,-0.0875119695970305,0.9162079049458258,0.8096342335984618,1.0368100683617318,0.16543466116514705,-0.20458968025798047,0.8149816508754462,0.7199963361599387,0.9224978765949224,0.0012126885749256424,-0.16541910795929524,0.8475384195443868,0.7430748239938657,0.9666878077539698,0.013709813505519062,-0.24942228170649872,0.7792508405214719,0.6811429953818969,0.8914895647028759,0.00028014872997977555,0.04909567851825283,1.0503208390742367,0.912763798230621,1.2086082589297416,0.4930306708261901,0.020257209780783342,1.0204637795393368,0.9073216670815973,1.1477146012628594,0.7354710587425073
No/Improper License Plate Lamp,0.0555575510061064,1.0571298542084817,0.7605281924921177,1.4694044740102492,0.7408908186196945,-0.20773733781636655,0.812420400805877,0.558381691827435,1.1820353663199252,0.27755609470380294,0.24789711663536718,1.2813280980664405,0.8436337648905945,1.9461071417731561,0.24501179862393463,0.8349019237771356,2.3045880119153295,1.176496391431622,4.51435800682822,0.014942147644430703,-0.5592632921281292,0.5716300331092806,0.22710221508309186,1.43882742241401,0.23504565285495538,-0.48209413749756685,0.6174889301658802,0.2507854894490088,1.5203933039153368,0.2943457591173475,-0.8793502104994162,0.41505252084773003,0.1506183041520089,1.143742761093607,0.08907913370895379,0.13497790517774907,1.1445114962938732,0.34787147790718614,3.765489982189141,0.8242014442138059,0.6067971146576745,1.834546137969868,0.5233414169898102,6.430906140963209,0.3430455658579926,-0.7564094183580495,0.46934863975108515,0.12362398124643473,1.7819208167796081,0.26645587283780503,0.31758543616908885,1.3738066126256052,0.4838164507138724,3.9009517061874557,0.550887539718049
