variable,coef_2006,odds_ratio_2006,OR_lower_CI_2006,OR_upper_CI_2006,pvalue_2006,coef_2007,odds_ratio_2007,OR_lower_CI_2007,OR_upper_CI_2007,pvalue_2007,coef_2008,odds_ratio_2008,OR_lower_CI_2008,OR_upper_CI_2008,pvalue_2008,coef_2009,odds_ratio_2009,OR_lower_CI_2009,OR_upper_CI_2009,pvalue_2009,coef_2010,odds_ratio_2010,OR_lower_CI_2010,OR_upper_CI_2010,pvalue_2010,coef_2011,odds_ratio_2011,OR_lower_CI_2011,OR_upper_CI_2011,pvalue_2011,coef_2012,odds_ratio_2012,OR_lower_CI_2012,OR_upper_CI_2012,pvalue_2012,coef_2013,odds_ratio_2013,OR_lower_CI_2013,OR_upper_CI_2013,pvalue_2013,coef_2014,odds_ratio_2014,OR_lower_CI_2014,OR_upper_CI_2014,pvalue_2014,coef_2015,odds_ratio_2015,OR_lower_CI_2015,OR_upper_CI_2015,pvalue_2015,coef_2016,odds_ratio_2016,OR_lower_CI_2016,OR_upper_CI_2016,pvalue_2016
subject_race_black,0.07007066143096355,1.0725839688946242,1.0251290866628142,1.1222356143213656,0.002406098433788548,0.1008447848491259,1.1061049441929405,1.052717735775779,1.16219961532847,6.45789016707629e-05,0.1726937038096751,1.1885020156876827,1.1238849876509547,1.25683415724419,1.4064997730395031e-09,0.01871364979453045,1.018889847523561,0.9574307029638524,1.084294161627466,0.5555044264271571,-0.0140774190411188,0.9860212044916495,0.9296694084668838,1.0457887576514742,0.6391772351972675,0.009024643642593925,1.0090654885167158,0.955164199963691,1.066008504248991,0.747297421071695,0.07098402808770149,1.0735640788601082,1.0142320598996315,1.1363669883722745,0.014399055305358562,0.013285744473514317,1.013374392124939,0.9499002698112723,1.0810899746545197,0.6872676163559954,-0.11282627923370235,0.8933058324110449,0.831075945955708,0.9601954118668702,0.0021950662122441683,0.042844177778832114,1.0437752388021182,0.9643869325459608,1.1296987882864091,0.2884563417202318,-0.04847276325699901,0.9526832869423165,0.8892302087834235,1.0206642062474827,0.1680942667821741
subject_race_hispanic,-0.7150002631176464,0.4891919830812714,0.46985903037400456,0.5093204149348768,1.1920220890564464e-264,-0.6177112888372217,0.5391770470393953,0.5170176538454005,0.5622861925350258,5.263039006838471e-183,-0.5672280713198582,0.5670952095236799,0.5385912264016213,0.5971077152766228,4.466231582644595e-103,-0.6098527237137052,0.5434308976656643,0.5161652324060778,0.5721368313807266,2.82722039834112e-119,-0.6727759704367458,0.5102900596954466,0.48578928319370007,0.5360265325576441,3.338671022266693e-158,-0.6990008872786402,0.4970816964204704,0.4746089712164528,0.5206185047091395,9.996205611961653e-193,-0.5419214915331788,0.5816295816434367,0.5545544632444994,0.6100265937154092,5.54642136806809e-110,-0.5517028861807988,0.5759681665724289,0.546688029879626,0.6068165219894244,2.0531411401871195e-95,-0.6137458382494848,0.5413193718116842,0.5112252746051344,0.5731850064043242,3.457429047341502e-98,-0.6055823683838764,0.5457565027417898,0.5131947023415688,0.5803843237779722,6.033887092106525e-83,-0.5982887248068138,0.5497516078784151,0.5203673171273165,0.5807951814371115,4.159152512092825e-101
subject_race_asian/pacific islander,-0.6662168501742906,0.5136481144690848,0.38345471307119045,0.6880457496128459,7.934768640376047e-06,-0.18274331660138926,0.832981940933942,0.6339575439263809,1.0944879835717398,0.18957576227746475,0.3050989840087648,1.3567592938336248,1.0362194681680459,1.776453577598091,0.026507406166500474,-0.06454662879751595,0.9374923990996146,0.7081938662857604,1.2410330563565104,0.6519696871521974,-0.12777737295456668,0.8800492801084746,0.6778630315932186,1.1425416335201608,0.3373489447881932,0.03920230022842271,1.0399808507344446,0.835620912138101,1.2943191753386762,0.7254428555103254,0.10955415318070796,1.11578049236176,0.8846173071321708,1.4073499321091636,0.35501191975336155,-0.062225069615807954,0.9396713715145782,0.745133363043912,1.184998995128947,0.5990551871319908,-0.2368480123618902,0.7891112140533713,0.5891083168404767,1.057015306598369,0.1122510511667375,-0.15807755951961971,0.8537835603576562,0.6232194713956227,1.1696463306972913,0.324984625409775,0.007051685025934625,1.0070766067022843,0.754507679693844,1.3441921388772609,0.9618226287352768
county_type_Non core,0.11326334915935955,1.1199268259051218,1.0768350984471784,1.1647429557139801,1.534038808899615e-08,0.060916620461243236,1.0628102938605977,1.0186997141263678,1.108830899893557,0.004853548443931674,-0.015654752732639395,0.9844671459818799,0.9383442767125039,1.0328571139296783,0.5225352327690134,-0.05133637477085608,0.9499590745174088,0.8968676506692617,1.006193324716936,0.08019666654362563,-0.085685401984702,0.9178829499569313,0.8680152988917487,0.970615507465507,0.0026434257169856566,0.01242291812422644,1.0125004031023204,0.9616813682457819,1.066004916111005,0.6363333313056766,-0.023168374340772794,0.9770979516986883,0.9259283761295968,1.0310953112858758,0.3985613531572668,-0.004449876099311803,0.9955600099300331,0.9388166040377022,1.0557330676823908,0.8818562518791391,-0.034311178213159696,0.9662707754364169,0.9049225443085773,1.0317780425902519,0.30526207653668813,0.03891362566372038,1.039680678043255,0.9696020903167193,1.1148242388208922,0.27441682891691466,0.016808875342548494,1.0169509393502143,0.9559811552822663,1.0818092044292704,0.5941281145554052
county_type_Micropolitan,0.024325395419843673,1.024623671501581,0.9815696500078775,1.0695661466233746,0.2667265702237941,-0.0012657835758650628,0.9987350171902643,0.9540581808327341,1.045503989800088,0.9567682319325953,-0.018603722936603027,0.9815682581693199,0.9326509442432144,1.0330512732470893,0.475680219103797,-0.01860643644220017,0.9815655946819711,0.9243383619022273,1.0423358548925872,0.5437949731960172,-0.003389146338423611,0.9966165903353891,0.9426176844346311,1.0537088838169537,0.9050809792622277,-0.01988212942509804,0.9803142166973453,0.9291270124980308,1.0343214119619264,0.467443943295729,-0.07221091067539938,0.9303346576065837,0.8801193090391037,0.983415050953625,0.010750476509737896,-0.06934993858012374,0.9330001302045157,0.8773205111426251,0.9922134862980865,0.027177928592440108,-0.1425219332551376,0.867168534254961,0.8110320686034368,0.9271905463575288,2.9949865495980454e-05,-0.25724683458824754,0.7731773432985263,0.7160243228975568,0.8348923145110757,5.1851732184332087e-11,-0.23820816953429916,0.7880386283836536,0.7361754512474774,0.8435555393384464,6.9858835247155906e-12
subject_sex_female,-0.048509499022627856,0.9526482900351919,0.9120170256596275,0.9950897175966497,0.02916075501640959,-0.04141707591442796,0.9594288918063776,0.9166748371823212,1.0041770114059878,0.0749540260041062,-0.054253183207964996,0.9471922629652043,0.8988377377590886,0.9981481031914684,0.04242805664535591,0.043558330415136355,1.044520919873977,0.983850622821578,1.1089325216112988,0.1536678242740675,-0.045107558501537616,0.9558946617061688,0.9032947198071885,1.011557561715174,0.118280500266138,0.0022102365673760177,1.0022126809407672,0.9513210210493948,1.055826829864961,0.9337519627596924,0.053974133861568144,1.0554573011973347,1.0007516658705595,1.1131533952348658,0.0468521617519117,0.0423951807857545,1.043306692054359,0.9837825224307022,1.1064323962535962,0.15722825873122406,0.05269051145284415,1.054103361713503,0.9887885432628084,1.1237325763395112,0.10642056332964975,0.021239133492374274,1.0214662892347572,0.9531772145001164,1.0946478411049947,0.5474299988165194,0.08932135882540208,1.0934319838902,1.0294611628835044,1.161377958198268,0.0036849496757756168
const,-2.2725035329538747,0.1030538581294106,0.09610052075815564,0.11051030308236291,0.0,-2.2970856092724627,0.10055146336416988,0.09313318966580132,0.10856061969912997,0.0,-2.6699278631788372,0.06925722112492722,0.06334850140293007,0.07571706625604892,0.0,-2.4219974113100764,0.08874418168007113,0.08073960859624638,0.0975423329266871,0.0,-2.5089180381358145,0.08135621596166581,0.07412575792244165,0.0892919554701423,0.0,-2.2992433184883763,0.10033473644591463,0.0918092917920701,0.10965185703067017,0.0,-2.359011907746271,0.09451356519509661,0.0858112294169674,0.10409842705413447,0.0,-2.088357673890083,0.1238904373280622,0.1114768500831487,0.13768634877905203,0.0,-2.0327525454711837,0.13097451123059034,0.11638922458864269,0.14738754942926188,1.2323754664130742e-249,-1.8838870739555755,0.15199812800693094,0.13449323951250403,0.17178135496887492,4.669711431880981e-200,-1.7306046301533966,0.17717725086895927,0.15896552843565884,0.197475380570876,1.1024895926945263e-214
daytime,-0.1015979598002739,0.9033926788411576,0.8732835907117402,0.9345398686796041,4.240767466690188e-09,-0.12599570051367845,0.8816186372825393,0.8504654790757619,0.9139129579352178,6.683564058633999e-12,-0.0927317553728018,0.9114379558424105,0.8745920026990347,0.9498362033800343,1.0609123644947106e-05,-0.08151716418560605,0.9217168891983508,0.8786954153343411,0.9668447211713618,0.0008302792917262321,-0.11459007901727489,0.8917316084931932,0.8518041112534837,0.9335306687070248,9.44597323772111e-07,-0.11966745705108756,0.8872154249000358,0.8499778244553114,0.9260844077726129,4.498198521400305e-08,-0.01725939125223799,0.982888698835395,0.9403845110074276,1.027314022073153,0.44414496033090234,-0.06227941806568974,0.9396203032198921,0.8948000916262602,0.986685542933321,0.012508124952596213,-0.04520094159430755,0.9558054014740595,0.9054837192030483,1.0089236792584757,0.10141813819777068,-0.04230937305897299,0.9585731779781037,0.9036946535202812,1.0167843020423708,0.15954792945523943,-0.03612713182261945,0.9645176647996095,0.9153624558857261,1.0163125215904967,0.1758413092892821
Speeding Over Limit,-0.05639606757526046,0.9451647126508772,0.9066432061106138,0.9853229230853852,0.007897490866724364,-0.03544487006480866,0.9651759428504707,0.9238072452930686,1.008397157960983,0.11277650754012111,0.04229739625047827,1.0432046777821162,0.9927562179460555,1.0962167550036177,0.09442712137676677,0.03482953251904246,1.0354431843628997,0.9779186588049704,1.0963514995753882,0.23235754078923943,0.0681836008539064,1.0705618465051254,1.0131820521648154,1.131191245189987,0.015270317620249775,-0.0308816913165819,0.9695902772397981,0.9206978280176061,1.0210790957790457,0.24208483780296086,-0.05649077862728827,0.945075199345619,0.8955267617042226,0.9973650934991931,0.03978364712181632,-0.034953309289704894,0.9656505021128534,0.9095832071801154,1.0251738212292616,0.25208111513608733,0.010189468354791432,1.0102415577582478,0.9447139673145216,1.0803142965303794,0.7658584906753452,0.02024572239275313,1.0204520571432605,0.9492968774972433,1.096940720666108,0.5830103368820712,0.05505213960393231,1.0565957037208298,0.9914497866399408,1.1260222112758902,0.08998034173354595
Speeding-10% or More Above Posted Speed,-0.1292064400499637,0.8787925288447643,0.8288553578037141,0.9317383322462193,1.500238981647814e-05,-0.11725300338078559,0.8893601535711334,0.8347800494748543,0.9475088476990439,0.00028499871945695295,-0.12597634891216028,0.8816356981801763,0.8144286010090407,0.9543887620629111,0.0018462233436900746,0.022772509647146638,1.0230337827570388,0.9377007889499098,1.1161322812090364,0.6083320627789508,-0.037137476086470445,0.963543662031506,0.8780909449805632,1.057312336436445,0.4331671732447365,-0.10710475564191911,0.8984315522865741,0.8206917609820567,0.9835352229906339,0.020367987403808352,-0.14489800576735368,0.8651105248952392,0.7896012911984348,0.947840674308664,0.0018735649243747435,-0.1341173486832796,0.8744874386324725,0.7932804950642139,0.9640074161461383,0.006993989273218871,-0.14583405728518356,0.8643011157587456,0.7811721112557184,0.9562763543887898,0.004706316839441631,-0.0049436282690237246,0.9950685713494686,0.8932366516187459,1.108509665264045,0.9284865105456037,0.037552755190979434,1.0382667695987629,0.9484205198890867,1.1366243794251913,0.4161079595707674
