variable,coef_2006,odds_ratio_2006,OR_lower_CI_2006,OR_upper_CI_2006,pvalue_2006,coef_2007,odds_ratio_2007,OR_lower_CI_2007,OR_upper_CI_2007,pvalue_2007,coef_2008,odds_ratio_2008,OR_lower_CI_2008,OR_upper_CI_2008,pvalue_2008,coef_2009,odds_ratio_2009,OR_lower_CI_2009,OR_upper_CI_2009,pvalue_2009,coef_2010,odds_ratio_2010,OR_lower_CI_2010,OR_upper_CI_2010,pvalue_2010,coef_2011,odds_ratio_2011,OR_lower_CI_2011,OR_upper_CI_2011,pvalue_2011,coef_2012,odds_ratio_2012,OR_lower_CI_2012,OR_upper_CI_2012,pvalue_2012,coef_2013,odds_ratio_2013,OR_lower_CI_2013,OR_upper_CI_2013,pvalue_2013,coef_2014,odds_ratio_2014,OR_lower_CI_2014,OR_upper_CI_2014,pvalue_2014,coef_2015,odds_ratio_2015,OR_lower_CI_2015,OR_upper_CI_2015,pvalue_2015,coef_2016,odds_ratio_2016,OR_lower_CI_2016,OR_upper_CI_2016,pvalue_2016,coef_2017,odds_ratio_2017,OR_lower_CI_2017,OR_upper_CI_2017,pvalue_2017
subject_race_black,0.08145063473615469,1.084859661878671,1.0684419664785,1.1015296318344185,1.201587865857523e-25,0.08697013143700225,1.090864096688682,1.0733688802262444,1.1086444738304597,5.473546932324949e-26,0.20585071833949817,1.2285697873673826,1.2089646163565508,1.2484928855740676,8.059100939321712e-139,0.2501957914129516,1.28427684245104,1.2640367204856602,1.304841055109779,3.0728997474633774e-209,0.33357162820389313,1.3959450319959634,1.3754362437774805,1.4167596216618732,0.0,0.378474751381423,1.4600559419370391,1.439580931153954,1.4808221666821149,0.0,0.3818542561773176,1.464998555083353,1.444898704442736,1.485378012864964,0.0,0.45108624746380693,1.5700166862113079,1.547068296002021,1.5933054806642593,0.0,0.42912695347125723,1.5359160118898216,1.5109289919600073,1.5613162551863828,0.0,0.5127634497719097,1.6698995080068872,1.6411647490807066,1.6991373769170033,0.0,0.5024186173798882,1.6527137227808066,1.6253012325885912,1.68058855472449,0.0,0.5416558484275051,1.718850663251188,1.6936410356374592,1.7444355329091579,0.0
subject_race_hispanic,0.23811300236054161,1.2688525680592582,1.2546643342569006,1.2832012479450297,0.0,0.20290310380159035,1.224953769133389,1.2107787532531122,1.2392947369472178,7.456140988325063e-256,0.06498302564502531,1.067140910201837,1.0543380626727106,1.0800992229566413,4.959705762789568e-26,0.2619297900616443,1.2994353059538373,1.2861468541129177,1.3128610538988246,0.0,0.2851659554028357,1.3299827276271574,1.3171814500931327,1.3429084168027912,0.0,0.32491547997109343,1.3839136726139114,1.3710136676547708,1.396935055012148,0.0,0.3982858802202094,1.4892697218119535,1.4753790462516525,1.503291177911677,0.0,0.4191635532206623,1.5206890480437838,1.5057331596656764,1.5357934877078496,0.0,0.2812194012268511,1.3247442225607438,1.3108729914046073,1.3387622345683041,0.0,0.22530036403115486,1.2526989253882335,1.238677077905972,1.2668795004439062,0.0,0.3476260062707899,1.415702686792299,1.400486647364176,1.4310840457943814,0.0,0.3595957000917701,1.4327500367386623,1.4188529955568379,1.4467831933279423,0.0
subject_race_asian/pacific islander,-0.16616065627469462,0.8469101618276528,0.8016475251968103,0.8947284182419813,3.0427924150488703e-09,-0.19125343084540816,0.8259232471988072,0.7813721033790254,0.8730145436642589,1.3789978067660927e-11,-0.07400808644061727,0.9286641842231451,0.883477825881776,0.9761616441228546,0.003637660953236545,-0.04901637031716856,0.9521655423189953,0.9113366212648416,0.9948236456484456,0.028375430597051648,-0.02777208286552961,0.9726100160292696,0.9338627487588917,1.0129649614332032,0.18059507417738674,0.03827233106405571,1.039014150182252,1.001490490223484,1.0779437396734983,0.04141760236192908,0.01582069778474545,1.0159465076147467,0.9813295224409246,1.0517846276215899,0.37108886333522784,0.017252055894194356,1.0174017321124267,0.9804775966941668,1.055716405959084,0.36036049596258324,-0.017143500647923172,0.9830026130013404,0.9441799518877871,1.0234215789431464,0.4043563506300055,-0.0474066504320939,0.9536994964133217,0.9132187640151719,0.995974639701898,0.03217492500695683,-0.09837313887278173,0.906310660913666,0.865478995716744,0.9490686869939885,2.8835957830217922e-05,-0.04540000512841804,0.9556151544091749,0.9183106856834506,0.9944350398763181,0.025440793043544085
county_type_Non core,-0.2228515643513479,0.8002336236761635,0.7909300840210634,0.8096465988576934,2.495980454084312e-305,-0.25560425494847033,0.7744483922743685,0.7649634736332436,0.7840509161146038,0.0,-0.46681284743227125,0.6269974236102179,0.6197783307172049,0.6343006035059786,0.0,-0.2751363522051492,0.7594685609516295,0.7505994378297844,0.7684424821068676,0.0,-0.2560127876504038,0.7741320693986836,0.7655713557066582,0.7827885100511949,0.0,-0.24021072576842295,0.7864621157700831,0.77792798667625,0.7950898671022693,0.0,-0.21516173748978085,0.8064110027379847,0.7975347948063116,0.8153859989203516,0.0,-0.22472292398044202,0.7987374991091469,0.7894829775998695,0.8081005044879894,0.0,-0.19402842093468,0.8236344954737325,0.8134423427429355,0.8339543523721507,7.482538447370869e-205,-0.26932503681151493,0.7638949213219276,0.7535994583867263,0.7743310379636443,0.0,-0.31570216759617975,0.7292766200347015,0.7199693617415318,0.7387041960268442,0.0,-0.33242028610472923,0.7171858362620789,0.7088758299216009,0.7255932591069204,0.0
county_type_Micropolitan,-0.18220591136053257,0.8334297101005108,0.8229548626553235,0.844037884941864,2.173531771362389e-175,-0.22053162174037616,0.802092274906931,0.7914592258080336,0.8128681762582918,3.9853741004470237e-230,-0.478429483420181,0.6197559649034702,0.6119424893618765,0.6276692053757565,0.0,-0.23819262862635798,0.7880508753145953,0.7780866338268831,0.7981427196990918,1.127110489972279e-294,-0.1872066312482628,0.8292723650967322,0.8192750237571438,0.8393917006763036,4.943679465854694e-201,-0.24171832675036461,0.7852773380225389,0.7760484857479442,0.7946159408035394,0.0,-0.20333905319616735,0.8160015265920679,0.8065669935851091,0.8255464167222012,2.18181437154972e-257,-0.24182076848401737,0.7851968969709643,0.7754937762649393,0.7950214249072177,0.0,-0.408287645145023,0.6647876283838146,0.6562458646713092,0.6734405725718826,0.0,-0.5529885381999168,0.575228147741411,0.5675123922092273,0.5830488047422667,0.0,-0.48037017738495963,0.6185543745794199,0.6106501137985381,0.6265609481857322,0.0,-0.511942450174019,0.5993302782062877,0.5924145453697601,0.6063267439705262,0.0
subject_sex_female,-0.14644889884313936,0.8637698708466498,0.8548794659093925,0.8727527324437058,2.0695910119790602e-169,-0.12841537507333686,0.8794879858756375,0.86991704187184,0.8891642306894142,4.447066963050705e-117,-0.09308684829392848,0.9111143681314976,0.9015171556712374,0.9208137489048376,1.6017013312180708e-66,-0.1560810762998799,0.855489827609411,0.8465937488270273,0.8644793871407512,2.9044388807188416e-188,-0.19372248886882862,0.8238865102241701,0.8158379702685549,0.8320144519700648,0.0,-0.20749927409276717,0.8126138316551414,0.804972155221047,0.8203280512428651,0.0,-0.19946715759273884,0.8191671237914369,0.8115314467681483,0.8268746446894589,0.0,-0.20810508298412245,0.8121216920570101,0.8041906303358677,0.8201309712276624,0.0,-0.20797402602337065,0.8122281332325079,0.803700756593397,0.8208459865219748,0.0,-0.14238807363816805,0.8672846208722861,0.8577011061917106,0.8769752168577238,3.3381564793173324e-139,-0.1353972916869481,0.8733688605643946,0.8640974431697285,0.8827397565319758,1.7654499015241462e-136,-0.14922519097128936,0.8613751191570058,0.8532922072299646,0.8695345974286905,2.727384985723301e-211
const,-4.21281149746492,0.014804686432882713,0.014521591421294453,0.015093300315182941,0.0,-4.352746173297031,0.01287141686005734,0.0126051070912308,0.013143352990679869,0.0,-4.332801328014424,0.013130712487964562,0.012870074561395467,0.013396628715637677,0.0,-4.612964072641458,0.009922364069285455,0.009721111953686823,0.010127782623273634,0.0,-4.508846363034332,0.011011155727652057,0.010802476001919437,0.01122386667992238,0.0,-4.183719182611622,0.01524171529927043,0.014974997492993405,0.015513183583016218,0.0,-3.9186890543685684,0.0198671223975398,0.019525424805686212,0.020214799743761887,0.0,-3.926192656999505,0.01971860530909844,0.019356448084767563,0.02008753845918598,0.0,-3.876627154015359,0.020720594829502285,0.020308260131769933,0.021141301485336945,0.0,-3.850021285131965,0.021279283501199328,0.020842738248456144,0.021724972070690095,0.0,-3.8904477983521395,0.020436192695251786,0.02003914911706007,0.020841103054715624,0.0,-3.937906951588136,0.019488963429980435,0.019148428561835153,0.019835554356253313,0.0
daytime,0.14937283231825238,1.1611058062894695,1.1493781607700526,1.172953114487475,6.98939410848418e-183,0.15680832091158423,1.1697713717001474,1.1573840174826786,1.1822913064113774,2.936517829612334e-183,0.11914552820698278,1.1265338488109289,1.1149428766940115,1.138245320943967,6.957374775696545e-113,0.08900170042964828,1.0930825150346666,1.0817609705072748,1.1045225491119497,5.238702657528768e-63,0.02813155944956121,1.028530988491668,1.0183480112738115,1.0388157904530024,2.999269702611281e-08,0.015789423100969667,1.0159147347058344,1.0061310589816435,1.0257935474500204,0.0013841450857091494,0.0449626576033272,1.0459887994507515,1.0358457518531512,1.0562311682208172,1.5150753815194942e-19,0.10213199420767281,1.1075296495789766,1.0962301042154003,1.1189456665892743,7.426663702950687e-85,0.02189492378460564,1.0221363766054605,1.010746758946689,1.0336543383714625,0.00012832025512251883,-0.06919768863826199,0.9331421902341376,0.9224190209521039,0.9439900169189777,8.503269185829956e-32,-0.005905538530340789,0.994111864886623,0.983111997568071,1.0052348077869246,0.2982195460710301,0.013749627154845725,1.0138445880045817,1.0038594784880663,1.023929016613254,0.006473815230461396
Speeding Over Limit,-0.19353998433943287,0.824036886965795,0.8150617138950378,0.8331108914873206,6.887164751885242e-263,-0.13208001912880443,0.876270873841969,0.8662159601308311,0.8864425035851263,1.977968617358365e-111,-0.004887466173422758,0.9951244580550448,0.9839863263997609,1.0063886666419302,0.3947416252449233,0.13136400182471336,1.1403828071950093,1.1272828998424265,1.1536349456979715,5.238381410622933e-110,0.13203915323364768,1.1411529982225337,1.1285514087435462,1.1538952991092308,3.88971939228363e-120,0.0044267445654774685,1.0044365570730134,0.9937510430577462,1.0152369692919787,0.4172386876103341,-0.08639300878182135,0.917233679483773,0.9074459962112565,0.9271269323926568,4.0508831566923735e-56,-0.09491090660593379,0.9094539571986766,0.8992202931200488,0.9198040864875265,1.0161349963590315e-60,-0.06030144681940454,0.9414806844458312,0.9299683290722414,0.9531355547009547,7.523490608939106e-22,-0.03838278822415869,0.9623444962368176,0.9498930444061259,0.9749591650250448,7.623708310905366e-09,0.006248320769308099,1.006267882246431,0.9939225138602291,1.0187665906752077,0.3211624167038225,0.058592165956608065,1.0603427086912403,1.0485061115264798,1.0723129293331564,1.4565985182431427e-24
Speeding-10% or More Above Posted Speed,9.360700594635786,11622.528371382858,11152.598029895378,12112.25988612688,0.0,9.725635943453625,16741.33254716034,15949.364984439177,17572.62535079325,0.0,8.658425797982845,5758.462540353097,5574.280879741676,5948.729808209188,0.0,8.280345022193364,3945.555451363101,3835.868447471698,4058.37896501427,0.0,8.026348137720664,3060.544553337395,2979.7995138751003,3143.477579396574,0.0,7.681963743866065,2168.8747070809354,2113.6633030378357,2225.5282987856317,0.0,7.102326427233796,1214.7899099886665,1186.4054975205024,1243.8534114132174,0.0,6.996776849099518,1093.104234458685,1066.6189715427186,1120.2471541109771,0.0,6.936748798301227,1029.4179231244302,1003.7135109505285,1055.780607602129,0.0,7.172958942489047,1303.6964641361385,1268.0573512912815,1340.3372243931374,0.0,7.246156903343273,1402.7037502884875,1365.5194645322401,1440.9005965706851,0.0,7.056591267954773,1160.4826416496678,1133.7385432622436,1187.85761459173,0.0
