variable,coef_2006,odds_ratio_2006,OR_lower_CI_2006,OR_upper_CI_2006,pvalue_2006,coef_2007,odds_ratio_2007,OR_lower_CI_2007,OR_upper_CI_2007,pvalue_2007,coef_2008,odds_ratio_2008,OR_lower_CI_2008,OR_upper_CI_2008,pvalue_2008,coef_2009,odds_ratio_2009,OR_lower_CI_2009,OR_upper_CI_2009,pvalue_2009,coef_2010,odds_ratio_2010,OR_lower_CI_2010,OR_upper_CI_2010,pvalue_2010,coef_2011,odds_ratio_2011,OR_lower_CI_2011,OR_upper_CI_2011,pvalue_2011,coef_2012,odds_ratio_2012,OR_lower_CI_2012,OR_upper_CI_2012,pvalue_2012,coef_2013,odds_ratio_2013,OR_lower_CI_2013,OR_upper_CI_2013,pvalue_2013,coef_2014,odds_ratio_2014,OR_lower_CI_2014,OR_upper_CI_2014,pvalue_2014,coef_2015,odds_ratio_2015,OR_lower_CI_2015,OR_upper_CI_2015,pvalue_2015,coef_2016,odds_ratio_2016,OR_lower_CI_2016,OR_upper_CI_2016,pvalue_2016
subject_race_black,0.43428214870339804,1.5438544031888648,1.511935442994096,1.5764472149191844,0.0,0.3391350652651369,1.4037329279695128,1.3720671667147637,1.4361294992459344,1.4126975812008715e-186,0.4316034900502522,1.5397244780318688,1.5017546303319445,1.5786543423052308,1.3729760275839824e-251,0.5986530511983978,1.8196661518227848,1.7700065791694772,1.8707189809674136,0.0,0.6333331630343245,1.8838794031421404,1.8351313436697447,1.933922396249952,0.0,0.6231179003807467,1.8647330392949957,1.8182317018393968,1.9124236500335168,0.0,0.5458527960079527,1.7260797488187496,1.6809027797168488,1.7724709217174803,0.0,0.47673866750422766,1.6108124314115726,1.5620310105805655,1.6611172707932829,8.684392716995396e-203,0.5059330949762324,1.6585323668907668,1.6025389130213303,1.7164822580427885,2.608660604169531e-183,0.4323389091026878,1.5408572372238072,1.4836627986335138,1.6002564920355975,3.7347354060680675e-111,0.5128943471720001,1.6701181078176588,1.6156673310957153,1.7264039696642193,4.92607310539717e-202
subject_race_hispanic,0.21781757489116987,1.2433602268042712,1.223037933059143,1.264020200691527,5.7771421574634746e-148,0.16419124653841258,1.1784396660501002,1.1582246856444154,1.1990074669731399,3.2980508159005176e-77,0.2489089542713816,1.2826252502031523,1.2571820415856845,1.3085833857312335,6.007071235488978e-131,0.15292467209583904,1.1652372007605225,1.1406939289385736,1.1903085477974298,5.0630590526757993e-45,0.18578467542521196,1.2041629465858665,1.1798594840045729,1.2289670266571646,2.4637273996642775e-71,0.1540376196483119,1.1665347705808005,1.1435616991078654,1.1899693493019343,4.875496159816894e-52,0.04837465848519901,1.049563809657614,1.0273703097474807,1.0722367388773042,9.153784161559722e-06,0.03243571270861167,1.0329674843277143,1.0084773886069847,1.05805230313811,0.00806052153715619,-0.02496901495408803,0.9753401325189245,0.9500211695911348,1.0013338697614957,0.06279597566673759,-0.04833182695393529,0.9528175640648071,0.9260172974752645,0.9803934687458075,0.0008993549161688184,-0.15805924323174914,0.8537991986463441,0.8318635137634653,0.8763133128788936,1.1505155595000162e-32
subject_race_asian/pacific islander,-0.5368876649864601,0.5845647855274608,0.5272214772642114,0.6481450457063207,2.1554318805220397e-24,-0.5259411424096355,0.5909988884283897,0.5326583973997812,0.655729240031945,3.4731617451627445e-23,-0.5254855128577953,0.5912682263415592,0.5297592279945021,0.6599188782507086,6.848877028952126e-21,-0.48844885726683496,0.6135774025480759,0.5474396879604232,0.6877053987815016,4.7086433595545576e-17,-0.47717249795188416,0.6205354789615289,0.557131818419313,0.6911547104642369,4.054863231794875e-18,-0.43141311425530865,0.6495905002406954,0.5900205799162448,0.7151747453671132,1.4831617110388514e-18,-0.5541131021650202,0.5745816304878854,0.5183964849085241,0.6368562667865578,4.859903254981479e-26,-0.31934218664196984,0.7266268647536837,0.6546308860313514,0.8065409253490095,1.9907324362507322e-09,-0.516861146692553,0.5963895925523723,0.5250028099090072,0.6774831284549331,1.9275748485329548e-15,-0.5615009114302966,0.5703523727053847,0.4956204497306816,0.6563527175430917,4.650540749021869e-15,-0.4337544151021217,0.6480713924904709,0.5685797640459856,0.7386765346270209,8.21438369095744e-11
county_type_Non core,0.1728964184658264,1.1887429668864724,1.168394245652041,1.2094460808761038,9.197464954691437e-86,0.11096404235174702,1.1173547286837986,1.096848931780016,1.138243885314227,7.79573458195076e-32,0.08365406924076992,1.0872527145895632,1.0657393910501856,1.109200312299152,2.3251850263821435e-16,-0.03517123363140822,0.9654400862910625,0.9424746883842631,0.9889650849038732,0.004192284113127914,-0.017737089516467745,0.9824192867376289,0.959777872191312,1.0055948182577905,0.13596790080711943,0.035633851108871566,1.0362763455834074,1.0130451678112136,1.0600402613201376,0.0020675226107503748,0.07725076914702637,1.080312951585001,1.0542578222060928,1.107012012412794,5.582653502011965e-10,0.12003778113000431,1.127539450489217,1.0971362726855234,1.1587851427950522,7.493334366590972e-18,0.04007728623870531,1.0408912176508756,1.0095849972636672,1.0731682126014828,0.010105100826073691,0.09728005205626103,1.102168995097378,1.0669141832638604,1.1385887570055258,4.493728671689588e-09,0.030350322459901338,1.0308155885597443,1.001001961662824,1.0615171781008859,0.042678462371697395
county_type_Micropolitan,0.17504097591862094,1.1912950300204679,1.1691295325969964,1.2138807625524808,1.526738930394703e-74,0.13187800345985767,1.140969116491658,1.1183574753590337,1.1640379337293971,3.808211960373768e-38,0.14099937460432677,1.1514239278889764,1.1269010918668956,1.176480412774215,1.017429925977789e-37,0.08410974262428605,1.0877482596075203,1.0606952464012602,1.1154912594296544,5.925534105425977e-11,0.22584592641780293,1.253382537263227,1.2244817467602833,1.282965457731689,2.7527214238642574e-80,0.20197348355633796,1.2238155564448534,1.1959468893232976,1.2523336358555883,3.438893404762882e-66,0.1753275408397127,1.1916364623056641,1.162597997686631,1.2214002270104607,4.2178328619211337e-44,0.21891248783097986,1.2447223435690005,1.210294436789975,1.2801295829212869,8.016094166735206e-53,0.16368498949461555,1.1778432236577925,1.1428071578281462,1.2139534216368666,2.30452558242111e-26,-0.060659081312953035,0.9411440386797209,0.9095030470174736,0.9738857988953594,0.0005079604163932991,-0.1161678157845897,0.8903258000373587,0.8628554748123707,0.9186706851278105,3.732332565710405e-13
subject_sex_female,-0.7863727745968087,0.4554939818304182,0.4469066780598127,0.46424629048832766,0.0,-0.7087187256913311,0.4922745322698431,0.48262769043738685,0.5021141967670247,0.0,-0.6692392528187926,0.5120980067544066,0.5010632614313982,0.5233757665103548,0.0,-0.732356638930745,0.4807746417527966,0.46873287428935456,0.4931257627341959,0.0,-0.709024350894967,0.4921241037542171,0.48054102004186466,0.5039863890803583,0.0,-0.68248019511777,0.5053620402808678,0.493966405620638,0.5170205683035446,0.0,-0.6501236507422878,0.5219812294039579,0.5095642229091094,0.5347008121852906,0.0,-0.6572496105771926,0.5182748336263758,0.5044441329948878,0.532484740333316,0.0,-0.6018321470970455,0.547807053001143,0.5319633080491774,0.5641226806004729,0.0,-0.6448816302833147,0.5247246499388282,0.5083371410144342,0.5416404508707886,0.0,-0.5665811558274382,0.5674621908905653,0.5517327563118858,0.5836400583551564,0.0
const,-3.7899803318915706,0.02259604626823951,0.022060160160772786,0.023144950137956498,0.0,-3.8388464136823988,0.02151841037644591,0.02097517843238862,0.022075711375791365,0.0,-3.974677715099628,0.018785354755380533,0.018265742238600693,0.019319748887058227,0.0,-4.261872807792,0.014095878803061061,0.01364188142497494,0.014564985066270002,0.0,-4.2722462536151875,0.013950411769616162,0.013516065867508153,0.014398715606268686,0.0,-4.298476216685376,0.013589250316555756,0.01318081301820702,0.014010343968230496,0.0,-4.420704384781006,0.01202575853939031,0.011638372207460055,0.012426039128996064,0.0,-4.608647637659433,0.009965285876611977,0.0095970175124822,0.010347685879851758,0.0,-4.607904938907894,0.009972689831104808,0.009562462742781089,0.010400515551550948,0.0,-4.81834205734027,0.008080172502640998,0.00772404968172913,0.008452714620268968,0.0,-4.761236418698262,0.008555025262436589,0.00820658481396315,0.00891826001924713,0.0
daytime,-0.397239851401672,0.6721727847119209,0.6621013955912483,0.6823973722392053,0.0,-0.41999558862990843,0.6570497182981396,0.6466646384359469,0.6676015768541619,0.0,-0.4425174564213546,0.6424171265661908,0.6312210044146618,0.6538118370890751,0.0,-0.3983285287865872,0.6714414035937284,0.6577811406497011,0.685385351751831,0.0,-0.32035189690444327,0.7258935524301443,0.711738899649251,0.7403297047826449,4.37532852373114e-223,-0.32667556729271735,0.7213177241310439,0.7076390181956446,0.7352608402971627,3.3355545166793974e-245,-0.397859597272513,0.6717563374631647,0.6582230242139646,0.6855679007290969,0.0,-0.4197205506126698,0.6572304568037283,0.6423370580296891,0.672469177903904,4.495040214007333e-282,-0.4426990924578916,0.6423004510620767,0.6261974202342563,0.6588175806923877,6.051201512859449e-256,-0.2285390105546722,0.795695256085733,0.7739977013106892,0.8180010605783389,4.922780622826729e-59,-0.19178792276926618,0.8254819158479809,0.8051075022186552,0.8463719335793611,3.9562551123747224e-51
Speeding Over Limit,-0.5832234746854043,0.558096454124223,0.5471388089952566,0.5692735499388262,0.0,-0.5476056993615857,0.5783328567334838,0.5663194665407412,0.590601088146509,0.0,-0.5593770462101966,0.5715650115578856,0.5586137019797232,0.5848165937917224,0.0,-0.40496485297334056,0.6670002535221944,0.6496253995993225,0.6848398145655504,1.152100390603225e-198,-0.4144837177012905,0.6606812907241795,0.6441581593105984,0.6776282526330578,9.83162320752989e-226,-0.4036172911167138,0.6678996835048621,0.6519850750284842,0.6842027590990574,5.425174094712025e-236,-0.3845045291753001,0.6807878631786402,0.6635483942236613,0.6984752260512848,9.356017567961866e-190,-0.40830348216975365,0.6647771002090709,0.6456926437264011,0.6844256276669602,3.6174700199226556e-166,-0.43205885204322236,0.6491711705111171,0.6285246911407665,0.6704958684405773,2.6431830096273957e-151,-0.38623125943137104,0.6796133405110664,0.6562685084482502,0.7037885966716801,5.21980596239512e-104,-0.3854346515458438,0.6801549415504154,0.6592255839211651,0.701748772800619,4.571199377037011e-129
Speeding-10% or More Above Posted Speed,-0.7694873947067551,0.46325047210290765,0.452604731210837,0.4741466120547449,0.0,-0.724351265371835,0.4846388690121572,0.47273842138861066,0.49683889172254514,0.0,-0.7991846389703091,0.4496954788446816,0.43634719569943053,0.463452098893852,0.0,-0.6727845155783099,0.5102856992132783,0.4925485331895533,0.5286615983513135,4.5035881488693365e-304,-0.7543244985500875,0.47032821483985304,0.45334608935549775,0.4879464825403602,0.0,-0.793201246401288,0.45239424928106164,0.4360387421041197,0.4693632400528882,0.0,-0.7456050878324992,0.47444713088136214,0.4565819450361589,0.4930113475768947,0.0,-0.6952357936965367,0.49895678324904524,0.4784021586150862,0.520394540590988,3.6187300186982587e-230,-0.653328306770642,0.5203111365762807,0.4976797256993718,0.5439716847313049,2.510107038088658e-182,-0.5902088937178516,0.554211501340725,0.5284333056171608,0.5812472169210029,2.684800958971559e-130,-0.5350847603346917,0.5856196507234992,0.5621650950642424,0.610052773330443,3.4916839450754415e-145
