variable,coef_2006,odds_ratio_2006,OR_lower_CI_2006,OR_upper_CI_2006,pvalue_2006,coef_2007,odds_ratio_2007,OR_lower_CI_2007,OR_upper_CI_2007,pvalue_2007,coef_2008,odds_ratio_2008,OR_lower_CI_2008,OR_upper_CI_2008,pvalue_2008,coef_2009,odds_ratio_2009,OR_lower_CI_2009,OR_upper_CI_2009,pvalue_2009,coef_2010,odds_ratio_2010,OR_lower_CI_2010,OR_upper_CI_2010,pvalue_2010,coef_2011,odds_ratio_2011,OR_lower_CI_2011,OR_upper_CI_2011,pvalue_2011,coef_2012,odds_ratio_2012,OR_lower_CI_2012,OR_upper_CI_2012,pvalue_2012,coef_2013,odds_ratio_2013,OR_lower_CI_2013,OR_upper_CI_2013,pvalue_2013,coef_2014,odds_ratio_2014,OR_lower_CI_2014,OR_upper_CI_2014,pvalue_2014,coef_2015,odds_ratio_2015,OR_lower_CI_2015,OR_upper_CI_2015,pvalue_2015,coef_2016,odds_ratio_2016,OR_lower_CI_2016,OR_upper_CI_2016,pvalue_2016
male_black,0.006662633819041845,1.0066848785391116,1.0059474394317212,1.0074228582477462,4.963277167351073e-71,0.02493891745654321,1.0252524935817484,1.0238371196920268,1.0266698241139958,3.2022528873483687e-274,0.013667696306537053,1.0137615262601392,1.0125245594034942,1.0150000042771707,1.0559710395765636e-106,0.017805353598602133,1.0179648139168347,1.0162456808144646,1.0196868551925722,1.0407526464940628e-94,0.014735613514156986,1.0148447179150155,1.0135351514952693,1.0161559763966554,8.247493909439173e-111,0.014373109894763453,1.0144768997033935,1.0130592027085026,1.0158965806541713,3.0144868745422235e-90,0.01206051080494434,1.0121335320278568,1.0105119905260835,1.0137576755738082,3.4307920862199624e-49,0.030404857277614467,1.0308718054328367,1.0284144752273383,1.033335007270721,1.303536942788774e-137,0.008878479704551356,1.0089180103094317,1.0054380814424058,1.0124099835829141,4.7431320044454e-07,0.03546660284874524,1.0361030446601414,1.0325200650601318,1.039698457667741,1.4449553132810408e-89,0.03834343335302843,1.0390880290930538,1.0365520229423366,1.0416302397825246,1.0600899401052946e-207
female_black,0.05204521970136905,1.0534233769268695,1.0491194251660636,1.057744985400834,5.009598513978181e-137,-0.017361568957639854,0.9827882746541261,0.9780844310500036,0.9875147401750787,1.316575512027311e-12,0.08586643719997779,1.089660780440545,1.0821260086692779,1.0972480163289202,5.971384102176352e-130,0.05239076834661888,1.0537874488462977,1.0467208383320319,1.06090176738579,1.3898957930963474e-52,0.05440698684515333,1.0559142579296126,1.0508876578267503,1.0609649012386213,1.2882396689978598e-110,0.03015201101131335,1.0306111862954743,1.0263510163217524,1.0348890393502441,3.5129248340564e-46,0.07313242625923934,1.0758730013184625,1.0680754071703753,1.0837275226030516,1.947431693510412e-86,-0.012576058674637307,0.9875026894917325,0.9805333258303727,0.9945215894906799,0.0005010913510629355,0.0878024169289949,1.0917723849752425,1.08162916913654,1.1020107210552312,6.655689811535276e-76,-0.036139660864573014,0.9645055803930255,0.9561748409168842,0.972908902013404,3.2069453818176733e-16,-0.03815926790289351,0.9625596238295828,0.9565949426878299,0.9685614967016443,2.4111311434042028e-33
male_hispanic,-0.00112452546053044,0.9988761065812873,0.9985028413601034,0.999249511338304,3.701943164993012e-09,-0.0018676902372925348,0.9981340528107918,0.997608028411372,0.99866035457533,3.806437713570361e-12,-0.0032063333056802615,0.9967988014915301,0.996016518735758,0.9975816986611181,1.2002805290834795e-15,-0.01654208411264976,0.9835939848395924,0.9827419149892405,0.9844467934627786,2.6606393097927918e-306,-0.006580722822003075,0.9934408827150978,0.9928517144217506,0.9940304006268953,8.25915810223532e-105,-0.009586650083070698,0.9904591553564023,0.9897181936137533,0.9912006718269603,4.1802263577085055e-139,-0.01137932313678238,0.988685176474945,0.9877106868725211,0.989660627522859,2.96179212356393e-113,-0.014370372559329074,0.9857323884176719,0.9844852382745797,0.9869811184559406,1.1921555641429802e-109,0.0030989923000929592,1.0031037991409026,1.0015565795174879,1.0046534089323937,8.325128863018355e-05,-0.014074023414634165,0.9860245526570505,0.9847485156748758,0.9873022431277595,1.1000409097951092e-100,-0.00728695748529336,0.9927395280174451,0.9914545090962703,0.9940262124448158,2.84634602189545e-28
male_asian/pacific islander,-0.06783439673345043,0.9344152029749393,0.9267753691604232,0.9421180154384956,5.497685176964664e-59,-0.15235558098467333,0.8586828951403087,0.8531469441580164,0.8642547681328575,0.0,-0.08750990736169363,0.9162097943840916,0.9012523775012101,0.931415448414961,2.0062003257267021e-25,0.0819856640731613,1.0854402489260129,1.0664956809371018,1.1047213364739823,7.095353185183216e-20,-0.09063843693214141,0.913347884069443,0.9021947747042812,0.9246388703676119,2.202601683539779e-47,0.035570089620703745,1.03621027316792,1.0201857241240997,1.0524865275296895,7.706922442428677e-06,-0.023789052042624433,0.976491676957614,0.9624699758781037,0.9907176525662946,0.0012654078791126534,-0.13872667584828188,0.8704659153045605,0.8586345501575579,0.8824603081345467,7.683419587489675e-88,-0.156214460030336,0.8553757267946025,0.8393670671732602,0.8716897083577921,4.575525444619915e-59,-0.13346782588272138,0.8750556226669333,0.8480746329198957,0.9028949965460645,6.680116074974297e-17,-0.18654942454536144,0.8298175475827738,0.8101351953469936,0.8499780854248062,2.1819018492705132e-52
female_hispanic,-0.06311678511882926,0.9388338254667494,0.9354993487338241,0.9421801875474278,7.370861149081304e-265,-0.09215067043627335,0.9119677326168755,0.9073643101266874,0.9165945101127506,5.6463103351108806e-279,-0.08073594460040101,0.9224372338212349,0.9171732526956182,0.9277314267930968,2.789519569237385e-168,0.022655579710266216,1.0229141664748929,1.016087933385347,1.0297862592353018,3.317278473572537e-11,-0.04511959463799498,0.9558831564968209,0.9511203358250071,0.9606698274217491,3.910541969833163e-70,-0.014639009553504485,0.9854676197967015,0.9810111199059862,0.9899443645051084,2.4468246729010696e-10,-0.049128214763885805,0.9520590538459146,0.9461669368363703,0.9579878631573165,2.9483205982307783e-54,-0.002582463423928785,0.9974208682661329,0.9901276210069204,1.0047678373430742,0.49039595677943915,-0.11026245166533417,0.8955990529860778,0.8865950126606218,0.9046945361247966,1.7474941141859123e-101,0.014428020618178893,1.0145326068932914,1.0077162759727518,1.0213950444098303,2.731603752431973e-05,-0.021124705536075022,0.9790968581573791,0.9732371117778198,0.9849918853818808,5.29786821328632e-12
female_asian/pacific islander,-0.1522169209753442,0.8588019683737167,0.8330795765507991,0.8853185717698324,1.0112381808495578e-22,0.19975326308173924,1.221101430183563,1.1771558520069076,1.266687584532004,1.2386274457611814e-26,-0.4877336577701188,0.6140163897605793,0.5856640212060613,0.6437413145479282,6.436445567021736e-91,-0.7989546396486379,0.4497989203950617,0.4173960676506466,0.4847172373408671,2.10278770291863e-97,-0.30557409587433804,0.7367003163530681,0.7093548431356952,0.7650999515497638,1.8220054621047142e-56,-0.3463238443547522,0.7072834002778757,0.6873053542645104,0.7278421522613543,4.578399650381186e-124,-0.12408168316546797,0.8833076865679735,0.861201222293629,0.9059816091204326,8.371150852448144e-22,-0.3021248885601315,0.7392457357887017,0.6785958607657661,0.805316226457814,4.602969388259687e-12,-0.08324920747474882,0.9201218174113819,0.8619533957229119,0.9822157010778629,0.012471347889766147,-0.4398584409462054,0.6441275967227356,0.5952772072312591,0.6969868085317475,8.213991229354126e-28,-0.1407685138659417,0.8686903782020597,0.8128459595719382,0.9283714390094748,3.291278348009093e-05
female_white,0.004970406114281802,1.004982779073803,1.0046384805814665,1.0053271955602778,8.418987018122724e-178,0.012582457193989436,1.0126619493608933,1.0121171349034483,1.0132070570875487,0.0,0.002398440455011944,1.002401319014211,1.0018151792941374,1.0029878016715632,9.211282984802778e-16,0.008944731833599269,1.0089848554899428,1.0078656807874,1.0101052729692155,3.288128825128862e-56,0.019776792438520617,1.019973648785579,1.0189723591016424,1.0209759223833799,0.0,0.01072019490563147,1.0107778620785948,1.0098728746280983,1.0116836605245205,1.1257389866826677e-121,0.017465275490751678,1.0176186852277902,1.0162599927381952,1.0189791942262456,8.885175091766698e-145,0.018749391393841325,1.0189262649270374,1.01768357848104,1.020170468808941,3.2919845451822115e-199,0.028840023021206782,1.0292599234107522,1.0269880840001055,1.0315367884437874,2.5056832323527883e-144,0.021177704255770504,1.0214035432676312,1.019195949096007,1.023615919122337,5.0517410224467284e-82,0.01615384791625782,1.016285026713078,1.014284252399233,1.0182897477488067,4.401340687468785e-58
county_type_Non core,0.05019501111682693,1.0514761259174863,1.0104810534741666,1.0941343626119862,0.013367424689192412,0.02171352700637576,1.021950981175408,0.9781244062866417,1.0677412824103683,0.33158329534724196,-0.06529250653985921,0.9367934050999496,0.8923224286886138,0.9834806966899634,0.008507404996170934,-0.09924634277457424,0.9055196123319377,0.8543212145555154,0.959786265806817,0.0008312954817964736,-0.12035340361456827,0.8866070512080347,0.8384261061372361,0.9375567596211514,2.4248482054089217e-05,-0.028028911065232285,0.9723602544241245,0.9228441313247696,1.0245332145380583,0.29322282892168405,-0.08037927599715095,0.9227662969007537,0.8731741599584466,0.9751750312176576,0.0043461837416890765,-0.07024810436145688,0.9321625176273727,0.8780726356341615,0.989584373782296,0.021264397339417793,-0.05254663060283379,0.9488100764383937,0.887716888697181,1.0141077325590022,0.12176284976607467,-0.04170932580195997,0.9591485397890704,0.8947206722943928,1.0282157883089647,0.239730853324857,-0.059826477009558295,0.9419279655616009,0.8855033096158903,1.0019480251201707,0.05766765755784684
county_type_Micropolitan,-0.028820804853812502,0.9715905531794242,0.9299976942061758,1.0150435951707015,0.19667646853865106,-0.021352694073125657,0.9788736607412499,0.9334352565530992,1.0265239468576557,0.37859438899711384,-0.05418068917582613,0.9472609312405474,0.8992681492864355,0.9978150261039652,0.04110990063620969,-0.06774510419270027,0.9344986430077593,0.8793608851302689,0.9930936530727932,0.02901249543605094,-0.030660133416828467,0.969805121424579,0.9174810496997633,1.0251132422289475,0.27859968265801227,-0.05833014820085162,0.9433384545266598,0.8935720746701881,0.9958765107081026,0.034910950960231106,-0.11966532803545643,0.8872173137975544,0.8382029821909415,0.9390977825498065,3.674213779311926e-05,-0.12821982820886452,0.8796599838098969,0.8264850120113114,0.9362561642023312,5.569713036735378e-05,-0.18421812729678083,0.831754355708801,0.7771993263096072,0.890138841892111,1.0250942365037594e-07,-0.34833219098417045,0.705864355488765,0.6540319242719479,0.7618045386763086,3.500522504620776e-19,-0.32948704174960597,0.7192926058923917,0.6721029420252567,0.7697955484801691,1.784952758168574e-21
const,-0.9486749589857675,0.38725381082959,0.37805604085607764,0.39667535443278445,0.0,-1.0260590864560137,0.3584166700825163,0.34920194079684796,0.36787455734037233,0.0,-1.0809449379396698,0.33927478051460275,0.32943590284793306,0.34940750445881186,0.0,-0.9993402692749354,0.3681222226182869,0.3562915518248436,0.38034573116133713,0.0,-0.9867997267696083,0.3727677427883654,0.3612851302892593,0.3846153035755426,0.0,-0.7988652463688863,0.4498391311930453,0.43709876853819585,0.4629508443349252,0.0,-0.5683203707146853,0.5664761099521063,0.5497078017066751,0.5837559193269392,8.48422208852611e-301,-0.4621346252258057,0.629937528751126,0.6097704150546129,0.650771635244939,1.5435135039723919e-170,-0.5400225477269921,0.5827351128736235,0.5617239441393725,0.6045322000580049,1.121728594543997e-182,-0.48885317033356157,0.6133293753304788,0.5900822183599745,0.6374923882451146,9.828390102672538e-136,-0.30784385105023265,0.7350300832241445,0.7102347045134032,0.7606911064908363,3.349718148908854e-69
