variable,coef_2006,odds_ratio_2006,OR_lower_CI_2006,OR_upper_CI_2006,pvalue_2006,coef_2007,odds_ratio_2007,OR_lower_CI_2007,OR_upper_CI_2007,pvalue_2007,coef_2008,odds_ratio_2008,OR_lower_CI_2008,OR_upper_CI_2008,pvalue_2008,coef_2009,odds_ratio_2009,OR_lower_CI_2009,OR_upper_CI_2009,pvalue_2009,coef_2010,odds_ratio_2010,OR_lower_CI_2010,OR_upper_CI_2010,pvalue_2010,coef_2011,odds_ratio_2011,OR_lower_CI_2011,OR_upper_CI_2011,pvalue_2011,coef_2012,odds_ratio_2012,OR_lower_CI_2012,OR_upper_CI_2012,pvalue_2012,coef_2013,odds_ratio_2013,OR_lower_CI_2013,OR_upper_CI_2013,pvalue_2013,coef_2014,odds_ratio_2014,OR_lower_CI_2014,OR_upper_CI_2014,pvalue_2014,coef_2015,odds_ratio_2015,OR_lower_CI_2015,OR_upper_CI_2015,pvalue_2015,coef_2016,odds_ratio_2016,OR_lower_CI_2016,OR_upper_CI_2016,pvalue_2016
male_black,-0.40854146069734726,0.6646189163565119,,,,-1.2750755009324637,0.2794098717191602,0.027422962774007947,2.846879713818297,0.28166064210519504,0.37854876033755014,1.4601640031518885,0.6219755909649082,3.4279141289016284,0.3846327378665757,68867853.48075713,inf,inf,inf,0.0,-25.74161250490323,6.615455216689647e-12,0.0,inf,0.9960617560605965,66344.05841996407,inf,inf,inf,3.8691599564699024e-289,-7.766668056571001,0.000423622403807764,0.0,inf,0.9974400318758792,0.2324809413094995,1.261726399276894,,,,-0.36468426782047403,0.6944158657043465,0.0,inf,0.9999338326925807,37.678985543270834,2.310869949994065e+16,0.0,inf,0.9952927464842766,32.8064548232737,176873308896949.34,0.0,inf,0.9936624408292022
female_black,0.09525952930754421,1.0999442858645274,0.0,inf,0.9999880284067351,0.9183210595795613,2.5050809755408086,0.020258969364324992,309.76060929670007,0.7086917155531083,-22.456208228630704,1.7676353647893764e-10,,,,61173400.255126834,inf,inf,inf,0.0,74.47083250707307,2.199234909046705e+32,,,,-182520.77304850984,0.0,,,,-2.172702834301007,0.11386943040758524,,,,0.23016683791428405,1.2588100096475228,0.0,inf,0.9999925914259263,18.293017489004797,88014971.53090039,0.0,inf,0.999696029795286,-103.90349953060924,7.50383893146734e-46,0.0,inf,0.9950209060036165,-45.0148430441923,2.820343865646307e-20,0.0,inf,0.9967289554330023
male_hispanic,0.07937922837487402,1.0826148024846458,,,,0.822530983707418,2.276253714041192,0.2512711972238251,20.62047312995823,0.4644501259656144,-11.102786561551245,1.5070271017920559e-05,6.451727163664789e-257,3.5201902187158064e+246,0.9700089693530425,-41640774.69672424,0.0,0.0,0.0,0.0,6.328452348947287,560.2887909610218,0.0,inf,0.9908588070871956,-354668.544922547,0.0,,,,0.9279306310888377,2.529269766127984,4.047901195701389e-213,1.5803759134838557e+213,0.9970384163990762,-0.18532856790141472,0.8308312545185175,,,,-0.3562884671960597,0.7002705860041016,0.0,inf,0.9998830417647184,-6.483906070654158,0.0015278311921931363,0.0,inf,0.9960863911676626,-15.362831122741236,2.12817441108478e-07,,,
male_asian/pacific islander,3.5267537882495605,34.01337359303711,,,,42.475909439896895,2.799323458450985e+18,2.2778187622726783e-33,3.4402262176537064e+69,0.4791376987201251,161.19857619872167,1.0177758315734204e+70,,,,-145000542.91302553,0.0,0.0,0.0,0.0,79.13414271209292,2.3308885581175466e+34,0.0,inf,0.994678575277989,1318276.5790195607,inf,inf,inf,0.0,3.4861333533032863,32.659420804888995,0.0,inf,0.9997724108937446,-0.07474853911602776,0.9279768068599886,0.0,inf,0.9999989784932724,-16.612962658459875,6.096519810452308e-08,0.0,inf,0.999840862907446,109.0973335712438,2.4008772719029145e+47,0.0,inf,0.998213761333943,-7.412701403893714,0.0006035380902191411,,,
female_hispanic,0.38048987101549575,1.4630010957545052,,,,-19.69635621377522,2.792422847669662e-09,1.752909991068176e-36,4.448388907542217e+18,0.537676170622313,85.84342267924998,1.9112820332181933e+37,,,,123308372.33280843,inf,inf,inf,0.0,-14.509174931197888,4.997414705237039e-07,0.0,inf,0.9989543661477576,2225505.4371704464,inf,inf,inf,0.0,42.35079487125963,2.4701112679216067e+18,0.0,inf,0.9837344952064452,-0.8595595277740526,0.42334851451817274,0.0,inf,0.9999105156395587,-1.738762571342704,0.17573772902713017,0.0,inf,0.999910847659098,7.317178306179325,1505.9486429918436,0.0,inf,0.9988269168141845,35.241707052134885,2019662982655553.8,0.0,inf,0.9962591302887169
female_asian/pacific islander,-4.109025416838929,0.016423773061741954,,,,185.89148411065312,5.390707679117396e+80,1.7767149534708884e-189,inf,0.5570911439877355,-128.82428905912207,1.1280338353960613e-56,,,,-16590872.830002798,0.0,0.0,0.0,0.0,81.90341239751395,3.717064124033796e+35,0.0,inf,0.9991155952351182,1034943.6826264266,inf,inf,inf,3.8571834728412124e-122,22.178661819373385,4286180381.7154627,0.0,inf,0.9961759813216875,0.0720283727159961,1.0746858353872433,,,,-130.0403158429302,3.343554483506996e-57,0.0,inf,0.9998281768003264,115.57419991629152,1.5604047872191572e+50,0.0,inf,0.9970010273714417,18.63535845476276,123946236.72655748,0.0,inf,0.9996552114217638
female_white,0.10599951825815722,1.1118213408955402,,,,-0.9317486928528055,0.3938643600249038,0.013303671283022874,11.66062591277274,0.5898705800923241,-5.268935590495865,0.005149088395816021,,,,-43218941.43479989,0.0,,,,-6.030763244909021,0.0024036586980600134,0.0,inf,0.9986112628378971,-493716.24622349837,0.0,0.0,0.0,0.0,-13.643033889527384,1.1882440966994362e-06,0.0,inf,0.9906120526529133,0.9162945498277186,2.50000954490213,,,,0.2003696333047776,1.221854312747799,0.0,inf,0.9998841071339325,-16.565656765500556,6.391851515486902e-08,0.0,inf,0.9972574654180537,0.09507476511727773,1.0997410743228977,0.0,inf,0.9999863049204185
county_type_Non core,0.0016966504589668219,1.001698090584705,0.8448949555774322,1.1876021487136044,0.9844155217958005,-0.11178032457729532,0.8942406786241971,0.7423701664405027,1.0771801285341038,0.23916552946385505,-0.2731546611812659,0.760975085221578,0.6050552930505246,0.9570746458698147,0.019542805780535955,-0.09730854654020743,0.9072760260631979,0.7154919320184915,1.1504669034447683,0.4219073438495772,-0.08402875444256112,0.9194048187419799,0.7157816796300683,1.1809539763057992,0.510635251044584,0.039889606135259006,1.0406958814104068,0.8249189427648916,1.312914350050585,0.7365161309964887,0.08484967819019937,1.0885534210786327,0.8379816306912311,1.4140507466309964,0.5249779231817868,0.19099431240113673,1.2104525674930742,0.9124275380828599,1.6058211277019976,0.18535574286776135,-0.07732862286471291,0.9255856350197241,0.6638547807036431,1.2905062864001824,0.6483820142036472,0.16313644331649008,1.1771972994348527,0.8744592380281925,1.584743372282874,0.28213525335806966,0.09118044983269373,1.095466664200444,0.8430937083567396,1.4233853253554,0.4949407675162806
county_type_Micropolitan,-0.09017725245105658,0.9137692030848357,0.7461680887312939,1.119016169568439,0.38306487113587917,-0.25711765686199345,0.7732772270409631,0.6153513991477744,0.9717336641930084,0.027385967009813605,-0.2101359298385815,0.8104740708726869,0.6261173553314173,1.0491135790498105,0.11052276339402915,-0.3092938684562057,0.7339650491551319,0.5581878773395981,0.9650956519314566,0.026806838825255405,-0.1575510871345073,0.8542331721687637,0.6583717833726029,1.1083620696735264,0.23574475565056519,-0.40686982626057006,0.6657308453348851,0.510437729612327,0.8682695904295815,0.002679848234530821,-0.2600614152398818,0.7710042329395715,0.5712534829964185,1.0406020180264948,0.08916379626546457,0.04502043578789311,1.0460492365306155,0.7699729783282411,1.4211135144275362,0.7733732483616823,-0.37552444752812963,0.6869289261288911,0.48526650620548795,0.9723962884691157,0.03418960447366327,-0.8170331681828353,0.44174028142998395,0.28338120969350067,0.688593560768884,0.00030947993567521616,-0.4389248847890345,0.6447292067813537,0.46199779907420674,0.8997353470295366,0.009842350770870279
const,-23.441747608796884,6.597484329255777e-11,0.0,inf,0.9991979260977397,-1.6756143634460325,0.18719313952513097,0.015092120121330219,2.3218256416969605,0.19213700837222947,-1.587554599466635,0.20442490176715936,0.02442376940331701,1.711019285042762,0.14305623970056905,512434753.69520277,inf,inf,inf,0.0,-14.526366130129237,4.912237402619383e-07,0.0,inf,0.989508697713495,6270280.88306517,inf,inf,inf,9.947916233440917e-82,-17.348009778251118,2.9231767871353124e-08,0.0,inf,0.9946695326466294,-23.572147023807776,5.790907407764114e-11,0.0,inf,0.9996759975521663,-17.24992137405445,3.224440251953871e-08,0.0,inf,0.9959700368722554,-24.46965472217153,2.3602824657747298e-11,0.0,inf,0.9949438322684804,-0.04559022491723568,0.9554333947839991,0.05953399476969395,15.333306212691257,0.9743182124190767
