variable,coef_2006,odds_ratio_2006,OR_lower_CI_2006,OR_upper_CI_2006,pvalue_2006,coef_2007,odds_ratio_2007,OR_lower_CI_2007,OR_upper_CI_2007,pvalue_2007,coef_2008,odds_ratio_2008,OR_lower_CI_2008,OR_upper_CI_2008,pvalue_2008,coef_2009,odds_ratio_2009,OR_lower_CI_2009,OR_upper_CI_2009,pvalue_2009,coef_2010,odds_ratio_2010,OR_lower_CI_2010,OR_upper_CI_2010,pvalue_2010,coef_2011,odds_ratio_2011,OR_lower_CI_2011,OR_upper_CI_2011,pvalue_2011,coef_2012,odds_ratio_2012,OR_lower_CI_2012,OR_upper_CI_2012,pvalue_2012,coef_2013,odds_ratio_2013,OR_lower_CI_2013,OR_upper_CI_2013,pvalue_2013,coef_2014,odds_ratio_2014,OR_lower_CI_2014,OR_upper_CI_2014,pvalue_2014,coef_2015,odds_ratio_2015,OR_lower_CI_2015,OR_upper_CI_2015,pvalue_2015,coef_2016,odds_ratio_2016,OR_lower_CI_2016,OR_upper_CI_2016,pvalue_2016
male_black,-0.0006916137763211667,0.9993086253333596,0.9992708810390352,0.9993463710533553,4.664849654562173e-282,-0.0012132477189841229,0.9987874879684759,0.9987395472458196,0.9988354309923456,0.0,-0.00101762687498841,0.9989828907316483,0.9989255686720225,0.9990402160806267,1.0328601340011088e-264,-0.0008738758853890369,0.9991265058329429,0.9990518633745983,0.9992011538680717,2.5957366771731335e-116,-1.0598348323308393e-05,0.999989401707839,0.9999088713561776,1.000069938545229,0.7964596774397569,0.0001603938817010174,1.0001604067454875,1.0000809283155199,1.0002398914917645,7.626534040198851e-05,0.001422288515911634,1.0014233004479192,1.0013257294230886,1.00152088098025,5.106786354225131e-180,0.001473235827530042,1.0014743215725526,1.0013407650353934,1.0016078959231765,6.024558703170921e-104,4.075964271855163e-05,1.000040760473404,0.9998559999159857,1.0002255551722024,0.665478868374364,0.000978709280511667,1.0009791883727241,1.0008518918216502,1.0011065011144173,2.100952913490549e-51,0.0033330447171268486,1.003338605487052,1.0031843270711425,1.0034929076292387,0.0
female_black,5.427057085540911e-05,1.0000542720435295,0.9999618717728028,1.0001466808523918,0.24965872930465893,0.0002501143551958605,1.000250145636399,1.0001237991693726,1.0003765080648794,0.00010417642591960216,0.001052742601860328,1.0010532969298578,1.000916264995307,1.00119034762497,2.468448245460121e-51,0.0012579901729172238,1.0012587817744623,1.0011012280715754,1.0014163602732127,2.509979484548061e-55,0.0006499223037501135,1.0006501335490123,1.0004951106739206,1.0008051804443034,2.0061532375286307e-16,-0.0001538774032468647,0.9998461344352735,0.9996767790078644,1.0000155185532167,0.07500876289362317,-0.0025257004280858355,0.9974774864696261,0.9972647759132174,0.9976902423959124,3.5090519630571247e-119,-0.002890228868163502,0.9971139438223134,0.9968090807958759,0.997418900087734,1.3024195113301527e-76,0.0013050417047998555,1.0013058936422898,1.000890765878189,1.0017211935840813,6.901603750142164e-10,-0.0014078948883140675,0.9985930957307438,0.998410467082744,0.9987757577850672,1.9768816644447426e-51,-0.00477930956546183,0.995232093161546,0.9949020628234078,0.995562232977821,1.7320325375561406e-175
male_hispanic,0.0008069733767186495,1.000807299067336,1.0007827534743539,1.000831845262333,0.0,0.001080835789442546,1.0010814201029412,1.001053290756897,1.0011095502394127,0.0,0.0009319902363556655,1.0009324246742095,1.0008941708970254,1.0009706799134377,0.0,0.0005141274482722501,1.0005142596344414,1.0004838908980787,1.0005446292926181,1.1595288953284735e-241,0.0003551823498384795,1.000355245434558,1.0003262484549476,1.000384243254719,1.907776295888907e-127,0.00024268841703204978,1.0002427178682485,1.000213795118404,1.0002716414544393,8.435344192316818e-61,-0.00013322066345686725,0.9998667882100216,0.9998333798309073,0.9999001977054418,5.519763979669036e-15,0.00020809553552618283,1.0002081171889041,1.0001612385394554,1.0002549980356064,3.2626527015009663e-18,0.00033463765019195777,1.0003346936476165,1.0002772889089717,1.0003921016806518,2.9955784437694248e-30,0.00011410886483617517,1.0001141153755004,1.0000678655630664,1.0001603673268344,1.3239840938010833e-06,0.00021400865175842418,1.0002140315532435,1.0001734587277076,1.0002546060246484,4.636423258257043e-25
male_asian/pacific islander,0.007134930876635527,1.0071604451406828,1.0067946863079806,1.0075263368500535,0.0,0.008136657585657472,1.008169850148421,1.007785995076351,1.0085538514268457,0.0,0.005730508966639327,1.0057469597419075,1.0052205816141002,1.0062736135046735,4.144951327300007e-102,0.0073423223186853,1.0073693432588684,1.0068822467573904,1.007856675401607,1.5241127577737982e-194,0.0015622900948587413,1.0015635111058039,1.0012921383065683,1.0018349574532015,1.318155731707655e-29,0.005834500772354218,1.0058515546227544,1.0055411530401768,1.006162052023531,1.7591831363239934e-300,0.00478863683440788,1.0048001206791104,1.004545102583549,1.0050552035146512,2.84038849459885e-299,0.005930549204689037,1.0059481697275279,1.0055886764125652,1.0063077915596927,5.5668389272064206e-232,0.004331380713336334,1.0043407747008601,1.0038286943615529,1.0048531162662864,3.2417740298066837e-62,0.00471456234416412,1.0047256933789905,1.0038735368868537,1.005578573239819,1.2844534469963179e-27,-0.011944809124676398,0.988126246909523,0.9872443242588858,0.9890089573971146,1.6158297072634313e-151
female_hispanic,-0.0028124886641176282,0.99719146267689,0.9971113926645362,0.9972715391190237,0.0,-0.0036335621186239972,0.9963730312799524,0.9962746667762901,0.9964714054953697,0.0,-0.004446244900607958,0.9955636250128144,0.9954130405699138,0.9957142322358811,0.0,-0.0017594372210286793,0.9982421096812799,0.9981515611937619,0.9983326663830099,0.0,-0.0013735021713359046,0.9986274406510658,0.9985441464798265,0.9987107417703395,1.638614990421955e-228,-0.0010155993087636727,0.99898491623767,0.9989023188254867,0.9990675204796827,4.701276933413096e-128,-0.00022023965854203964,0.9997797845924312,0.9996856593543992,0.9998739186928094,4.543973220143007e-06,-0.0010302586855235264,0.9989702718487445,0.9988271773753326,0.9991133868222278,4.0245361781581234e-45,-0.001601130226910358,0.9984001508982507,0.9982350584486169,0.9985652706515911,2.6675385986296064e-80,-0.0009338074605114714,0.9990666284019941,0.9989581386041048,0.9991751299821953,9.906088478665084e-64,-0.0015362285034107332,0.9984649508915793,0.9983555008365242,0.9985744129456812,4.463017830911981e-166
female_asian/pacific islander,-0.015148508603114593,0.9849656528676889,0.9838471048805574,0.9860854725459128,1.6680217415739382e-150,-0.013020860016775148,0.9870635446434312,0.9859181841194137,0.9882102357552712,4.4206714886062194e-107,-0.011539312510518932,0.9885270100055528,0.987016590834107,0.9900397405526074,1.6833613689444281e-49,-0.014047640156243197,0.9860505675407802,0.9848336170205694,0.9872690218363934,4.121674703868365e-110,6.008551875441393e-05,1.0000600873239254,0.9993832638622278,1.0007373691583163,0.8619056512492862,-0.012825980028737473,0.9872559223198745,0.9864331053035402,0.9880794256755446,1.079898758987539e-199,-0.006693373617285699,0.9933289771128395,0.9927199622111418,0.9939383656336491,1.6306207394975214e-101,-0.008724319478843305,0.9913136269638624,0.9903514621318147,0.9922767265763385,2.1077144967970862e-69,-0.00958992631275844,0.9904559103900287,0.989190478130278,0.9917229614672259,6.2408384644806334e-49,-0.008663528088553224,0.9913738921292421,0.9892718079413642,0.9934804429944248,1.2480278631279042e-15,0.034886700933481396,1.0355023807000556,1.033278921934306,1.0377306240102087,4.711783819931298e-222
female_white,0.0001771932789800546,1.0001772089786365,1.000170103177662,1.0001843148300946,0.0,0.00022926918626966068,1.0002292954704581,1.0002203135897636,1.0002382774318093,0.0,0.00024127672717502613,1.0002413058367456,1.0002319657759493,1.0002506459847587,0.0,9.820357650135343e-05,1.0000982083986305,1.0000899910334842,1.0001064258312957,2.3653251626334172e-121,-9.1936743780652e-06,0.9999908063678836,0.9999847377234506,0.9999968750491457,0.002985711882101958,8.458445797137983e-05,1.0000845880353375,1.0000773910888603,1.0000917850336069,1.986641837044789e-117,6.256835996543191e-05,1.0000625703174062,1.0000559774363005,1.0000691632419754,3.1109817390252118e-77,0.00011666410805960673,1.0001166709135814,1.0001067302340492,1.00012661169192,4.176561999066378e-117,0.00011421818223444193,1.0001142247053794,1.0001013340689497,1.0001271155079605,1.4356528261570032e-67,0.00022196862368825446,1.000221993260546,1.0002052828153516,1.000238703984922,1.7368738211347352e-149,0.0003642809204064151,1.0003643472787584,1.0003470375466756,1.0003816573103639,0.0
county_type_Non core,0.16675378280644695,1.1814633329074373,1.1612505320240296,1.2020279590932113,5.358369385653508e-80,0.10661006355050469,1.1125003654476842,1.0920886486102597,1.133293588113213,1.579380652583622e-29,0.09001415300308827,1.0941897696668128,1.0726040268830503,1.1162099172074555,8.404331591873908e-19,-0.05727526381032156,0.9443340925865235,0.921939106448593,0.9672730792995571,2.907754243640078e-06,-0.030920682656822063,0.9695524723524411,0.9472767711084987,0.9923519981860318,0.009124551751479776,0.018406353803976053,1.018576794860978,0.9958017665166418,1.041872711933901,0.11063929201882299,0.05803453993194659,1.0597515988262531,1.0342935096852135,1.0858363130951156,2.8994138945926375e-06,0.09000700875292016,1.0941819525292908,1.064793237775261,1.1243818074411025,9.208931196414736e-11,0.03364502471021895,1.034217419932517,1.0032059612053943,1.0661875158782905,0.030308883827917594,0.059208421614937404,1.0609963522703303,1.0272085205932555,1.095895562549268,0.00033614858402818094,0.009008086734481476,1.0090487816504505,0.9799079628896837,1.039056199469708,0.5468541828667686
county_type_Micropolitan,0.18416912457364212,1.202219130701565,1.1798485272086265,1.225013893643024,2.6382405015225907e-82,0.13926122077859274,1.1494243143051073,1.126637181800754,1.17267233467661,2.6192317514540445e-42,0.15400369360839924,1.1664951953469336,1.1417056607541,1.1918229781472107,7.490189844674754e-45,0.07495244282880822,1.0778328909824406,1.0510938631798417,1.1052521392989956,4.979700335452802e-09,0.22162137581634145,1.2480987280295754,1.219394951561351,1.2774781730188833,8.806047226910095e-78,0.1848074087589672,1.202986733108165,1.1756446003785748,1.2309647656853469,6.365321969201259e-56,0.14991489955668832,1.1617353743261043,1.1334964469493278,1.1906778213491374,7.286075109052318e-33,0.18399853925105664,1.2020140672542403,1.1688183499605043,1.23615257916331,6.045694454681665e-38,0.15070007540780203,1.1626478990867315,1.128215272723878,1.1981313938316285,8.796683090199999e-23,-0.10593941229637414,0.8994791438008042,0.869421585376095,0.9305758492097282,1.0013823887136502e-09,-0.1492529533856317,0.8613512056359938,0.8348574523795158,0.8886857239351917,7.708649934116669e-21
const,-3.9386282370730923,0.01947491139191631,0.018804446634080894,0.020169281293053558,0.0,-3.957473357597074,0.01911134086450844,0.018429632108464444,0.019818265904053486,0.0,-3.836709278977877,0.02156444729407252,0.02071493305581114,0.022448799899373973,0.0,-4.293443484435493,0.013657813760887576,0.013021493566771772,0.014325228958611325,0.0,-4.514132133997021,0.010953106832178332,0.01044826606742716,0.011482340562815881,0.0,-4.5015002522135505,0.011092342737170082,0.010579960889607222,0.01162953896358096,0.0,-4.848301937352603,0.007841681917360286,0.007454624092525119,0.008248836497968337,0.0,-5.121023813333167,0.005969907694033029,0.005633327529247604,0.006326597857170018,0.0,-4.625825872667597,0.009795561807533224,0.009199657251164645,0.010430065871536272,0.0,-4.6829676562348315,0.009251517783321367,0.008705291138380731,0.009832018244369961,0.0,-5.029787956959263,0.006540197226835462,0.006152223180256642,0.006952637853446976,0.0
