variable,coef_2006,odds_ratio_2006,OR_lower_CI_2006,OR_upper_CI_2006,pvalue_2006,coef_2007,odds_ratio_2007,OR_lower_CI_2007,OR_upper_CI_2007,pvalue_2007,coef_2008,odds_ratio_2008,OR_lower_CI_2008,OR_upper_CI_2008,pvalue_2008,coef_2009,odds_ratio_2009,OR_lower_CI_2009,OR_upper_CI_2009,pvalue_2009,coef_2010,odds_ratio_2010,OR_lower_CI_2010,OR_upper_CI_2010,pvalue_2010,coef_2011,odds_ratio_2011,OR_lower_CI_2011,OR_upper_CI_2011,pvalue_2011,coef_2012,odds_ratio_2012,OR_lower_CI_2012,OR_upper_CI_2012,pvalue_2012,coef_2013,odds_ratio_2013,OR_lower_CI_2013,OR_upper_CI_2013,pvalue_2013,coef_2014,odds_ratio_2014,OR_lower_CI_2014,OR_upper_CI_2014,pvalue_2014,coef_2015,odds_ratio_2015,OR_lower_CI_2015,OR_upper_CI_2015,pvalue_2015,coef_2016,odds_ratio_2016,OR_lower_CI_2016,OR_upper_CI_2016,pvalue_2016
subject_race_black,-0.06701053553708522,0.935185348604953,0.8952910943157968,0.9768572945693561,0.002589920943790467,0.005061092078871982,1.005073921039106,0.9582246994510504,1.0542136800811264,0.8353782875824562,0.02033256377827547,1.0205406784617053,0.9669155918198722,1.0771398095203129,0.4603305959281476,-0.04228742661637242,0.958594215480181,0.9037644927663475,1.0167503562121354,0.1593726205325916,-0.05842047740273149,0.9432532473653652,0.8926808037247901,0.9966907375546142,0.03772217994113643,-0.02455300829278594,0.9757459649197259,0.9270213124547065,1.0270316067880527,0.3475096266134081,0.017228506532556778,1.0173777732332157,0.9648821643401715,1.07272947072951,0.5238741390106908,-0.013098378983841943,0.9869870314626707,0.9286535206934436,1.0489847704966253,0.6734610834326882,-0.12699499223890298,0.8807380831120228,0.8226471966648531,0.9429310331192446,0.00026440803197657286,0.025885781665480362,1.026223728214137,0.9521080762881055,1.1061088195527993,0.49852798921234287,-0.03428444849929958,0.9662966039229481,0.9054276156110572,1.0312576186698983,0.3017068078833268
subject_race_hispanic,-0.5565174455022777,0.5732017984326343,0.5501650794262875,0.5972031195964478,8.594274055056863e-156,-0.4813388861096745,0.6179554656910214,0.5919702550272167,0.6450813268647262,6.931452279005323e-107,-0.39814604139433507,0.6715639443652531,0.6376129185376171,0.7073227631676495,3.889988340570605e-51,-0.44482049884080505,0.6409393150572171,0.6078871622851943,0.6757885855685888,6.375984938167728e-61,-0.504133881982213,0.6040285089081175,0.5744833158029439,0.6350931864118972,2.0546190398297486e-86,-0.5514015540562655,0.5761417504356093,0.5496865369173564,0.6038701956510061,5.671650508097062e-117,-0.4385533631407466,0.6449687821399168,0.6145823600620084,0.6768575816153861,5.788461062656313e-71,-0.36711409832372044,0.6927306011347093,0.6566593974137928,0.7307832456801999,2.86676240563873e-41,-0.34694008261339776,0.706847679454629,0.6659247261569751,0.7502854636946127,4.093116201755726e-30,-0.22361465710633227,0.7996232041286295,0.7489245153756923,0.8537539571130038,2.2165169282289025e-11,-0.2566088173534353,0.7736708011696911,0.7305465413990501,0.8193406917460083,1.7995282542623018e-18
subject_race_asian/pacific islander,-0.9603963267059482,0.382741165366333,0.28900498655077617,0.5068798342005122,2.07347678002131e-11,-0.5897807074280358,0.5544488579200475,0.4286251919515255,0.7172082785176362,7.088597857281709e-06,-0.15886306636700437,0.8531131708570527,0.6647581019845072,1.0948374756427368,0.21198910081973765,-0.3314119478735792,0.7179093668801091,0.5521704827007834,0.9333962520656627,0.013337633864341648,-0.32214710226335647,0.7245915934263701,0.5689167659634634,0.9228643075319112,0.009042685664212886,-0.17524416041916177,0.8392520836109374,0.6871520761918741,1.0250191831605924,0.08584340850691166,-0.1433033022276624,0.866491220318852,0.7015386802856366,1.0702289923400325,0.18350998372284932,-0.3311467268672213,0.718099796776755,0.5796239774829631,0.8896583615641982,0.0024484921368444256,-0.5387367118864022,0.5834848965133589,0.4457710964061281,0.7637431569789972,8.774764384351481e-05,-0.32804684256364314,0.7203292768450118,0.5374767947532438,0.9653891519507803,0.028111254882027724,-0.21325696264641425,0.8079484979556628,0.6210193476610106,1.051144022818977,0.11218679901197268
county_type_Non core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
county_type_Micropolitan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subject_sex_female,-0.027275628878620766,0.9730929920271948,0.9330633330754782,1.0148399766297964,0.20314574634489269,-0.035156692362582335,0.9654541251169635,0.9239059459002561,1.00887073174653,0.11724137923870369,-0.09411181796356596,0.9101809819665615,0.865202328356985,0.9574979086184356,0.0002730499603106211,0.03795683032661314,1.0386863921583243,0.9811438775519962,1.0996036829447584,0.191784369765564,-0.012248499327821146,0.9878262082105791,0.936272090299656,1.0422190597557843,0.6542403669064045,0.04271186394133458,1.0436371420310457,0.9937104191698443,1.096072319677034,0.08769191538195101,0.09894065373055413,1.1040007792869933,1.050035048208623,1.1607400369593486,0.00010913058280058436,0.06860556622282883,1.0710136818523706,1.0129238546277535,1.1324348829128086,0.01589618064905982,0.07100888204930089,1.073590761512082,1.0100980786558011,1.1410744635193477,0.02243049894136569,0.03265773364477134,1.0331968501966775,0.9670549220687741,1.1038625696384374,0.33329123122719984,0.08180853792485467,1.0852480061016219,1.0250383162408252,1.1489943508324805,0.004967359142671972
const,-0.8001731492028861,0.4492511699004487,0.0,inf,0.9999967682738184,-0.8202825306407007,0.4403072366452234,0.0,inf,0.9999995279389198,-0.8925620188065141,0.409604991600468,0.0,inf,0.9999987739786503,-0.8185848159276468,0.44105538761289725,0.0,inf,0.9999982891742091,-0.7238081350844396,0.48490216255524315,0.0,inf,0.9999986031459774,-0.5172611615255894,0.5961510755774273,,,,-0.4419211239855532,0.6428003349845252,,,,-0.3452671878163307,0.7080311508955126,0.0,inf,0.999999819415118,-0.30635745692926086,0.7361234399968235,0.0,inf,0.9999996568482713,-0.3359761329366714,0.7146401619745193,0.0,inf,0.9999996182521231,-0.13596969630572014,0.8728690832457845,0.0,inf,0.9999996611913582
county_region_Alamo,-0.2504056985661074,0.77848488879369,0.0,inf,0.9999989886655746,-0.3353521628089848,0.7150862152351194,0.0,inf,0.9999998070095384,-0.29816757332382005,0.7421769602666294,0.0,inf,0.9999995904376358,-0.35852659916474416,0.698705040620937,0.0,inf,0.9999992506866232,-0.2511730997724276,0.7778877077189732,0.0,inf,0.9999995152691193,-0.20857470756402427,0.8117403892901325,,,,-0.18860461312477295,0.8281138673277549,,,,-0.11624285445803813,0.8902589936769487,0.0,inf,0.9999999392015723,0.01443553565126005,1.0145402311680425,0.0,inf,0.9999999838307216,0.009878867573578793,1.0099278246665886,0.0,inf,0.9999999887752838,-0.06250284084056172,0.9394103940945334,0.0,inf,0.9999998442557189
county_region_Capital_Region,0.1953996369955391,1.2157967667824403,0.0,inf,0.9999992108231532,0.2010248336449429,1.2226551344298144,0.0,inf,0.9999998843130304,0.3209984376141883,1.3785034271378753,0.0,inf,0.9999995590772076,0.05862758089299544,1.0603802613257756,0.0,inf,0.9999998774695359,0.24278286693534135,1.2747917946159615,0.0,inf,0.9999995314611596,0.046888641088439056,1.0480052978520797,,,,0.06142882935611927,1.0633548141888516,,,,0.0422388718213886,1.0431436266104355,0.0,inf,0.9999999779078292,0.11245711527299833,1.1190242668335757,0.0,inf,0.9999998740365131,0.2982434366396453,1.3474897763388385,0.0,inf,0.9999996611253372,0.24768296997202116,1.2810537353075713,0.0,inf,0.9999993828247549
county_region_Central_Texas,0.21462613940386713,1.2393984480961733,0.0,inf,0.9999991331714709,0.2299319640766161,1.2585143828285237,0.0,inf,0.9999998676773827,0.2158402084452305,1.2409040771658042,0.0,inf,0.9999997035223345,0.23211111248986482,1.2612598627665885,0.0,inf,0.9999995148924462,0.26552640688743945,1.3041172914461192,0.0,inf,0.9999994875691339,0.1072512473945508,1.1132139114411403,,,,0.09561035621100375,1.100330243610537,,,,0.04996143764436211,1.0512305576677727,0.0,inf,0.9999999738687004,0.045746299518909204,1.0468088013692043,0.0,inf,0.9999999487594592,0.13563310694037664,1.1452616279605523,0.0,inf,0.9999998458889024,-0.01965466310453224,0.980537230528322,0.0,inf,0.999999951024604
