variable,coef_2006,odds_ratio_2006,OR_lower_CI_2006,OR_upper_CI_2006,pvalue_2006,coef_2007,odds_ratio_2007,OR_lower_CI_2007,OR_upper_CI_2007,pvalue_2007,coef_2008,odds_ratio_2008,OR_lower_CI_2008,OR_upper_CI_2008,pvalue_2008,coef_2009,odds_ratio_2009,OR_lower_CI_2009,OR_upper_CI_2009,pvalue_2009,coef_2010,odds_ratio_2010,OR_lower_CI_2010,OR_upper_CI_2010,pvalue_2010,coef_2011,odds_ratio_2011,OR_lower_CI_2011,OR_upper_CI_2011,pvalue_2011,coef_2012,odds_ratio_2012,OR_lower_CI_2012,OR_upper_CI_2012,pvalue_2012,coef_2013,odds_ratio_2013,OR_lower_CI_2013,OR_upper_CI_2013,pvalue_2013,coef_2014,odds_ratio_2014,OR_lower_CI_2014,OR_upper_CI_2014,pvalue_2014,coef_2015,odds_ratio_2015,OR_lower_CI_2015,OR_upper_CI_2015,pvalue_2015,coef_2016,odds_ratio_2016,OR_lower_CI_2016,OR_upper_CI_2016,pvalue_2016
subject_race_black,0.007108226569378373,1.0071335499778085,0.9617857341127959,1.054619497373358,0.7623512422455158,0.06593698146011708,1.068159401199113,1.0158609444038769,1.1231502821870794,0.010042612105106678,0.07847062204457414,1.081631578571211,1.0217538398737878,1.1450183264365954,0.006921318220864585,0.0012472309259888353,1.0012480090419433,0.9402415781608593,1.0662127679690263,0.9689821248429424,-0.014302507399690488,0.985799287573608,0.9288806699921938,1.0462056825757822,0.6373903259220532,0.01516871792342251,1.0152843468328037,0.9602541020276505,1.073468265063481,0.5936839225840866,0.07972935963678883,1.0829939261392563,1.022361111867279,1.1472226696028527,0.006682293257487989,0.027637424445420056,1.0280228808746288,0.9627850674299576,1.0976811744939692,0.4086853442660141,-0.1082175191001806,0.8974323665172493,0.8340780136176679,0.9655989479683492,0.0037657438702950654,0.03162638049462482,1.0321318086818725,0.9524864143900019,1.1184370237712609,0.4401846650638821,-0.04690673531092468,0.9541763844044574,0.8896551726057816,1.0233769224186782,0.18915244311408053
subject_race_hispanic,-0.5417541825814197,0.5817269016200781,0.557485666972838,0.607022221586522,2.3465978215068267e-137,-0.46572937959578314,0.6276771233021461,0.6003563930529319,0.6562411522152665,1.6987876210611372e-93,-0.4073670663965282,0.6653998995254277,0.6306503817928956,0.7020641532471946,4.0741483287641853e-50,-0.44659613683643107,0.63980224866441,0.6052041736325897,0.6763782128914133,7.440719114821931e-56,-0.5013156237744482,0.605733218238287,0.5743091834452776,0.6388766578242833,5.793840669716241e-76,-0.5418016941377561,0.581699263526189,0.5531258156141267,0.6117487624605253,1.1386758509749008e-98,-0.4442383244354788,0.6413125621587235,0.6090787268329744,0.6752522855643438,5.914392185597276e-64,-0.369390264505031,0.6911556243021363,0.6529020465654836,0.7316504819020576,4.852452432392125e-37,-0.3683386485928771,0.691882836861558,0.6493806230953904,0.7371668370112096,4.834949926842603e-30,-0.2658555346067311,0.7665498594292635,0.7150441872550997,0.8217655600371888,6.814335192064182e-14,-0.324417626502406,0.7229482569736967,0.6799958763881749,0.768613752538331,3.0253302102489643e-25
subject_race_asian/pacific islander,-0.7102278847429357,0.49153217201434074,0.36676594050336137,0.6587413100397231,1.9931926072109347e-06,-0.20422482360063968,0.8152790566083101,0.6199626026780545,1.0721290885497223,0.1438678643410462,0.20487455216443975,1.227371084259157,0.9365780034975266,1.608450948933136,0.13753680132567972,-0.09031719248114002,0.9136413391419174,0.6891543222685992,1.2112533718734981,0.5301445329952765,-0.14520380930678098,0.8648460114813609,0.665573136532328,1.1237812683849036,0.27719589767626207,-0.03693780505535472,0.9637360729968375,0.7729521987393843,1.201610164134515,0.7427749782914942,0.04202723484307045,1.0429228822050112,0.8255177350421229,1.317583005253433,0.7245681455342918,-0.15408726819251892,0.8571972116959711,0.6783253003008806,1.083236994718349,0.1969133942221537,-0.2940948618738429,0.745205796471961,0.5549777415360758,1.0006377509093503,0.05049763975436772,-0.1642491332517484,0.8485305983578085,0.6164521213022612,1.1679806938265451,0.31369387189927966,-0.01166063866562769,0.98840708309949,0.7381000225591909,1.3235991492506654,0.937617653192568
county_type_Non core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
county_type_Micropolitan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subject_sex_female,-0.057604005441046484,0.9440237016789793,0.9034988891808681,0.9863661815230859,0.010076932069786711,-0.03774102197909417,0.9629622946705124,0.9197532580774356,1.0082012461640317,0.10712307741440884,-0.06369035927049167,0.9382954890544397,0.8898135338058025,0.9894190089628967,0.01862535174895796,0.049956361723904864,1.0512252217186222,0.9897580073756242,1.1165097514164173,0.10414654827647707,-0.025463140661136276,0.9748583109363496,0.9207130098736309,1.0321877894742784,0.3824691137965702,0.01458829547555595,1.0146952239935338,0.9625844544361152,1.0696270782790007,0.5875920065925222,0.07556638390678211,1.0784948200413347,1.0219690286360463,1.1381470908256102,0.005939086167023018,0.056431973864375186,1.0580546369838335,0.9968506470884564,1.1230163897798562,0.0634237339559014,0.07068460268083829,1.0732426746197008,1.0055946643763058,1.1454414779927795,0.03334382473785701,0.021693886001886754,1.0219309092287163,0.9523687280742731,1.0965739974985664,0.5464179781599956,0.09338934674874444,1.0978891116199778,1.0327203152471345,1.1671703205773152,0.002778919921767925
const,-2.1820916200492144,0.11280533780751033,0.0,inf,0.9999969470886946,-2.207934285847248,0.10992749291489372,,,,-2.3964049970648835,0.09104467152238223,,,,-2.327237135099757,0.09756493378611253,,,,-2.4261689829141764,0.08837475006270534,,,,-2.2054140024338085,0.11020489076573736,,,,-2.221412363263629,0.1084558215836734,0.0,inf,0.9999977177075431,-2.0370333810376033,0.13041502926417142,0.0,inf,0.9999978691434003,-1.990731768195421,0.13659543267095142,0.0,inf,0.9999981446747258,-1.8647134149575044,0.15494060718329628,,,,-1.7484178831681152,0.17404909173229158,,,
county_region_Alamo,-0.3054582648746259,0.7367856540294784,0.0,inf,0.999999572640772,-0.36247794593488786,0.6959496620285558,,,,-0.3533425024481047,0.70233660017276,,,,-0.4555996120408748,0.6340676593375435,,,,-0.35905701549868607,0.6983345343247663,,,,-0.3650418744065195,0.6941675824138321,,,,-0.3478213684638704,0.706225019007507,0.0,inf,0.9999996426462288,-0.2913061091466925,0.74728689165034,0.0,inf,0.9999996952766945,-0.14887736498244156,0.8616747799214752,0.0,inf,0.9999998612490429,-0.14897865874562552,0.8615875020608024,,,,-0.23601131875241832,0.7897717346514805,,,
county_region_Capital_Region,-0.03359135281779702,0.9669665720753743,0.0,inf,0.9999999530031554,-0.020772046937136236,0.9794422059749619,,,,0.08389098134922354,1.0875103284373135,,,,-0.18091284062687055,0.8345080907281637,,,,-0.03999661380100197,0.9607926925820678,,,,-0.2396070431943782,0.7869370325795979,,,,-0.2040971415741959,0.8153831597362828,0.0,inf,0.999999790309366,-0.21116536575088218,0.8096401690560239,0.0,inf,0.9999997791086207,-0.10566283353512272,0.8997279550345334,0.0,inf,0.9999999015241888,0.11138768107225579,1.1178281836912685,,,,0.09781824962163563,1.102762339421084,,,
county_region_Central_Texas,0.04027046388103387,1.0410923139852544,0.0,inf,0.9999999436585736,0.03354361830535676,1.0341125489794987,,,,0.0006283937770260807,1.0006285912577586,,,,0.053165187275236066,1.0546038378661777,,,,0.047244237298253715,1.0483780308311512,,,,-0.052413828068049846,0.9489360891887944,,,,-0.07322361122270836,0.9293929840867683,0.0,inf,0.9999999247696203,-0.08873123794599852,0.9150914823938995,0.0,inf,0.9999999071819118,-0.08861220282734739,0.9152004169004703,0.0,inf,0.9999999174150621,-0.007286372909490337,0.9927401083491215,,,,-0.11598287668813687,0.8904904713129754,,,
