variable,coef_2006,odds_ratio_2006,OR_lower_CI_2006,OR_upper_CI_2006,pvalue_2006,coef_2007,odds_ratio_2007,OR_lower_CI_2007,OR_upper_CI_2007,pvalue_2007,coef_2008,odds_ratio_2008,OR_lower_CI_2008,OR_upper_CI_2008,pvalue_2008,coef_2009,odds_ratio_2009,OR_lower_CI_2009,OR_upper_CI_2009,pvalue_2009,coef_2010,odds_ratio_2010,OR_lower_CI_2010,OR_upper_CI_2010,pvalue_2010,coef_2011,odds_ratio_2011,OR_lower_CI_2011,OR_upper_CI_2011,pvalue_2011,coef_2012,odds_ratio_2012,OR_lower_CI_2012,OR_upper_CI_2012,pvalue_2012,coef_2013,odds_ratio_2013,OR_lower_CI_2013,OR_upper_CI_2013,pvalue_2013,coef_2014,odds_ratio_2014,OR_lower_CI_2014,OR_upper_CI_2014,pvalue_2014,coef_2015,odds_ratio_2015,OR_lower_CI_2015,OR_upper_CI_2015,pvalue_2015,coef_2016,odds_ratio_2016,OR_lower_CI_2016,OR_upper_CI_2016,pvalue_2016,coef_2017,odds_ratio_2017,OR_lower_CI_2017,OR_upper_CI_2017,pvalue_2017
subject_race_black,0.11823362515469288,1.1255070274076322,1.1162330269070466,1.1348580791002285,1.3156384855719832e-172,0.10958580925638571,1.1158158141525378,1.1060299746825233,1.1256882359542475,2.5968283478169487e-131,0.12273470919748768,1.1305844475037645,1.120307997561048,1.1409551620805418,5.894704503369738e-153,0.21678450126800305,1.2420764074040234,1.230754056884822,1.2535029181496828,0.0,0.256676124632237,1.2926264091032178,1.2809790967274446,1.3043796247571362,0.0,0.30299768715938286,1.353911333057544,1.3419246348339893,1.3660051020737296,0.0,0.31734965735715526,1.3734827363177398,1.3611794491596323,1.385897229147508,0.0,0.39039246672455313,1.4775605734616999,1.4633793442098895,1.4918792293239704,0.0,0.36828984299836276,1.445260877018321,1.430179442445596,1.4605013473469945,0.0,0.4454444736725597,1.5611839468066022,1.5442136027273365,1.5783407887755767,0.0,0.4340598495569002,1.54351124381615,1.527526957057413,1.5596627927119018,0.0,0.4626734010055175,1.5883145157727885,1.5733800578760226,1.6033907309211184,0.0
subject_race_hispanic,0.24076906930678427,1.2722272050719297,1.2636332049022703,1.2808796532458275,0.0,0.27098025979455603,1.3112491858007893,1.30211928478519,1.3204431017599725,0.0,0.20981820655588315,1.2334538057578814,1.224356227350804,1.2426189837172985,0.0,0.41656565052375744,1.5167435730637957,1.5067232343823014,1.5268305511817843,0.0,0.44420177581803516,1.5592450718327893,1.5489233727225467,1.5696355525718706,0.0,0.46725652199887796,1.5956106601590525,1.5851634629718487,1.606126710768391,0.0,0.5118644826256133,1.6683989977673286,1.6572312647321066,1.6796419878072912,0.0,0.5614484990387656,1.7532101852033442,1.7406247623751911,1.7658866057417375,0.0,0.5360169396732033,1.7091854973037748,1.6959911562529524,1.722482486670376,0.0,0.6146964996662645,1.8490953133426504,1.8341036939849642,1.864209471383238,0.0,0.6562480727719504,1.9275467353418299,1.9128043173819707,1.9424027764702108,0.0,0.6430827027921046,1.9023361866559751,1.8888606718583947,1.9159078385068413,0.0
subject_race_asian/pacific islander,0.3498115910115606,1.4188002086973102,1.3849377590680283,1.4534906128591243,3.3280667273831463e-177,0.28424219012827046,1.3287547030581577,1.2963593159711795,1.3619596350695913,8.365465249134412e-113,0.23143708312850012,1.2604100230274158,1.2314105990852922,1.2900923764405055,1.3983069238495538e-84,0.3035749679816169,1.3546931457461475,1.3262200005458817,1.3837775922367437,1.2232327489747749e-172,0.2803697209129055,1.3236190915423505,1.2962802156956286,1.3515345511581625,8.887684279529779e-153,0.2880356556661228,1.3338048609763398,1.3078282406401691,1.3602974395883152,3.4153387725404967e-181,0.2848936403823035,1.3296206026616477,1.303619692473504,1.3561401053001167,7.198232069056417e-176,0.2985886510334144,1.347955029506512,1.319911859757946,1.3765940112888384,1.575482834049543e-170,0.26012572310178195,1.2970931509893233,1.2678794615008273,1.3269799641299052,6.03157278012277e-111,0.3317049420859236,1.3933416713678148,1.3608460985457644,1.4266132042739348,4.443765448753444e-167,0.26660640532272584,1.3055264969131863,1.2736555284377773,1.3381949797940849,3.244962911743745e-99,0.20951389841740514,1.2330785128315946,1.2060156913775122,1.260748620169511,1.9125071425405365e-76
subject_sex_female,-0.05826847217797383,0.9433966376849972,0.9384150876978518,0.9484046320895434,3.3920550787826533e-103,-0.04171202640750431,0.9591459495107036,0.9537836640313445,0.9645383823983761,3.6381350763855977e-48,-0.03420920990754862,0.9663693094537377,0.9608548765755567,0.9719153901600239,1.0513703446254916e-31,-0.07139918049799979,0.9310901449076813,0.9257262983968583,0.9364850706364563,1.3177173833686674e-129,-0.07207886525426996,0.9304575121492501,0.9250978559124813,0.9358482201442656,4.4884446629714805e-132,-0.10097069312618387,0.9039595247253918,0.8988000751422294,0.9091485914845395,6.264618771982444e-262,-0.12121912722641842,0.8858398266994755,0.880684087654902,0.8910257486955391,0.0,-0.11947679391257293,0.8873846003047302,0.8819064892480538,0.8928967395731445,0.0,-0.12037809131238673,0.8865851631912542,0.8807296643867654,0.8924795920643395,1.1621227455344923e-277,-0.10408037286216357,0.901152866275385,0.8949640871004175,0.9073844415672343,1.4260584592463014e-192,-0.10654155481340177,0.8989376921970177,0.8930830787294257,0.9048306856313465,4.1749621753101605e-224,-0.1204813091607201,0.8864936565009884,0.8812270264683142,0.8917917624088548,0.0
const,-0.24344507682626984,0.783922530363248,0.0,inf,0.9999959673349126,-0.2858904562832437,0.7513449165537718,,,,-0.45039621724204215,0.6373755623974966,0.0,inf,0.9999794908828261,-0.6471889351754794,0.5235153458401096,0.0,inf,0.9999884869535857,-0.78828789418563,0.4546224911540201,,,,-0.812826102536661,0.4436026265497414,,,,-0.733517012238368,0.4802170872397726,,,,-0.7197417204162222,0.4868779903666601,0.0,inf,0.9999791737436615,-0.6981284926004728,0.49751553705965906,0.0,inf,0.9999853685089147,-0.793139384950251,0.4524222359114008,0.0,inf,0.9999819946747208,-0.7808672745793133,0.45800861977330964,,,,-0.796629019550043,0.45084619911886525,,,
county_region_Alamo,0.08015709981560533,1.083457265242191,0.0,inf,0.999998672198501,-0.008621882110172662,0.9914151797246459,,,,0.1468750068942612,1.1582091858187364,0.0,inf,0.9999933119404398,0.03928437758062924,1.0400662131121294,0.0,inf,0.9999993011579187,0.00033151741641969596,1.0003315723743913,,,,-0.03333959557147469,0.9672100435634154,,,,-0.11233174399079122,0.8937477128815974,,,,-0.13543155411737998,0.8733389373371923,0.0,inf,0.9999960811883171,0.004980386171227487,1.0049928089092168,0.0,inf,0.9999998956202524,0.042488077760301717,1.0434036165915042,0.0,inf,0.9999990354637847,0.030708472543061242,1.0311848413685245,,,,0.023879152380337627,1.0241665423230033,,,
county_region_Capital_Region,0.1927017447507813,1.212521098800621,0.0,inf,0.9999968078976643,0.18717816111970928,1.2058421000922572,,,,0.2380408654731007,1.268761040285681,0.0,inf,0.9999891606371998,0.20926454790704496,1.2327710824056657,0.0,inf,0.9999962773274973,0.21736454801051647,1.2427970787694236,,,,0.2959552514812359,1.3444099951300956,,,,0.2630535070556137,1.3008963242214888,,,,0.4508733937553923,1.5696825379009902,0.0,inf,0.9999869536465529,0.5937154565426559,1.810703523079151,0.0,inf,0.9999875568143948,0.3199145515762334,1.3770100959665292,0.0,inf,0.9999927375116249,0.36352396547260174,1.4383893281722402,,,,0.33107433921410984,1.39246330308832,,,
county_region_Central_Texas,0.036331725268810726,1.0369997884742346,0.0,inf,0.9999993981653604,0.06898287854909492,1.071417864762935,,,,0.17069776013406462,1.1861321984036686,0.0,inf,0.9999922271541585,0.12839268257041567,1.136999394891054,0.0,inf,0.9999977159824073,0.08256793099982812,1.086072448920548,,,,-0.024877966709335893,0.9754289395688284,,,,-0.14767198724291825,0.8627140497504272,,,,-0.19510936890735903,0.8227446704495425,0.0,inf,0.999994354366829,-0.16496579215753218,0.8479227091982731,0.0,inf,0.9999965426199574,-0.07175941943630318,0.9307547903899194,0.0,inf,0.9999983709651628,-0.012324828636081697,0.9877508109969699,,,,-0.10290766736755706,0.9022102730853525,,,
county_region_Gulf_Coast,0.047036294838905104,1.04816005118949,0.0,inf,0.9999992208442803,0.06781933951014288,1.070171953224172,,,,0.22639854592549502,1.2540753723233722,0.0,inf,0.9999896907786322,0.12312715794665804,1.1310282310314683,0.0,inf,0.999997809652472,0.071532502885296,1.074153063207736,,,,0.12864014568823495,1.1372807951229258,,,,0.11769363525579464,1.1248994290449463,,,,0.18830563033595052,1.207202416653181,0.0,inf,0.9999945512380115,0.3698626036837372,1.4475357149247021,0.0,inf,0.9999922483590826,0.3677854017523366,1.4445320116710125,0.0,inf,0.9999916507792733,0.38181606656270767,1.4649426084214277,,,,0.3272136224608912,1.3870977607699129,,,
county_region_High_Plains,-0.2643003791239748,0.7677428910803712,0.0,inf,0.9999956218670536,-0.2015894271911191,0.8174304737802093,,,,-0.10855257903473972,0.8971317232568211,0.0,inf,0.9999950569798813,-0.21136942875392697,0.8094749683079943,0.0,inf,0.9999962398831136,-0.23608812958908723,0.7897110739534938,,,,-0.29476999766751805,0.7447028511624029,,,,-0.3020274555763284,0.7393177662155159,,,,-0.3523206727589113,0.70305463535498,0.0,inf,0.99998980534206,-0.31287483280203926,0.7313414467998693,0.0,inf,0.9999934427181018,-0.17027767601659635,0.8434305836327118,0.0,inf,0.9999961344689182,-0.18865765964061457,0.8280699399374809,,,,-0.2758326900140637,0.7589398983631931,,,
