variable,coef_2006,odds_ratio_2006,OR_lower_CI_2006,OR_upper_CI_2006,pvalue_2006,coef_2007,odds_ratio_2007,OR_lower_CI_2007,OR_upper_CI_2007,pvalue_2007,coef_2008,odds_ratio_2008,OR_lower_CI_2008,OR_upper_CI_2008,pvalue_2008,coef_2009,odds_ratio_2009,OR_lower_CI_2009,OR_upper_CI_2009,pvalue_2009,coef_2010,odds_ratio_2010,OR_lower_CI_2010,OR_upper_CI_2010,pvalue_2010,coef_2011,odds_ratio_2011,OR_lower_CI_2011,OR_upper_CI_2011,pvalue_2011,coef_2012,odds_ratio_2012,OR_lower_CI_2012,OR_upper_CI_2012,pvalue_2012,coef_2013,odds_ratio_2013,OR_lower_CI_2013,OR_upper_CI_2013,pvalue_2013,coef_2014,odds_ratio_2014,OR_lower_CI_2014,OR_upper_CI_2014,pvalue_2014,coef_2015,odds_ratio_2015,OR_lower_CI_2015,OR_upper_CI_2015,pvalue_2015,coef_2016,odds_ratio_2016,OR_lower_CI_2016,OR_upper_CI_2016,pvalue_2016
subject_race_black,0.2558616519045426,1.2915740287716213,1.252601759838204,1.3317588440980876,3.266705448809562e-60,0.1788218616557663,1.195807705988546,1.1568161977848348,1.236113457297524,3.993098536580966e-26,0.2682657100267324,1.3076945614130884,1.2612173624905232,1.355884494463752,7.900666462012454e-48,0.41998411610174285,1.521937381128126,1.4632421872403902,1.5829870217476203,2.873275817636386e-97,0.4348941586831795,1.5447995466800697,1.4863283276707173,1.6055709865684773,3.881462149098554e-108,0.4540480833529345,1.5746737112465328,1.517276750281205,1.6342419380191333,6.144496954517786e-127,0.3625436336558981,1.4369799203055893,1.380992106896562,1.4952375767026176,1.6922633196054863e-71,0.2883875405544706,1.3342742893384516,1.274479110974885,1.3968748988187323,6.417954278285844e-35,0.2659989760869365,1.3047337227523408,1.2383717478442573,1.3746519090495872,1.7337959572407393e-23,0.15253912372769765,1.1647880320529667,1.0983828010413932,1.2352079423744489,3.520922168168627e-07,0.3536147208999826,1.4242063638156364,1.352486508385762,1.4997293903906492,5.044166356506399e-41
subject_race_hispanic,0.05804557759651758,1.0597632960734846,1.0349495260142199,1.085171996773401,1.5729271737533644e-06,0.0221348459817362,1.0223816392315004,0.9974476131081887,1.0479389619074806,0.07890193349248459,0.11628161029236823,1.1233121638625474,1.091417135748503,1.1561392763145364,2.5289779137990886e-15,0.0019385567615939979,1.001940436977525,0.9722735523022173,1.0325125443077676,0.8994062869004592,0.017256598857631405,1.0174063541417953,0.987461616331479,1.0482591650434585,0.25756886417196945,-0.03764197881413121,0.9630576742271852,0.935127781148942,0.9918217623139476,0.012181196223235272,-0.12449433783045483,0.8829432607266755,0.855184065811238,0.9116035165167943,2.198448691132879e-14,-0.11531901553572803,0.8910818296116529,0.8597533050683479,0.9235519333082739,2.7004410763873197e-10,-0.22149604988535,0.8013190874439499,0.7699386699329589,0.8339784777376039,1.653112839087557e-27,-0.21503679680045437,0.8065117625789182,0.7716907619284296,0.8429039911695616,1.3028934538752966e-21,-0.22649999950816785,0.7973193427051344,0.76536031628954,0.8306128769959009,1.9551594063200135e-27
subject_race_asian/pacific islander,-0.7266755124653257,0.48351375655564127,0.41534130106506345,0.5628757654946656,7.157574549679464e-21,-0.7085080347823008,0.4923782609655023,0.42159292268925247,0.5750484384912391,3.649994535682777e-19,-0.6544287953707626,0.5197388550543645,0.44320582367314365,0.6094876534213517,8.130156429403886e-16,-0.6160483686752354,0.5400744013292798,0.46055941397310807,0.6333175484460103,3.421666454260452e-14,-0.6200579963894304,0.5379132396642723,0.4606842901304213,0.628088822660301,4.456110564352895e-15,-0.49718315039578925,0.6082415739241056,0.5317959237383993,0.6956762843328272,4.011049083164289e-13,-0.6076969169446902,0.544603693379599,0.47148219947142145,0.6290654942545251,1.4430805902121198e-16,-0.5113134158372056,0.5997073961279973,0.5142184567676082,0.6994088917604907,7.209352105854915e-11,-0.7028816650828048,0.49515637110237815,0.4098677976715873,0.5981924738564849,3.1574202592000744e-13,-0.8239865197240355,0.43867936012694453,0.351277847168462,0.5478272613903189,3.6366201453049767e-13,-0.6407951723159145,0.5268733023641203,0.4259887693337243,0.651649754002323,3.4424472153247606e-09
county_type_Non core,0.10042495782037732,1.1056406689052125,1.0778353297381182,1.1341633132717799,1.0941147914258469e-14,0.030790580738720166,1.0312695135713335,1.0035338606210538,1.0597717240586975,0.026858418108146036,-0.023009525331515172,0.9772531750684761,0.9492753818134241,1.006055551927421,0.12052074782528882,-0.056575836039359485,0.9449948171135508,0.9127977827057853,0.978327534631306,0.0013800136726424897,-0.06623995643515147,0.9359062606152146,0.9036675446132004,0.96929510623697,0.0002124964945953898,-0.024886509969068264,0.975420606261644,0.9423943073781962,1.0096043149568863,0.156753848108218,0.018477811773205146,1.0186495828908542,0.9808675824204487,1.0578869067760912,0.3379608492083126,0.07478308699456114,1.077650369150014,1.03332734932948,1.123874558127918,0.00048321619466477217,-0.030120730057551663,0.9703283786755917,0.9246989034071859,1.0182094506589914,0.22032705625142168,0.10173413842982808,1.107089100152136,1.0512429623863528,1.1659020031805136,0.0001170437443139192,0.02839224028696339,1.028799141760733,0.9810628092669603,1.0788582179345547,0.24149434885611953
county_type_Micropolitan,0.11744707993833241,1.124622113297346,1.0947287570431332,1.1553317564558647,1.2912280530229971e-17,0.09283336959563442,1.0972788800104043,1.066591441088214,1.128849242675769,1.4127390701310056e-10,0.059718562519165796,1.0615377479911707,1.0293899681193335,1.0946895008787698,0.0001411700431842308,0.04239569361185252,1.0433072270893962,1.00639873018199,1.0815692999733117,0.02105170946530288,0.17670378906813097,1.1932775789087087,1.1527699429146991,1.235208628641,1.1464769883080917e-23,0.097285599845611,1.1021751097157524,1.0646310259999687,1.14104318097993,3.760160254459529e-08,0.03513317471335523,1.0357576363415142,0.997304954845627,1.0756929222374298,0.06873575983019586,0.10570066517661977,1.1114891193068899,1.0650529267464186,1.1599499248470189,1.2071904419311994e-06,0.03793453324756697,1.0386632327439287,0.9912287859615367,1.08836761636978,0.11170631436837136,-0.09509246558183589,0.9092888526581366,0.8612115558504398,0.9600500735871871,0.0006014885375089536,-0.14242494447651904,0.8672526439507372,0.824717939012767,0.9119810699642134,2.8423128754298053e-08
subject_sex_female,-0.71494070725717,0.4892211181983368,0.4759521364226508,0.5028600234681936,0.0,-0.6497391843608746,0.5221819522215077,0.507529908313836,0.5372569906900033,0.0,-0.6054863591205322,0.5458089029369951,0.528947401441914,0.5632079063309298,0.0,-0.6393881427521911,0.527615150455593,0.5091218644535193,0.5467801845223893,3.008141498818106e-270,-0.6323330392163506,0.5313506917900325,0.5131345820011606,0.5502134675170023,1.839032489314913e-276,-0.5792250881272053,0.560332406606883,0.5419354009371048,0.5793539328690207,1.7706398439311934e-253,-0.5704049514151364,0.5652964747356096,0.5452318994842211,0.5860994278779459,4.010444221110153e-210,-0.5747678974715813,0.5628354891878332,0.5405760580024682,0.5860115023589542,1.6401986482581976e-171,-0.5025313890808784,0.6049972362879149,0.5786445841013281,0.6325500418957003,2.2201402066840248e-108,-0.5978364880078859,0.5500002820113263,0.5234731449996739,0.5778716885519063,3.3158853819228555e-124,-0.49783220889901475,0.6078469176498952,0.58163092161808,0.6352445538290877,1.5550970909288003e-108
const,-3.908767123036311,0.02006522377068144,0.01940439383604916,0.020748558721764933,0.0,-4.015984837941855,0.018025193911636615,0.01738873236619646,0.018684951191940767,0.0,-4.096037612468123,0.016638473035917593,0.016005699805173607,0.017296262477537704,0.0,-4.337592110767838,0.013067956542117768,0.012503671772876637,0.01365770721502155,0.0,-4.348787938853461,0.012922465911014853,0.01236677265396051,0.013503128899831572,0.0,-4.369223691121491,0.012661065651538768,0.012129351118547751,0.013216088961877448,0.0,-4.523021202696683,0.010856175366557736,0.010352541212661465,0.011384310496181648,0.0,-4.701158108825711,0.009084749878023988,0.00859972673611359,0.009597128243583615,0.0,-4.610392240547158,0.009947915566646842,0.009355345357936373,0.010578019339198788,0.0,-4.888603410263681,0.007531934154967994,0.007037027794679294,0.008061646730693187,0.0,-4.840369289005435,0.007904134602560203,0.007411459603078413,0.008429560054464828,0.0
Speeding Over Limit,-0.5503639515005155,0.5767398668382276,0.5607698739061826,0.5931646642919082,0.0,-0.4739233891168339,0.6225549452249483,0.6045857941666837,0.6410581650504087,9.712316164711664e-221,-0.5012458410639096,0.6057754894190005,0.5866629715095538,0.6255106618312515,3.147359774070691e-206,-0.3259067907076814,0.7218724695180373,0.6958145332190137,0.7489062636236272,1.2956869082036883e-67,-0.36540246532826937,0.6939173170098687,0.6690373264634601,0.7197225383395304,1.1676381815881275e-85,-0.35325379962226894,0.7023989021770243,0.678081957671945,0.7275878855018552,5.684981905975594e-86,-0.29411584996622236,0.7451901561879933,0.7172825141857687,0.774183613704637,1.5594341073053248e-51,-0.33573654976725115,0.7148113982413649,0.6844648049202688,0.7465034452944512,5.718412824181832e-52,-0.41089006401368844,0.6630598217295153,0.631314420150261,0.6964015285558258,1.4986678906522696e-60,-0.23098894183011734,0.7937482433896313,0.7517021872234999,0.8381461230161353,8.927238838354556e-17,-0.28604708204474566,0.7512272457994422,0.7147356459265706,0.7895819636920616,2.0935544489231377e-29
Speeding-10% or More Above Posted Speed,-0.8161854597708357,0.4421149071467228,0.4268547860223132,0.45792057983657625,0.0,-0.7833469264153172,0.45687432476793016,0.43993872279657315,0.4744618689286653,0.0,-0.8285359216492649,0.4366881642110149,0.4174381373800631,0.45682589990181866,4.033167881728708e-284,-0.5923500084110855,0.5530261404017515,0.5251779091750342,0.5823510597543553,8.157575587495403e-112,-0.6586387928304999,0.5175553552841443,0.4897655036227298,0.5469220347328387,5.357750098627305e-121,-0.7060147380132658,0.49360743780726707,0.4664142594348519,0.5223860500188835,1.0616660562320725e-131,-0.6143233744052947,0.5410068305632455,0.5095595255633999,0.5743948960476682,6.540447381095587e-90,-0.587491025351401,0.5557198240313317,0.5201924397930813,0.5936736084520113,4.961823798780074e-68,-0.6112727743338732,0.5426597459492408,0.5054463254469894,0.5826129997349822,8.194670216352147e-64,-0.4279361018455509,0.6518530656758793,0.6036156922433465,0.7039452828866145,1.0380892141162402e-27,-0.37386611221307897,0.6880690297017484,0.6438939567356444,0.7352747834983635,2.3680528743009064e-28
No/Improper License Plate Lamp,-0.2528861061147427,0.7765563218038671,0.7492243084574134,0.804885418327065,1.6110666485326054e-43,-0.3077815050818506,0.735075910815041,0.7067930603816276,0.7644905205617206,2.4184604124114636e-53,-0.3065415328792549,0.735987949845915,0.7058817064806461,0.7673782410640285,6.415934918575794e-47,-0.0897821535816105,0.9141303035944133,0.8730435517099143,0.9571506602539686,0.0001300020573627122,-0.07113905378629615,0.9313323778296366,0.8904804707286107,0.9740584173441734,0.0018806731404842206,-0.15661041464256964,0.8550371038744631,0.8183959183874867,0.8933187868807042,2.4135771974699008e-12,-0.19634206189548611,0.8217311036999186,0.7815722492328466,0.8639534060359373,1.587866807070141e-14,-0.08182898810503618,0.921429520631881,0.8704836728652217,0.9753570204220876,0.0048055450271102945,-0.21952308541294055,0.8029016221635831,0.7510831844543956,0.8582950972883286,1.125097990219228e-10,-0.02965632224664711,0.9707791114075907,0.9009007959912222,1.046077534106756,0.4365235616555574,-0.13410669296567582,0.8744967569733133,0.8142053922053601,0.9392526569806322,0.00023374564690985058
