variable,coef_2006,odds_ratio_2006,OR_lower_CI_2006,OR_upper_CI_2006,pvalue_2006,coef_2007,odds_ratio_2007,OR_lower_CI_2007,OR_upper_CI_2007,pvalue_2007,coef_2008,odds_ratio_2008,OR_lower_CI_2008,OR_upper_CI_2008,pvalue_2008,coef_2009,odds_ratio_2009,OR_lower_CI_2009,OR_upper_CI_2009,pvalue_2009,coef_2010,odds_ratio_2010,OR_lower_CI_2010,OR_upper_CI_2010,pvalue_2010,coef_2011,odds_ratio_2011,OR_lower_CI_2011,OR_upper_CI_2011,pvalue_2011,coef_2012,odds_ratio_2012,OR_lower_CI_2012,OR_upper_CI_2012,pvalue_2012,coef_2013,odds_ratio_2013,OR_lower_CI_2013,OR_upper_CI_2013,pvalue_2013,coef_2014,odds_ratio_2014,OR_lower_CI_2014,OR_upper_CI_2014,pvalue_2014,coef_2015,odds_ratio_2015,OR_lower_CI_2015,OR_upper_CI_2015,pvalue_2015,coef_2016,odds_ratio_2016,OR_lower_CI_2016,OR_upper_CI_2016,pvalue_2016
subject_race_black,0.5988680579061068,1.8200574343138904,1.7687786205690126,1.8728228765766073,0.0,0.4902869737196215,1.6327847190328644,1.5822084098975897,1.684977732408709,7.735055828798064e-205,0.5881921845443255,1.800730083377542,1.739666133592131,1.8639374363662418,7.89028789924666e-245,0.7705422280092526,2.1609376570962984,2.078392935028535,2.246760696284183,0.0,0.7956857865392272,2.2159601514799707,2.1381536649199524,2.2965979824144074,0.0,0.7574954301900609,2.132927459398442,2.060642057019534,2.207748566306568,0.0,0.6844054035787986,1.982592642509988,1.9132617234328653,2.054435908058692,0.0,0.6244360937282932,1.8671927388059395,1.791499558729156,1.946084053921171,3.2070409350835793e-192,0.6836511104717481,1.9810977504099345,1.892985308608892,2.0733115459641382,1.1997100894295287e-190,0.6362034587355051,1.8892944617865894,1.7982906364852558,1.9849036028536005,9.124146167757176e-141,0.6225008429953822,1.8635827469360622,1.784916555170636,1.9457159745743686,4.725859233994745e-176
subject_race_hispanic,0.36563184677354427,1.4414244798865357,1.4087287433402,1.474879064574049,3.74451786967284e-214,0.29767527741852956,1.3467244050440206,1.3144452470015338,1.3797962503789667,8.632651644187353e-128,0.3746086699852214,1.4544221441999814,1.4143863982366798,1.495591145514746,1.7271325138957118e-152,0.3004187241416246,1.3504241443983476,1.310266455881012,1.391812605435133,1.0027442203214603e-84,0.32320569061798143,1.3815494934509802,1.3434947005703686,1.4206821969929226,7.143201272205334e-114,0.3059122900117441,1.3578632031590883,1.3216535764740627,1.3950648727576334,5.008090477818921e-109,0.17770624023749373,1.1944743811807554,1.1606386541359681,1.2292965103418,8.20711628095887e-34,0.1456361865800562,1.1567752611221511,1.1200077453986994,1.1947497776168279,9.828490433716498e-19,0.11795236319678172,1.125190509611755,1.08658643475713,1.1651661040691574,3.5438435302130676e-11,0.06669177651675048,1.0689659469849286,1.0296993608352043,1.1097299263025027,0.00047818570081167427,-0.11498604867407339,0.8913785797331729,0.8617973502312849,0.9219751861547143,2.4260923519131824e-11
subject_race_asian/pacific islander,-0.34960724870324944,0.704964911237202,0.6124957142661701,0.8113942914214531,1.0974153405248255e-06,-0.3453466917641065,0.707974861861498,0.615566194741582,0.8142558985686755,1.3023606320720886e-06,-0.3911186780924448,0.6762998892956491,0.581107235534148,0.7870862937042707,4.344450905430687e-07,-0.35350258131934936,0.7022241799208642,0.596349967413757,0.8268949875256665,2.239449273233853e-05,-0.34559576806844805,0.7077985440585438,0.6092003269855725,0.822354744046713,6.321828298585032e-06,-0.37848404757311166,0.6848988967675066,0.5966420489908337,0.7862109276186035,7.562421933159381e-08,-0.5198265096986013,0.5946237004669696,0.5132780859320659,0.6888611745716132,4.339367954835643e-12,-0.15080204519686025,0.8600179264892761,0.7462569750109898,0.9911208318984515,0.037235920036763515,-0.3696208173784025,0.6909962947546547,0.5814621928655668,0.8211641018508206,2.698553886685464e-05,-0.36921483425190943,0.6912768845443005,0.5767155236731832,0.8285952284788383,6.501384569931496e-05,-0.29313772323101206,0.745919403192431,0.6318266944305307,0.8806145118012707,0.0005381124186906626
county_type_Non core,0.23215209888895924,1.2613115583260857,1.2319024546711461,1.291422743038261,7.004273058196256e-83,0.17626458294780276,1.192753599168779,1.162886973364264,1.2233872946519286,2.910571795807734e-42,0.17602750693667157,1.1924708594199558,1.1599279389990043,1.2259268035158422,1.1044964016541391e-35,-0.02067892504079459,0.9795334177373796,0.9472315882114791,1.0129367816754615,0.22679045554276922,0.016254851596250938,1.0163876804248122,0.9850737862422874,1.0486969923948863,0.30864672057715403,0.08114296605096712,1.084525935874041,1.052235004360068,1.1178078097665884,1.428689013942969e-07,0.12799835269415744,1.1365511304482008,1.1006220185351696,1.1736531255682907,5.7292400238471066e-15,0.15873402489044894,1.1720261754304526,1.1304333690744357,1.2151493342936548,7.291529898062524e-18,0.09077341318741088,1.0950208598599354,1.0524410280598586,1.1393233934815716,7.263574008696395e-06,0.1023922182042637,1.1078178928730174,1.062423463277043,1.155151901468864,1.614377409531191e-06,0.03642955268434898,1.037101240445766,0.9990391429262777,1.0766134545876513,0.05618817210978124
county_type_Micropolitan,0.22727916337722395,1.255180219384426,1.22266242029953,1.2885628583791529,1.3480565457799244e-64,0.16529600520582644,1.1797422768880146,1.146806699378832,1.2136237437667405,2.581525969311948e-30,0.21827046875286463,1.2439234645526984,1.2069213314174467,1.2820600194774388,1.472304872450289e-45,0.12248551050709028,1.130302742441787,1.0911339639230246,1.170877574902025,9.969873911654581e-12,0.26344655719888455,1.301407742207977,1.2608193784434332,1.343302728714247,1.0476278822236506e-59,0.2804868030625472,1.3237740727834866,1.2834904146272166,1.3653220747135448,8.596215019207364e-71,0.2821350005302008,1.3259577128987163,1.2833898835439943,1.3699374437490064,2.033179619616347e-64,0.30655453630447216,1.3587355658732225,1.308997564001032,1.4103634634169346,2.12639338537181e-58,0.25732030856506233,1.2934593665271978,1.2431945081164764,1.3457565344233255,4.336407682263386e-37,-0.03787428601973374,0.9628339749745316,0.9213305099648155,1.006207059614969,0.09204334039276162,-0.09897902085046413,0.9057617099345824,0.8701531804785823,0.9428274165847421,1.3184990137763666e-06
subject_sex_female,-0.844018198463299,0.42997930538542983,0.4187683035985486,0.44149044106493235,0.0,-0.7575727156159248,0.46880296521785597,0.45604505386226163,0.48191778056962076,0.0,-0.7218268619762852,0.4858638385267867,0.4713643759203644,0.5008093136590062,0.0,-0.8154284425810757,0.44244972244576086,0.42676083458916836,0.4587153764491665,0.0,-0.7662667039514998,0.46474486381079827,0.4498236664278424,0.48016101543462186,0.0,-0.7600467268117553,0.46764457495935235,0.45324388621944794,0.48250280949852475,0.0,-0.7014367637712879,0.49587234032025773,0.4801069202226488,0.512155454415568,0.0,-0.7191097168223067,0.487185796263341,0.46973232066946674,0.5052877769672572,0.0,-0.6704103786922744,0.5114986265722637,0.4919064169018958,0.5318711771094682,3.9286294519322704e-248,-0.6691169377304425,0.5121606478982471,0.49137656833596677,0.5338238454142267,6.203233245261439e-220,-0.607656530807592,0.5446256882631653,0.525092774115789,0.5648852068391231,3.1106191452125386e-233
daytime,-4.117071849657494,0.016292150531256287,0.01579567817521971,0.016804227459478637,0.0,-4.149910466299735,0.015765827994582798,0.015253081489020326,0.016295810950311476,0.0,-4.344825423400127,0.01297377296725079,0.01250800639818604,0.013456883507045344,0.0,-4.608309251314396,0.009968658563880487,0.009545416399868292,0.010410667214538588,0.0,-4.553655000927906,0.010528651739917802,0.01011549852893301,0.010958679608662548,0.0,-4.5936837495025244,0.010115526589074622,0.009736450459529603,0.01050936155836192,0.0,-4.778008657824946,0.00841273493232299,0.008081747026058204,0.008757278446520108,0.0,-4.991473550229533,0.006795643388868749,0.006490002711987612,0.007115677930823597,0.0,-5.067075157344061,0.006300822129553662,0.0059903148268822155,0.0066274245437173505,0.0,-5.014368184906315,0.006641827118437422,0.006294230173825534,0.007008619998464249,0.0,-4.913123520486782,0.00734949614001017,0.006998759030253204,0.007717810154419648,0.0
Speeding Over Limit,-0.6129033624132756,0.5417756124609835,0.5267357195868083,0.5572449396211875,0.0,-0.6131535640083573,0.5416400762949589,0.5255108021099443,0.5582643992681066,0.0,-0.6101624210147365,0.543262624641556,0.525673198122877,0.5614406067996717,4.546136093834377e-289,-0.4729159322392628,0.6231824585294026,0.599890920810118,0.6473783202024425,8.67684678583188e-131,-0.4490137995184085,0.6382572909897616,0.6161197747854716,0.6611902201052274,3.4710160086207883e-137,-0.44210649311023464,0.6426811906922619,0.6216353501595252,0.6644395508775822,2.567167353746136e-149,-0.45154742381389895,0.6366422336487498,0.6148192936105354,0.6592397764309912,4.93746530438228e-142,-0.45775963109142837,0.6326995392287181,0.6081529017583779,0.6582369430168021,8.100330700620894e-114,-0.4499013441893247,0.6376910604470905,0.6107399556672776,0.6658314799951812,1.1104864957936649e-92,-0.4852559781935873,0.6155396118780684,0.5879674896407441,0.6444047000328356,1.1397222869272548e-95,-0.443658380499859,0.641684595358756,0.6162924780219616,0.668122903661429,7.037342223754455e-103
Speeding-10% or More Above Posted Speed,-0.73934138335957,0.477428254188153,0.46267055657360195,0.4926566747302562,0.0,-0.6850174006436032,0.5040814581567112,0.48747621561915155,0.5212523366594656,0.0,-0.7763366375309557,0.46008839839798976,0.44165010555007295,0.47929646496241485,6.309109100449634e-303,-0.7368372951585946,0.47862527474331323,0.45579129312878613,0.502603180614913,7.956681613178759e-192,-0.8214247165544724,0.43980461102239193,0.41853374089336515,0.46215651685257914,2.2841608183890382e-231,-0.8538935338636795,0.4257540129577494,0.4055109622425333,0.447007593943202,1.1556647451696889e-258,-0.8336114998955401,0.43447733462979143,0.41317487764272653,0.4568781030056678,1.0793963597235873e-231,-0.7619258397250032,0.466766643124596,0.44184806671267196,0.49309053393569036,3.829207657872083e-163,-0.6806497737105149,0.5062879128878253,0.4780866260479946,0.5361527321004325,7.702351859777797e-120,-0.6904301628623774,0.5013603560676728,0.47171436981971065,0.5328695132445813,3.316508738075389e-109,-0.6238403770302042,0.535882489995327,0.508682392692601,0.5645370219392081,7.799757725504793e-122
No/Improper License Plate Lamp,-0.051170641363477105,0.9501165275189499,0.8233406587803275,1.0964130171852953,0.4837424560310558,-0.060897696466772004,0.9409194942410838,0.8074214649215203,1.096489916488595,0.4353597310032865,0.20441394560719506,1.22680587926813,1.0209267870049936,1.4742023468911958,0.029188459786555647,0.9427323945578104,2.5669858627197573,1.8801947638147267,3.504645660236725,2.9489656453878715e-09,0.3848690092757097,1.469421828204441,1.0389467028870558,2.078259166907822,0.02955660521123231,0.2618630517767861,1.2993485867640109,0.899141830959687,1.8776868028969809,0.16331542725528225,0.13523424996397626,1.14480492345638,0.7595632007822006,1.7254368187141378,0.5182235599108805,0.00926018766607495,1.0093031958560095,0.6028160644491898,1.689890169227595,0.9719087572742774,0.11264511019116286,1.1192346574846104,0.6560914851850094,1.909316378586214,0.6793364017116709,0.05281729007650517,1.0542370079584618,0.6491440827859236,1.7121247784919507,0.8309530383915352,0.16304684913204215,1.1770918341274852,0.7229672086049339,1.9164703038789406,0.5120796403633171
"Ride, Not Secured By Safety Belt-Driver (12-1-85)",-0.5060494743644425,0.6028725440300449,0.5763370028996461,0.6306298268489704,1.3488601253848524e-107,-0.4256350023113104,0.65335477158645,0.6225723404491917,0.6856592074854944,5.998913777426662e-67,-0.3562742847603219,0.7002805176171137,0.662428869307036,0.7402950355516519,3.232921190651203e-36,-0.5120524976495924,0.599264327051082,0.5577757369108525,0.6438389300777041,1.83657894106948e-44,-0.303251426903559,0.7384134160302053,0.688280393324578,0.7921980318801076,2.821124191985465e-17,-0.3935186132193042,0.6746787595162889,0.6265934287406578,0.7264542008640161,1.7830904013924078e-25,-0.275348902007139,0.7593071532135808,0.7040758120018743,0.8188711259403092,8.929494102941491e-13,-0.24933746447286598,0.779316937225101,0.7142075969685485,0.8503618432844213,2.1258369255477415e-08,-0.23401665997488688,0.7913486319374271,0.7214702086395327,0.867995171207577,7.00062459791181e-07,-0.0757621912928062,0.9270366377324577,0.8457994131861614,1.0160765239371783,0.10542077922050115,-0.1323618267912337,0.876023968786859,0.8029261173185087,0.9557765992866023,0.0029069013836933457
