Index,State,Region,Stops,Time Start,Time End,Stop Location,Race,Sex,Violation,Search,Contraband,Citation,Pedestrian Included,Citation Valid,Citation Percent,Usable,Comment
20,CT,State Patrol,1175339,01/09/2013,01/09/2015,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,47.50%,TRUE,has county
28,IL,State Patrol,12748173,01/12/2011,01/12/2017,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,46.90%,Hard,"Location seems to be zip code, no county name"
31,KY,Louisville,146560,01/12/2014,01/06/2020,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,77.08%,Hard,"exact location, longitude and latitude, no county name, need mapping"
36,MD,State Patrol,3587052,01/12/2006,01/03/2014,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,37.60%,FALSE,"no county info, 77% location missing rate, violation coverage rate 0.1%"
41,MT,State Patrol,921216,01/12/2008,01/12/2017,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,47.03%,TRUE,has county
69,TN,Nashville,3092351,01/12/2009,01/03/2019,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,22.50%,Hard,"has specific location and zip code, need mapping "
70,TN,State Patrol,3828141,01/12/1999,01/06/2016,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,100%,FALSE,
74,TX,Houston,2045972,01/12/2013,01/11/2020,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,100%,FALSE,
78,TX,State Patrol,27426840,01/12/2005,01/12/2017,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,37.29%,TRUE,done analysis
85,WI,Madison,331450,01/09/2007,01/06/2020,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,70.44%,Hard,"exact location, longitude and latitude, no county name, need mapping"
86,WI,State Patrol,1058816,01/12/2009,01/05/2016,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,49.80%,TRUE,has county
