variable,coef_2006,odds_ratio_2006,OR_lower_CI_2006,OR_upper_CI_2006,pvalue_2006,coef_2007,odds_ratio_2007,OR_lower_CI_2007,OR_upper_CI_2007,pvalue_2007,coef_2008,odds_ratio_2008,OR_lower_CI_2008,OR_upper_CI_2008,pvalue_2008,coef_2009,odds_ratio_2009,OR_lower_CI_2009,OR_upper_CI_2009,pvalue_2009,coef_2010,odds_ratio_2010,OR_lower_CI_2010,OR_upper_CI_2010,pvalue_2010,coef_2011,odds_ratio_2011,OR_lower_CI_2011,OR_upper_CI_2011,pvalue_2011,coef_2012,odds_ratio_2012,OR_lower_CI_2012,OR_upper_CI_2012,pvalue_2012,coef_2013,odds_ratio_2013,OR_lower_CI_2013,OR_upper_CI_2013,pvalue_2013,coef_2014,odds_ratio_2014,OR_lower_CI_2014,OR_upper_CI_2014,pvalue_2014,coef_2015,odds_ratio_2015,OR_lower_CI_2015,OR_upper_CI_2015,pvalue_2015,coef_2016,odds_ratio_2016,OR_lower_CI_2016,OR_upper_CI_2016,pvalue_2016,coef_2017,odds_ratio_2017,OR_lower_CI_2017,OR_upper_CI_2017,pvalue_2017
subject_race_black,0.07603992399794472,1.0790056515167814,1.0626915194609476,1.0955702333972925,1.339935783960666e-22,0.08163923238741469,1.085064283157788,1.0676789693122029,1.10273268690792,3.903371032912306e-23,0.20120226272524414,1.2228720882522315,1.2033724216094392,1.2426877310569764,6.583939445502079e-133,0.24571936245549586,1.278540716662464,1.2584067833229202,1.2989967837326053,3.2932418858313274e-202,0.3318769253468885,1.3935813234195749,1.3731246957397825,1.4143427111967775,0.0,0.3776352625607659,1.4588307556333049,1.4383868391018917,1.479565243318306,0.0,0.37936216034936,1.4613521837368373,1.4413190925667674,1.4816637175806344,0.0,0.4443947343383063,1.559545970484136,1.5367815271100507,1.582647625018682,0.0,0.42758454216320574,1.5335488237230652,1.5086295872789866,1.5588796710424657,0.0,0.5182578169323223,1.6790998007731779,1.6502499285249042,1.7084540300369282,0.0,0.5027896932047704,1.6533271186899394,1.625928215405446,1.6811877274138736,0.0,0.5407432177666581,1.717282703027604,1.6921210728962053,1.7428184834730733,0.0
subject_race_hispanic,0.23183559130635906,1.2609124068244248,1.24683007363194,1.2751537930525543,0.0,0.1963974387281602,1.2170104963328752,1.2029454486900113,1.2312399949617843,1.851668058890597e-240,0.06244359593207019,1.0644344187933572,1.0516701619211362,1.077353597103306,3.495909768995635e-24,0.2596167116984317,1.2964330837893796,1.2831827738914017,1.3098202180867842,0.0,0.28422209775846663,1.3287280054954946,1.315946832253023,1.3416333162680325,0.0,0.32441529402171665,1.3832216315287613,1.3703351566551474,1.396229289336245,0.0,0.39654355454256207,1.4866771881095637,1.4728229300389335,1.5006617676620044,0.0,0.4151355580857804,1.5145760398054813,1.4996971305570217,1.529602566820164,0.0,0.28032907479046965,1.323565292652063,1.3097196547840366,1.3375572990099198,0.0,0.22616569959462957,1.2537833994680212,1.239751614936433,1.2679739988579803,0.0,0.3476672769977696,1.4157611150770506,1.4005448208588025,1.4311427275388051,0.0,0.3593876727295313,1.432452016527026,1.4185596158640301,1.4464804698409104,0.0
subject_race_asian/pacific islander,-0.17349603971580174,0.8407204806473231,0.7958172675122523,0.8881573137880975,5.825369192387532e-10,-0.19608036912623114,0.8219461729278323,0.7776462151438474,0.8687697542072391,4.016259857370122e-12,-0.07916372561498053,0.9238886478244572,0.8789598847678542,0.9711139818449668,0.0018560098309938244,-0.05440903485582572,0.9470446529931078,0.9064463254416252,0.9894613167810735,0.014937294240305383,-0.029928351034462747,0.9705150674580838,0.9318587310542124,1.0107749863518447,0.14897373835392114,0.037179461848964514,1.0378792638575927,1.000402956347321,1.0767594792788653,0.04754254187652858,0.012670800203708053,1.0127514149170973,0.9782500990983611,1.0484695369434909,0.4736842974753481,0.008243787573903842,1.0082778611581238,0.9717024810205153,1.0462299573773928,0.6619025322772167,-0.018893061591396504,0.9812842936128557,0.9425388353702487,1.021622482550575,0.3579953638910154,-0.042350670072369354,0.9585335925861163,0.9178583297370336,1.001011396147899,0.055585477168839666,-0.09805454511270698,0.9065994518359725,0.8657582659882295,0.949367275322625,3.0555167510212815e-05,-0.0462504094732218,0.954802840576466,0.9175340247618364,0.9935854581627359,0.022801359287659393
subject_sex_female,-0.1393236813314627,0.8699463974731291,0.8610075701433964,0.8789780261170448,4.889561998727423e-154,-0.12140002044994634,0.8856795987702046,0.8760566568888374,0.8954082427311395,3.560628531240443e-105,-0.08712026251065623,0.9165668603728878,0.9069271615564507,0.9263090192293486,1.1345375780766948e-58,-0.1525900149136236,0.8584816143299261,0.8495630012260385,0.8674938539919171,2.263843430625346e-180,-0.19278528410724108,0.8246590225291205,0.8166077398499589,0.83278968622516,0.0,-0.20699160438820705,0.8130264758135858,0.8053851693232352,0.8207402812362529,0.0,-0.19784493958087804,0.8204970698939804,0.812854879026331,0.8282111100950897,0.0,-0.20486443194440596,0.814757764050512,0.8068074742945321,0.8227863960494902,0.0,-0.2072677727831055,0.8128019745982474,0.8042737689851324,0.8214206099801604,0.0,-0.14358024650184614,0.8662512837628153,0.8566815904721765,0.8759278767822396,1.3998758280543547e-141,-0.13551499985822188,0.8732660639630887,0.8639977243830683,0.8826338275533193,9.013200330858972e-137,-0.14893266166273217,0.8616271334840125,0.8535439550683802,0.8697868607087728,1.4008649188787062e-210
const,-4.116608375659707,0.016299703269509247,0.016007053554370165,0.016597703366933243,0.0,-4.25129866985253,0.014245721401871496,0.013968050497745146,0.014528912126463185,0.0,-4.256431304637697,0.014172790640253341,0.013907695249680873,0.014442939029532,0.0,-4.5564444502462145,0.01049932352330307,0.010297978319834705,0.010704605411206053,0.0,-4.490255098835746,0.011217781801479927,0.01101813161826591,0.01142104967569986,0.0,-4.173164860090333,0.0154034331885031,0.015152559710203475,0.015658460255590218,0.0,-3.887438365084481,0.020497786688432783,0.02017330622847033,0.020827486301255208,0.0,-3.8536344129139923,0.021202537460915976,0.020845003390900597,0.02156620396510872,0.0,-3.8607431291774907,0.021052349093750054,0.020669058555442172,0.021442747437010072,0.0,-3.8947309568448856,0.02034884843114378,0.01995873183269652,0.020746590311681096,0.0,-3.8943009997299387,0.020357599444453135,0.01998986277242538,0.02073210105836636,0.0,-3.928823095108232,0.019666804896999596,0.019347562169734225,0.01999131526046728,0.0
county_type_Micropolitan,-0.18289276973563892,0.8328574584744747,0.822395203066292,0.8434528114345616,7.021842638777229e-177,-0.2222802515976891,0.8006909379735827,0.7900822859541631,0.8114420352796134,5.181058151722866e-234,-0.4791737958684461,0.6192948444540397,0.6114900160911608,0.6271992907079242,0.0,-0.23702588176341083,0.7889708677960169,0.7789978385614179,0.7990715755775779,5.548576226764647e-292,-0.18707908815520488,0.8293781398044374,0.8193800443909722,0.8394982322235425,8.794283592202675e-201,-0.24169306472416896,0.7852971759697952,0.7760682253079579,0.794635876686513,0.0,-0.2032551017542605,0.8160700339724299,0.8066351310647681,0.8256152933342665,3.3618617552641236e-257,-0.24167043068922422,0.7853149506146733,0.7756124922534102,0.7951387810518018,0.0,-0.40826957502447325,0.6647996412849364,0.6562578690412536,0.673452592192533,0.0,-0.5547993614352844,0.5741874537866171,0.5664880021594351,0.5819915529176002,0.0,-0.48057398265450707,0.6184283227838253,0.6105291494378033,0.6264296975392444,0.0,-0.5114528558210849,0.5996237787682861,0.5927079325216851,0.6066203206268104,0.0
county_type_Non core,-0.2194026334952663,0.8029983390284254,0.7936686407205503,0.8124377093909214,2.1317884583765494e-296,-0.25237247579355987,0.7769552871284245,0.7674457562875583,0.786582651934848,0.0,-0.46594852960125027,0.6275395829286801,0.6203164806492579,0.6348467926083834,0.0,-0.2728204177800496,0.7612294786345947,0.7523435201441708,0.7702203895253242,0.0,-0.25540462198787345,0.7746030131329441,0.7660387821281328,0.7832629913171606,0.0,-0.23976715486772823,0.7868110448608119,0.7782757723810143,0.7954399228193993,0.0,-0.21344055235387066,0.8078001805424752,0.7989140269218398,0.8167851729912055,0.0,-0.22170058332013626,0.8011552076586542,0.7918775395754706,0.8105415732623001,1.3667161694461204e-304,-0.19331123738180458,0.8242254044572412,0.8140303341821311,0.8345481597258335,1.5687602172253078e-203,-0.2720943777756912,0.7617823623721489,0.7515220797147077,0.7721827252787966,0.0,-0.3159572793305647,0.7290905967406895,0.7197921675846631,0.7385091449931209,0.0,-0.3317614919894931,0.7176584697375212,0.7093499397011773,0.7260643165811294,0.0
Speeding Over Limit,-0.19355946126674575,0.8240208374155429,0.8150503528153608,0.8330900516140672,3.32356143732387e-263,-0.1319294238547166,0.876402846031335,0.8663519307098468,0.8865703662742401,2.6617745314102352e-111,-0.005124732000257378,0.9948883770357876,0.9837564119197718,1.006146308951961,0.37204522717332267,0.13148755369420367,1.1405237123271397,1.1274241040418422,1.15377552574679,3.04769789758879e-110,0.1314917245620229,1.140528469310709,1.1279356961315297,1.1532618337814715,3.402028153182656e-119,0.004269686406997087,1.004278814504752,0.9935953091971482,1.0150771928241356,0.4339420178738157,-0.08569300846966116,0.9178759681206318,0.9080824605176822,0.9277750969588097,2.9703690338959986e-55,-0.09368802789310922,0.9105667893739375,0.9003225525936606,0.920927589253637,3.11094391266729e-59,-0.060530991484500536,0.9412645973791912,0.9297552515225456,0.9529164162596041,5.25588347996605e-22,-0.04256548095791203,0.9583277112498382,0.9459482574635086,0.9708691727092499,1.3944663562401533e-10,0.005911191930216867,1.0059286975011668,0.993603818481666,1.0184064570149047,0.3473223557994768,0.05933283425484566,1.0611283618391085,1.0492961772840674,1.0730939697253077,3.3658696572882773e-25
Speeding-10% or More Above Posted Speed,9.362740144890793,11646.257292024056,11175.36013257566,12136.996687619294,0.0,9.727529998979726,16773.07160886968,15979.604430819143,17605.938395675814,0.0,8.660570308088358,5770.824872298209,5586.236657296507,5961.512508288997,0.0,8.28401998426761,3960.081893722352,3849.9840218623076,4073.3282309576493,0.0,8.027341728749384,3063.586994169251,2982.7630185786793,3146.6010582749263,0.0,7.682763240735902,2170.6094089722797,2115.361094334462,2227.300681164008,0.0,7.104937884674459,1217.9664280035072,1189.5121532069084,1247.101356421019,0.0,7.001592483679505,1098.3809201072736,1071.7668193531092,1125.6559018909331,0.0,6.937732645024949,1030.4312109536575,1004.7048297582227,1056.8163395441577,0.0,7.1657196102033405,1294.2926519625876,1258.9604075521129,1330.6164823574927,0.0,7.245624582120823,1401.9572600173328,1364.819606232588,1440.1054541858302,0.0,7.057681950866619,1161.7490507362415,1134.988714910098,1189.140331667055,0.0
No/Improper License Plate Lamp,0.020320475390250715,1.020528341844554,0.9986656548629322,1.0428696445467915,0.06589789327451036,0.05607401120121938,1.057675960708242,1.0335362256352987,1.082379514247281,1.9339249645420403e-06,0.13621608949416913,1.1459294901662729,1.1204815936133468,1.1719553484123315,1.3635985687722648e-32,0.3487783460916503,1.4173349976805802,1.3852747766240836,1.450137207107569,3.853849269244601e-196,0.365515495491476,1.441256778056647,1.409576426965111,1.4736491477561016,6.280143286060056e-228,0.17936668720702717,1.1964593900921185,1.1715300762370677,1.2219191817401762,1.400751841386098e-62,0.031088799622611196,1.0315771034769412,1.0084790222860909,1.055204220317427,0.007129642484776685,0.05265461371601743,1.0540655224676116,1.027666619863983,1.0811425652824773,4.7248524816111676e-05,0.08261980354417058,1.0861287877230197,1.0561566548973345,1.1169514844702169,7.176761498483569e-09,0.09276186792761917,1.0972004255450518,1.0645604637723445,1.1308411450396347,1.741767866286992e-09,0.10001087088997011,1.105182932332399,1.0731645869524116,1.1381565593656726,2.6021700033894042e-11,0.1912262901526301,1.210733398129941,1.1797091848076688,1.242573492030801,2.966804790440843e-47
