variable,coef_2006,odds_ratio_2006,OR_lower_CI_2006,OR_upper_CI_2006,pvalue_2006,coef_2007,odds_ratio_2007,OR_lower_CI_2007,OR_upper_CI_2007,pvalue_2007,coef_2008,odds_ratio_2008,OR_lower_CI_2008,OR_upper_CI_2008,pvalue_2008,coef_2009,odds_ratio_2009,OR_lower_CI_2009,OR_upper_CI_2009,pvalue_2009,coef_2010,odds_ratio_2010,OR_lower_CI_2010,OR_upper_CI_2010,pvalue_2010,coef_2011,odds_ratio_2011,OR_lower_CI_2011,OR_upper_CI_2011,pvalue_2011,coef_2012,odds_ratio_2012,OR_lower_CI_2012,OR_upper_CI_2012,pvalue_2012,coef_2013,odds_ratio_2013,OR_lower_CI_2013,OR_upper_CI_2013,pvalue_2013,coef_2014,odds_ratio_2014,OR_lower_CI_2014,OR_upper_CI_2014,pvalue_2014,coef_2015,odds_ratio_2015,OR_lower_CI_2015,OR_upper_CI_2015,pvalue_2015,coef_2016,odds_ratio_2016,OR_lower_CI_2016,OR_upper_CI_2016,pvalue_2016,coef_2017,odds_ratio_2017,OR_lower_CI_2017,OR_upper_CI_2017,pvalue_2017
subject_race_black,0.2242481225665503,1.2513814768947984,1.2352583254542886,1.2677150750143686,8.588010400347178e-252,0.18326906789241654,1.2011375521546943,1.184573892706156,1.2179328179352789,1.5287719862082006e-147,0.18898443288888103,1.2080221469215326,1.1904304492601643,1.2258738075457114,1.1353246921718395e-140,0.2443159528008966,1.2767476587685758,1.2579974383018098,1.2957773478231531,8.245029599921578e-230,0.24808333574788316,1.281566728065748,1.2624117035770737,1.3010123985949509,1.0382894408832566e-228,0.2874437687671387,1.3330156329432339,1.3129643967467903,1.353373086181055,1.9833646933906746e-302,0.2827565067675161,1.3267820600296059,1.3063172050518563,1.3475675188297969,2.215814712772864e-278,0.3194997382326306,1.3764390122592065,1.353898208701029,1.3993550935316044,0.0,0.31577544187286294,1.3713222794852817,1.347404578046725,1.3956645426712335,4.860239374233064e-271,0.2964730290891024,1.3451062807663656,1.3209651839346048,1.3696885645145782,7.068135537505654e-226,0.26677120387335973,1.3057416635167771,1.2835301419570988,1.3283375560186474,5.5648733575016485e-204,0.26429306262799784,1.3025098573346534,1.281331327267539,1.3240384374834746,3.8922984138427985e-219
subject_race_hispanic,0.12146569834967741,1.129150633530676,1.1168846589236026,1.141551316884852,2.517774146283974e-105,0.16749370558899493,1.1823378480411375,1.1691270113131265,1.195697963851203,1.2159579914283028e-187,0.053489838134105544,1.0549462714905855,1.0417945206085215,1.0682640518034465,6.439152608299061e-17,0.29255930847571815,1.339852198799075,1.325740417578197,1.354114192208241,0.0,0.29047123417047666,1.3370574067321468,1.3224730469026666,1.3518026042831472,0.0,0.30535758409410707,1.3571101972726731,1.342199668512447,1.3721863674595254,0.0,0.3248852310632458,1.3838718113698911,1.3683446227977825,1.399575193556486,0.0,0.36187839712612674,1.4360243066598481,1.4189180838009399,1.4533367590846766,0.0,0.34054207522912466,1.4057093843067614,1.3878214688974015,1.4238278607247696,0.0,0.361320584765222,1.4352234979223044,1.416648355361718,1.4540421983988978,0.0,0.37113590514608524,1.4493800382079007,1.4316075673251734,1.4673731426835808,0.0,0.3492038719120296,1.4179382386564234,1.4014013839080932,1.4346702320481912,0.0
subject_race_asian/pacific islander,0.7904413120475776,2.204369026238693,2.133158944236602,2.277956275583351,0.0,0.7117543047931189,2.0375626309828263,1.9703124043201798,2.1071082261242284,0.0,0.6733625267976405,1.96081955626549,1.8999538710022312,2.023635094995776,0.0,0.7503619785610355,2.117766463942782,2.0576619237839666,2.179626664594678,0.0,0.7413960120859111,2.0988635090862893,2.0399541359533884,2.1594740548983933,0.0,0.726311005394047,2.0674397487144045,2.01140619256082,2.1250342821717427,0.0,0.7559293604729805,2.129589760512287,2.07090317342437,2.1899394458793635,0.0,0.7756457949837858,2.171994337412456,2.108675974138306,2.237213995706271,0.0,0.6915204938266141,1.996749271208852,1.9336424878638947,2.0619156214743453,0.0,0.7170297897552783,2.0483401653667674,1.9830873142240188,2.115740140618332,0.0,0.6515046675122654,1.9184252505712358,1.8547053753196012,1.984334272711704,0.0,0.5884657830227141,1.80122282779233,1.7459977628232073,1.8581946348626062,2.726421295313764e-300
subject_sex_female,-0.008158389686098222,0.9918747996565107,0.9840844910368906,0.9997267787007149,0.04257184441908521,0.0028218229019453672,1.0028258079917145,0.9944829654994177,1.0112386396374369,0.5079531495636211,0.025293666472757284,1.0256162654152527,1.0167160307601926,1.0345944118711683,1.2860981755850885e-08,0.021078357519269456,1.0213020751993012,1.0123833595744294,1.0302993613455522,2.475503336069107e-06,0.03151522477568645,1.032017087704704,1.02277433044607,1.041343371269385,6.60419064134129e-12,-0.001558642775441406,0.9984425712773691,0.9894137816057892,1.0075537522036992,0.7366503167825311,-0.033391318165243385,0.967160018244974,0.9582800454958778,0.9761222779167662,1.2912932286480748e-12,-0.038787845910991846,0.9619547701373401,0.9526055967361907,0.971395699290906,7.023362502130172e-15,-0.045857161098783565,0.9551783890785109,0.9452363085127456,0.9652250413424707,8.69807495880732e-18,-0.06245236135307772,0.9394578162466773,0.9294015077544426,0.9496229359896441,5.6555586253003354e-30,-0.05300979325142453,0.9483707248038683,0.9387437040394336,0.958096472759122,2.3610794974745913e-24,-0.057388771256154374,0.944226909718803,0.9351446600022544,0.9533973674564652,2.655927426611299e-31
const,-0.5147308797130944,0.5976614157888366,,,,-0.5473669475395169,0.5784709512412928,0.0,inf,0.9999907645846845,-0.7246351798849838,0.4845012925345121,,,,-0.8618744055443054,0.42236964786828674,,,,-0.9497148290251257,0.38685132649604903,0.0,inf,0.9999967754923993,-0.9939471264611554,0.37011292157456027,,,,-0.8848253092093593,0.41278627694202796,0.0,inf,0.9999904182708768,-0.8732409598014765,0.4175959420385843,,,,-0.872081333008819,0.41808047836783435,,,,-0.8460607616586352,0.42910194182179007,0.0,inf,0.9999967964521103,-0.8291632185724123,0.4364143169699763,0.0,inf,0.9999882874177077,-0.8478037002100922,0.42835469489678807,0.0,inf,0.9999830064800814
daytime,0.20449023913269485,1.2268994801842898,1.2172261418754735,1.2366496928476878,0.0,0.2102228787744213,1.2339530512545003,1.2236767403850801,1.2443156615211384,0.0,0.19841652673488386,1.2194702300038187,1.2088642304263228,1.2301692815752496,0.0,0.2500535726418084,1.28409420716409,1.2725828325671251,1.2957097099495865,0.0,0.2459922994244311,1.2788897253168456,1.26701680830028,1.290873900651027,0.0,0.26363387891546547,1.30165154697447,1.2891464757571292,1.3142779207816186,0.0,0.2148739075586012,1.2397055696085322,1.2269912647474517,1.2525516223905189,0.0,0.22365984039406872,1.2506455279750068,1.2370222225961198,1.264418866591823,0.0,0.2578591624723089,1.294156539981166,1.2790164084996116,1.3094758901027281,0.0,0.1389054453204681,1.1490154500793472,1.1353382603564655,1.1628574061324475,2.010846536007186e-114,0.13959242436161867,1.1498050708069005,1.1366474172785732,1.1631150352838473,6.566577504993646e-125,0.12517625010443126,1.1333481882011676,1.1211017811990955,1.145728369394821,6.473107826768016e-113
county_type_Metropolitan,-0.06183712270095023,0.9400359848448728,,,,-0.06920421492292994,0.9331361003024408,,,,-0.05043452010979437,0.9508161859734673,0.0,inf,0.9999991573079542,-0.1382660111689758,0.8708670005820986,,,,-0.22531101691160024,0.7982679053279957,0.0,inf,0.9999977886542201,-0.22760373006971651,0.7964398024562928,,,,-0.22260184920433126,0.8004334790855704,0.0,inf,0.9999981008715985,-0.22334741748887865,0.7998369236837021,,,,-0.15055688165721007,0.8602287973761672,,,,-0.1449485157209703,0.8650668293062939,0.0,inf,0.9999989851708888,-0.13796344973693817,0.8711305312140014,,,,-0.0942946993866114,0.9100145419932041,,,
county_type_Micropolitan,-0.3033570844711719,0.7383354011862767,,,,-0.2963334313736621,0.7435394672975817,,,,-0.4098893010450265,0.6637237195918982,0.0,inf,0.9999931513088078,-0.4534356552584587,0.6354412399980645,,,,-0.436861851530423,0.6460606775397304,0.0,inf,0.9999957123596306,-0.4980966929287855,0.6076861731057508,,,,-0.4421263787441159,0.642668410696471,0.0,inf,0.9999962279973598,-0.40984721279143793,0.6637516551519966,,,,-0.47883012405261266,0.6195077152145148,,,,-0.5362028143301153,0.5849652622222163,0.0,inf,0.9999962212618362,-0.5054086042955156,0.6032590308295744,,,,-0.5222572379246581,0.5931800870810563,,,
county_type_Non core,-0.14952877810414705,0.8611136564446318,,,,-0.181829906365781,0.8337431427567124,,,,-0.2643461619001714,0.7677077424840186,0.0,inf,0.9999955831361637,-0.2701734345526535,0.7632471094361378,,,,-0.2875451727985603,0.7501026817683043,0.0,inf,0.9999971778485884,-0.2682462199453818,0.7647194687348606,,,,-0.22009702973369327,0.8024409335548708,0.0,inf,0.999998122241474,-0.24004602406800352,0.7865916580854928,,,,-0.24269335847277113,0.7845120408622139,,,,-0.16490971331454476,0.8479702610560618,0.0,inf,0.9999988945703718,-0.18579098388948256,0.830447153677071,,,,-0.23124817328022065,0.793542505549492,,,
county_region_Alamo,0.2595502257180808,1.296346892030148,,,,0.13349062388757377,1.1428105509646684,,,,0.24369981181099443,1.2759612444981592,0.0,inf,0.9999972045403174,0.21414456678951027,1.2388017314380264,,,,0.2088642090682481,1.232277655037693,0.0,inf,0.9999991758606255,0.12998432547450328,1.13881053286999,,,,-0.011995601496020483,0.9880760589088496,0.0,inf,0.9999998223431158,-0.04668177868675323,0.9543910568478459,,,,0.08784936354130476,1.0918236411932742,,,,0.19286338774265155,1.212717110180243,0.0,inf,0.9999957233463068,0.19211334277915407,1.211807858851921,,,,0.13970669614697176,1.1499364685925364,,,
