variable,coef_2006,odds_ratio_2006,OR_lower_CI_2006,OR_upper_CI_2006,pvalue_2006,coef_2007,odds_ratio_2007,OR_lower_CI_2007,OR_upper_CI_2007,pvalue_2007,coef_2008,odds_ratio_2008,OR_lower_CI_2008,OR_upper_CI_2008,pvalue_2008,coef_2009,odds_ratio_2009,OR_lower_CI_2009,OR_upper_CI_2009,pvalue_2009,coef_2010,odds_ratio_2010,OR_lower_CI_2010,OR_upper_CI_2010,pvalue_2010,coef_2011,odds_ratio_2011,OR_lower_CI_2011,OR_upper_CI_2011,pvalue_2011,coef_2012,odds_ratio_2012,OR_lower_CI_2012,OR_upper_CI_2012,pvalue_2012,coef_2013,odds_ratio_2013,OR_lower_CI_2013,OR_upper_CI_2013,pvalue_2013,coef_2014,odds_ratio_2014,OR_lower_CI_2014,OR_upper_CI_2014,pvalue_2014,coef_2015,odds_ratio_2015,OR_lower_CI_2015,OR_upper_CI_2015,pvalue_2015,coef_2016,odds_ratio_2016,OR_lower_CI_2016,OR_upper_CI_2016,pvalue_2016,coef_2017,odds_ratio_2017,OR_lower_CI_2017,OR_upper_CI_2017,pvalue_2017
subject_race_black,0.0782054823958188,1.0813448331698532,1.0647261058039115,1.0982229531605818,4.299909131810162e-23,0.07089050939447127,1.0734636852447672,1.055987637745755,1.091228952262333,2.5641070234460065e-17,0.0767647655652315,1.0797880431850844,1.0621202557130887,1.0977497246040946,7.521110645219104e-20,0.2192427125079026,1.245133449477686,1.2252357646237104,1.2653542703957397,9.351802968467456e-157,0.29316316451810875,1.3406615209776813,1.3207030996931857,1.3609215532603356,0.0,0.34232097189856137,1.4082122215330903,1.3881892633499826,1.4285239867722583,0.0,0.356825571652386,1.428786627226539,1.4088802384287824,1.448974277911686,0.0,0.4222440304337158,1.525380718586451,1.5027308754639077,1.5483719504445637,0.0,0.37898025733889107,1.4607941954939896,1.436680434493954,1.4853126905292398,0.0,0.46541859093704496,1.592680731092747,1.5647739307057842,1.62108523245271,0.0,0.46319947470524847,1.5891503060908143,1.5623913583200797,1.6163675521502483,0.0,0.5112532877228021,1.6673795923634653,1.642499841085508,1.69263620944571,0.0
subject_race_hispanic,0.341771110988258,1.4074381135244292,1.3899135032221355,1.4251836814370598,0.0,0.34056099103056914,1.405735974677852,1.3876125891296673,1.4240960668589262,0.0,0.3325364164337376,1.3945006810019138,1.3766115524617504,1.4126222795655596,0.0,0.5066256369303725,1.6596813679569367,1.6403156569968167,1.679275712204431,0.0,0.5128695584204039,1.6700767081878725,1.651746792780058,1.6886100360075207,0.0,0.5422913307910082,1.7199433096751746,1.7017292878869863,1.7383522805613554,0.0,0.571833580739194,1.771512286131702,1.7528613599778273,1.790361663260845,0.0,0.6308489313957389,1.8792052186079848,1.8580287475436426,1.900623043810325,0.0,0.6019967478814661,1.825760747059579,1.8034496904082782,1.8483478209746518,0.0,0.6686806042348059,1.9516606084162997,1.9256599286844216,1.9780123549884072,0.0,0.716512027434089,2.047279886518067,2.021339379174577,2.07355329685062,0.0,0.7207205951865937,2.055914158844646,2.032274662979447,2.0798286302212454,0.0
subject_race_asian/pacific islander,-0.14402549117226657,0.8658656758467802,0.8194389389080464,0.9149228002377513,3.0196712627902806e-07,-0.17389926552152077,0.8403815487917571,0.7948607035782749,0.8885093254331253,9.337707162240418e-10,-0.12895653771289967,0.8790121685946174,0.8358127057565368,0.9244444206409088,5.290603211425938e-07,-0.028805809248040486,0.971605122877572,0.9296969678723291,1.0154023810171002,0.20036848502065419,-0.027029903039442506,0.9733321354999211,0.9343744660918502,1.013914100156616,0.19465087497937716,0.031164860004371353,1.0316555686092528,0.9941903933596115,1.0705325854597196,0.09868786483426488,0.009843017001027228,1.0098916188248424,0.9752546874122854,1.0457587078907418,0.5804114133676941,0.007673894472385324,1.0077034142628445,0.9708442006090594,1.045962030241249,0.6864843625136751,-0.04678884619406986,0.9542888780464963,0.9162870218102114,0.9938668136585975,0.024027682144616237,-0.02224844159335801,0.9779972296760983,0.9360493607867564,1.021824939285462,0.31988371999181053,-0.05960890137370914,0.9421329284342871,0.8993226455941142,0.9869811009304519,0.011996161803409641,-0.010962152708601947,0.9890977127363323,0.9501734481599832,1.0296165265770747,0.592547666951134
subject_sex_female,-0.1443883724292633,0.8655515264248544,0.8566190210595418,0.8745771766423591,7.2646158462547e-164,-0.1255488252501942,0.882012698885001,0.872379207397473,0.8917525708977103,3.420177623641343e-111,-0.10446479149107836,0.9008065129026984,0.8912003164797185,0.910516253958698,2.658625483673535e-81,-0.148140614547349,0.862309853106987,0.8532963551553717,0.8714185619953805,4.591561804970088e-168,-0.1855587705256468,0.8306400169959676,0.8224861655137601,0.8388747030220027,1.555017198414271e-297,-0.20240276435311952,0.8167658974974618,0.8090451562369713,0.8245603180144833,0.0,-0.19624479898565503,0.8218110315451076,0.8141070133451622,0.8295879540382873,0.0,-0.20747978030939668,0.8126296727275404,0.8046340550780575,0.8207047425219992,0.0,-0.20023747676935919,0.8185363466281873,0.8098524230697614,0.8273133865695745,2.1336724484912912e-296,-0.14008176696745903,0.8692871535183763,0.8595316171786198,0.8791534135213164,1.0089426486093429e-130,-0.12977585354607105,0.8782922749577357,0.8688719062658367,0.8878147799319236,5.23445216088694e-123,-0.13953273815626716,0.8697645482505961,0.8615262689245922,0.878081605495163,1.3599676750928912e-181
const,-3.0703564938595806,0.04640460895020235,0.0,inf,0.999970348588173,-3.189902304713425,0.041175893433284115,,,,-3.244197004514976,0.03899986850538474,,,,-3.4261740899512776,0.03251108763097922,,,,-3.3380638796256297,0.03550563439915322,,,,-3.11736262905559,0.04427378096033989,0.0,inf,0.9999821007137476,-2.9143488236270563,0.05423933891188107,0.0,inf,0.9999462402038676,-2.9337754749696296,0.05319581905207053,,,,-2.914713468492001,0.05421956442102124,0.0,inf,0.9999518081340396,-3.0170454605434767,0.048945616697438285,,,,-3.0381635168973373,0.047922818175528084,0.0,inf,0.9999744449921629,-3.0608601025734417,0.04684738433090184,0.0,inf,0.9999792170711268
daytime,0.13953151690626192,1.1497350412385645,1.1380793398877094,1.1615101150876443,1.1285941771616395e-158,0.14298439698360157,1.153711800141435,1.1414336733104873,1.1661219998225203,3.216105198052901e-151,0.11252844731373703,1.119104091965176,1.1074154088715258,1.130916148195383,5.8158562336095316e-98,0.08796262019678723,1.091947304489966,1.0805588099026202,1.1034558275364548,9.262945652602889e-61,0.03080325583823562,1.0312825850978864,1.0210071030023145,1.0416614803156454,1.64945247077765e-09,0.02384330833304345,1.0241298327069377,1.0142004701616891,1.0341564070396538,1.6137371795119533e-06,0.0599826370518632,1.0618181100925284,1.0514358232115033,1.0723029157183974,5.444794896718991e-33,0.11441120035900533,1.1212130733248487,1.1096684311372083,1.1328778223475584,4.29462989486623e-104,0.03250284182125365,1.0330368288458172,1.0213840365612035,1.0448225658046846,1.9591035247754183e-08,-0.01372470000023435,0.9863690542882065,0.9748064328148951,0.9980688252620081,0.022532666712347615,0.032808333105928435,1.0333524608027291,1.0217675924707565,1.0450686791356782,1.1735114245099643e-08,0.03793761463022812,1.0386664332677358,1.0283286280759312,1.049108164590999,1.0573047025019868e-13
county_type_Metropolitan,-0.9014815815877179,0.405967739625588,0.0,inf,0.9999858712426877,-0.9146876605471835,0.4006417427730768,0.0,inf,0.9999849174833029,-0.8071256051828951,0.44613860344595285,,,,-0.9802506327748239,0.37521704537620626,,,,-0.9822225971278762,0.37447785980140447,0.0,inf,0.9999663170389892,-0.9079764712121235,0.4033395680466132,0.0,inf,0.9999964443327117,-0.8609448802672914,0.4227624336561018,0.0,inf,0.9999894827047391,-0.8497733405858378,0.427511820546748,0.0,inf,0.9999887003921051,-0.8285092226053957,0.4366998235231139,,,,-0.82545759502192,0.4380345041886831,0.0,inf,0.9999894836725146,-0.8137575512004106,0.44318962585034044,0.0,inf,0.9999902476882918,-0.7938969761693894,0.4520796145979678,0.0,inf,0.9999957460817392
county_type_Micropolitan,-1.0754221926888305,0.34115369229730463,0.0,inf,0.9999831460725207,-1.1306684843862655,0.3228173858951674,0.0,inf,0.9999813561207506,-1.2071466939767401,0.2990493425437329,,,,-1.2094608147752415,0.2983581063508726,,,,-1.146446892601855,0.31776381489803907,0.0,inf,0.99996076135672,-1.1112712409203496,0.3291402784178502,0.0,inf,0.9999956484492735,-1.0343743480255407,0.35544869855103606,0.0,inf,0.999987364341511,-1.0609124017602567,0.3461398476032545,0.0,inf,0.9999858928333263,-1.0990559266905884,0.333185486790106,,,,-1.1850082546708762,0.305743655675045,0.0,inf,0.9999849029981022,-1.1833454505605236,0.30625247039478354,0.0,inf,0.9999858184373528,-1.206178182881064,0.2993391154516285,0.0,inf,0.999993536965687
county_type_Non core,-1.093443273442311,0.33506079921100695,0.0,inf,0.9999828636476367,-1.1445464582345934,0.31836827836218806,0.0,inf,0.9999811272833219,-1.2299207359210524,0.2923157469010438,,,,-1.236466412253443,0.29040859125622687,,,,-1.2093874962127005,0.298379982340301,0.0,inf,0.999958593803411,-1.0981193092293988,0.3334977003243483,0.0,inf,0.9999956998891386,-1.0190332064430303,0.3609437296144383,0.0,inf,0.9999875528692526,-1.0230823707748777,0.3594851641172266,0.0,inf,0.9999863958668957,-0.9871473661761532,0.37263817655395265,,,,-1.0065775374572465,0.36546764091598344,0.0,inf,0.9999871762049474,-1.041062494293739,0.353079337811921,0.0,inf,0.9999875235984762,-1.0607782216440036,0.34618629580438853,0.0,inf,0.9999943160586535
county_region_Alamo,-0.3719220560364356,0.6894079756202427,,,,-0.4575634137771702,0.6328236980136913,0.0,inf,0.999994559202001,-0.3167511104985204,0.7285120515647115,0.0,inf,0.999997240074608,-0.5422265125169321,0.5814521994702815,,,,-0.6058709187561462,0.5455990472177724,0.0,inf,0.999980774271872,-0.5388216314348879,0.5834353493431902,0.0,inf,0.9999951394027611,-0.5407567720849459,0.5823074115930797,0.0,inf,0.9999940095417095,-0.6057399154620556,0.5456705271721631,0.0,inf,0.9999913325429248,-0.4361342637965209,0.6465309144126106,,,,-0.3913609735418874,0.6761360447602085,0.0,inf,0.9999955259469255,-0.3727672011922504,0.688825571951753,0.0,inf,0.9999964842799246,-0.2568786802963889,0.7734620442595541,0.0,inf,0.99999786467398
