variable,coef_2006,odds_ratio_2006,OR_lower_CI_2006,OR_upper_CI_2006,pvalue_2006,coef_2007,odds_ratio_2007,OR_lower_CI_2007,OR_upper_CI_2007,pvalue_2007,coef_2008,odds_ratio_2008,OR_lower_CI_2008,OR_upper_CI_2008,pvalue_2008,coef_2009,odds_ratio_2009,OR_lower_CI_2009,OR_upper_CI_2009,pvalue_2009,coef_2010,odds_ratio_2010,OR_lower_CI_2010,OR_upper_CI_2010,pvalue_2010,coef_2011,odds_ratio_2011,OR_lower_CI_2011,OR_upper_CI_2011,pvalue_2011,coef_2012,odds_ratio_2012,OR_lower_CI_2012,OR_upper_CI_2012,pvalue_2012,coef_2013,odds_ratio_2013,OR_lower_CI_2013,OR_upper_CI_2013,pvalue_2013,coef_2014,odds_ratio_2014,OR_lower_CI_2014,OR_upper_CI_2014,pvalue_2014,coef_2015,odds_ratio_2015,OR_lower_CI_2015,OR_upper_CI_2015,pvalue_2015,coef_2016,odds_ratio_2016,OR_lower_CI_2016,OR_upper_CI_2016,pvalue_2016
subject_race_black,0.5263072409225862,1.692670130387906,1.6581788010252454,1.727878904576461,0.0,0.4410156768032045,1.5542850683724552,1.5197732352021782,1.5895806149291671,0.0,0.4525430454331286,1.5723055501329413,1.5337706532053383,1.6118086089419292,7.951055262242297e-280,0.7267023943553905,2.0682490801816638,2.012150727918993,2.1259114430738175,0.0,0.790807809036943,2.205177068913819,2.148547425238442,2.2632993101018823,0.0,0.7947657684194135,2.21392236553156,2.159207056399147,2.270024185996725,0.0,0.7356676622831738,2.086874855102831,2.0326961644595625,2.1424976034322123,0.0,0.6758815682957556,1.9657651685841433,1.9065036652295393,2.026868748533667,0.0,0.6952621987587804,2.004234512855025,1.9368954049685392,2.0739147670105944,0.0,0.7001170933586056,2.0139885183440693,1.9395287178460714,2.0913068802230814,1.7137902718801346e-290,0.8075187615748799,2.242337304956576,2.1697898609378643,2.3173103901529886,0.0
subject_race_hispanic,0.5378474716692485,1.7123170814017556,1.682359722380099,1.7428078836267973,0.0,0.5247406954482664,1.6900205615325312,1.6590325143061249,1.721587415420426,0.0,0.513163451707279,1.6705676046530298,1.6363642336618118,1.7054858962976678,0.0,0.5668690816514291,1.762739409490481,1.7225975634199984,1.8038166846130905,0.0,0.6036903550713095,1.8288554884861763,1.789116009842657,1.8694776522960967,0.0,0.5720957644813423,1.7719768087446193,1.734469903815849,1.810294778722279,0.0,0.5238040631558121,1.6884383747789595,1.6504250579604434,1.7273272310523422,0.0,0.476667266824199,1.6106974224144803,1.5695998248591723,1.6528710984058763,4.296094891140426e-286,0.4298223782476586,1.536984497421556,1.4931110485967884,1.5821471199575414,4.921518156182924e-186,0.4296911335085218,1.536782789528974,1.488997381121566,1.5861017434520517,1.325568292287581e-156,0.4184590422767272,1.5196180832646151,1.4771034403031165,1.5633564014385775,1.0803267390734134e-183
subject_race_asian/pacific islander,-0.731868964023578,0.4810091606614272,0.43437448666133965,0.5326505578597629,6.148000084298377e-45,-0.6839176734130313,0.5046361151924953,0.4554274812689759,0.5591617090102043,5.238198364996922e-39,-0.750626300647431,0.47207080188735123,0.42345519981202623,0.5262678132031237,9.478213282948804e-42,-0.62768756289514,0.533824811129022,0.4765725963774541,0.5979549204949155,2.1256863832497283e-27,-0.5987609646161663,0.5494920545744444,0.4936245573558449,0.6116825298518933,6.995106061420876e-28,-0.5333851254886113,0.586615836624742,0.5331423394726996,0.6454526573884444,7.635637980251719e-28,-0.6389242431134547,0.5278599677142097,0.47652095625571783,0.5847300981359582,1.9280170850918745e-34,-0.4417148590473818,0.6429329358308599,0.5796426814729536,0.7131337515133904,6.581632335963622e-17,-0.6423742479307131,0.5260419861086215,0.4634120849548036,0.597136285679929,3.01967332015294e-23,-0.6672569983930233,0.5131141220615343,0.4461721662688478,0.5900997914341704,8.341541255182368e-21,-0.5451049614630259,0.5797809254918638,0.5091359184473098,0.6602282600475959,1.9939341153064838e-16
subject_sex_female,-0.8265626188682786,0.4375507329546285,0.42943183908251836,0.44582312368399873,0.0,-0.7442605836902974,0.47508545603333546,0.465940687111779,0.48440970444861686,0.0,-0.7296928617814175,0.48205702549143864,0.4718207118824689,0.4925154194662387,0.0,-0.8026983347646406,0.4481181584667314,0.436994394126073,0.45952508006242504,0.0,-0.7794221233243563,0.458670990002262,0.44797068381109384,0.469626885580688,0.0,-0.7587966383221971,0.46822953761107444,0.4577741935893287,0.47892367669847463,0.0,-0.7281845611745817,0.48278466100411366,0.4714102823288431,0.4944334853058337,0.0,-0.7165622868438608,0.4884284500806024,0.47550231361578005,0.501705972856538,0.0,-0.670132834907062,0.5116406095395472,0.496958918595334,0.5267560426723314,0.0,-0.7013241264240595,0.4959281972109623,0.48054626278388163,0.5118024961095683,0.0,-0.6419785259326477,0.5262501936878733,0.5117904371236386,0.5411184857477536,0.0
const,-2.244437351045543,0.10598715716347427,0.0,inf,0.999974267566168,-2.262004791549812,0.10414149334681219,,,,-2.4073281555500747,0.09005558793886832,0.0,inf,0.9999911138193734,-2.724937071145101,0.06555032759528989,0.0,inf,0.9999831207132256,-2.72497812851175,0.06554763632670445,0.0,inf,0.9999726468827943,-2.6904694469164068,0.06784908035273478,0.0,inf,0.9999833799843936,-2.6689736702696756,0.06932333741306303,,,,-2.6991785991478556,0.06726073808315002,0.0,inf,0.9999794742783917,-2.7692604768765987,0.0627083618825946,0.0,inf,0.9999628919494569,-2.861053869158746,0.0572084382765888,0.0,inf,0.9999748864668123,-2.8145706266617467,0.05993044575202598,0.0,inf,0.9999814914949999
daytime,-0.45700430773198836,0.6331776124974293,0.6244889993258069,0.6419871117037578,0.0,-0.4726600670910822,0.6233419296021726,0.6142764693137058,0.6325411774836,0.0,-0.46180415095238014,0.630145741300794,0.6200391322156142,0.6404170876451135,0.0,-0.44732553248867946,0.6393357498377257,0.627368025712839,0.651531771253611,0.0,-0.30865971226847233,0.7344306452473517,0.721270886956512,0.7478305064473829,1.9155168369846982e-245,-0.33862889678422053,0.7127469026839899,0.7003172689777402,0.7253971446786759,0.0,-0.4542127726595266,0.6349476193785342,0.6230877424308588,0.6470332376971845,0.0,-0.505493168366523,0.6032080189469721,0.590472595417601,0.6162181224762808,0.0,-0.46776317899149544,0.6264018512114553,0.6118048144253471,0.6413471583575069,0.0,-0.35398206971190116,0.7018875522885935,0.6841160403231078,0.7201207207844394,3.5207397966541184e-161,-0.3466018140498803,0.7070868242490865,0.6908293356652756,0.7237269050614081,1.6761292890184881e-187
county_type_Metropolitan,-0.7334386542007528,0.4802547175826586,,,,-0.6922185308197221,0.5004645405344503,0.0,inf,0.9999947379591917,-0.794335942514196,0.45188121041155227,,,,-0.8594610142071714,0.4233902221447216,,,,-0.8954830443075297,0.40841027072921077,,,,-0.8709593808132229,0.41854980791189944,,,,-0.851964385330389,0.4265761484431497,0.0,inf,0.999984770821947,-0.880033145136631,0.4147691638731392,0.0,inf,0.999995995236628,-0.8903400345418263,0.4105161393496449,,,,-0.8586872276516792,0.42371796259056665,,,,-0.8057406918835432,0.44675689477233704,0.0,inf,0.9999984881966147
county_type_Micropolitan,-0.7091397226554347,0.4920673298051166,,,,-0.7274968251936667,0.48311680358663106,0.0,inf,0.9999944697840182,-0.7549474586188889,0.47003531038613905,,,,-0.8484001307609305,0.42809928724419144,,,,-0.7487913708613501,0.4729378138726651,,,,-0.7792349304869552,0.458756857962997,,,,-0.8013973230825001,0.44870154483983105,0.0,inf,0.9999856747268611,-0.809641431195601,0.4450176070493463,0.0,inf,0.9999963155679237,-0.8041857744638533,0.44745210520772183,,,,-0.953947053659379,0.38521754448714524,,,,-0.9761212700609049,0.37676965609319946,0.0,inf,0.9999981685132011
county_type_Non core,-0.8018577101134899,0.4484950160130463,,,,-0.84228889214629,0.430723514611811,0.0,inf,0.9999935971686318,-0.8580415618429035,0.42399163113127797,,,,-1.017075516863556,0.3616510375114316,,,,-1.0807034015574106,0.3393567376150924,,,,-1.0402704794527917,0.3533590926578709,,,,-1.0156098699234715,0.36218147887286334,0.0,inf,0.9999818455984695,-1.0095080928617843,0.3643981855601871,0.0,inf,0.9999954060354926,-1.074730920718661,0.3413896038124242,,,,-1.048419193182664,0.35049137055958407,,,,-1.0327120989287892,0.3560400341665318,0.0,inf,0.999998062332382
county_region_Alamo,-0.1586653301288435,0.8532818789254832,,,,-0.013982262277748961,0.9861150355423417,0.0,inf,0.9999999016720262,-0.10585113626001079,0.8995585497591805,,,,-0.37966450641772304,0.684090878816951,,,,-0.2762045318730693,0.7586577452019412,,,,-0.30632580572084245,0.7361467395619723,,,,-0.39524523381636517,0.6735148503776102,0.0,inf,0.9999948184440252,-0.3813072006249364,0.6829680491784733,0.0,inf,0.9999982638269695,-0.3190500218594825,0.7268391905491235,,,,-0.34091384940512337,0.7111201689931328,,,,-0.20403610120841867,0.8154329325416614,0.0,inf,0.9999997286303337
