variable,coef_2006,odds_ratio_2006,OR_lower_CI_2006,OR_upper_CI_2006,pvalue_2006,coef_2007,odds_ratio_2007,OR_lower_CI_2007,OR_upper_CI_2007,pvalue_2007,coef_2008,odds_ratio_2008,OR_lower_CI_2008,OR_upper_CI_2008,pvalue_2008,coef_2009,odds_ratio_2009,OR_lower_CI_2009,OR_upper_CI_2009,pvalue_2009,coef_2010,odds_ratio_2010,OR_lower_CI_2010,OR_upper_CI_2010,pvalue_2010,coef_2011,odds_ratio_2011,OR_lower_CI_2011,OR_upper_CI_2011,pvalue_2011,coef_2012,odds_ratio_2012,OR_lower_CI_2012,OR_upper_CI_2012,pvalue_2012,coef_2013,odds_ratio_2013,OR_lower_CI_2013,OR_upper_CI_2013,pvalue_2013,coef_2014,odds_ratio_2014,OR_lower_CI_2014,OR_upper_CI_2014,pvalue_2014,coef_2015,odds_ratio_2015,OR_lower_CI_2015,OR_upper_CI_2015,pvalue_2015,coef_2016,odds_ratio_2016,OR_lower_CI_2016,OR_upper_CI_2016,pvalue_2016
subject_race_black,0.8584933485875516,2.3596029151478377,2.234319562236495,2.4919111891053882,7.248906509242586e-209,0.8045825955362381,2.235763086536078,2.108758983366987,2.3704162583512365,3.877050477815002e-160,0.7943503450123679,2.2130028413686906,2.0754614784203014,2.3596591056141634,4.787462692490592e-130,1.0039422607028468,2.729019154854489,2.5416158557160653,2.9302404337828096,2.202392322101056e-168,1.036128335720666,2.818284413235662,2.6317219451228397,3.0180722734051373,3.323793407706621e-193,1.0469711703050744,2.849008874048545,2.654254759057764,3.058052938101829,1.1605238149905434e-184,1.0609822112055851,2.889207407950166,2.672467099179556,3.123525617477872,1.1406753500298978e-156,1.0822763120150978,2.9513901953707036,2.6896377738806696,3.2386160582368384,1.8028470429009024e-115,1.0702286877580889,2.916046287819027,2.6224074563497175,3.242564740316673,6.148212751169576e-87,1.0453697376040338,2.8444500293878443,2.5337880724753212,3.193201537877755,3.177303141664406e-70,1.1039141348794006,3.0159477776089356,2.720719272457655,3.343211881263963,6.222957342329023e-98
subject_race_hispanic,0.8370625808396941,2.309572819570222,2.200966416340531,2.4235383917244904,2.7328071612056174e-254,0.7395048250508812,2.09489791665005,1.9908617313531172,2.204370706448784,4.2655613258759063e-178,0.6263774016033296,1.870821055474359,1.7701667190786083,1.977198748504304,3.5244593051269555e-109,0.8523280877858213,2.3451001005427967,2.207736898907991,2.4910099044347365,1.354730419015132e-168,0.8789178407706899,2.408292140204361,2.2715919671971676,2.5532186749746018,5.393695696755248e-191,0.8693320935062614,2.3853171525460946,2.2455402265735986,2.533794697106097,3.705560810361666e-175,0.780664844471804,2.1829230875063663,2.036209881747662,2.3402072883952587,3.447165173342245e-107,0.7255354451086747,2.0658369461682415,1.9020227801791652,2.2437598185610175,2.1535725307170825e-66,0.6611050578045615,1.936931573545129,1.764630253259652,2.1260566703227513,5.648087224779936e-44,0.621756333244267,1.8621958077678902,1.685608003668925,2.057283317900892,2.111190256442341e-34,0.6182706406288768,1.8557160653482603,1.6948746803848436,2.0318210868603543,9.551299362193563e-41
subject_race_asian/pacific islander,-0.11891486185001757,0.8878833902933777,0.7235168923889764,1.0895901990012384,0.2549136245502053,0.0882785170575789,1.0922923017045039,0.9033918828076015,1.320692044138083,0.36217206652654155,-0.15665334018070995,0.8550004017343845,0.691895424162437,1.0565551692307988,0.14690366649424097,-0.13911046962931725,0.8701319000002616,0.693112399331547,1.0923618220194269,0.23063770627735558,-0.24598082481117794,0.781937218575537,0.6202726438004581,0.9857371913863462,0.03738569322336254,-0.13687054267811732,0.8720831163694222,0.702055566466516,1.0832888423410514,0.2161034373134033,-0.17512484669942055,0.8393522238727683,0.6586749026947831,1.069590101031402,0.1567760928946794,0.015545204056395248,1.015666659273561,0.7837893417458132,1.3161428815326528,0.906412730825869,-0.21803370580476578,0.8040983384281865,0.5813560594539321,1.1121826759151654,0.18767487294895957,-0.2288124685906378,0.7954776965718311,0.564331760727846,1.1212992246388773,0.19143991291824958,-0.055677482157031014,0.9458441383146646,0.6894560186018465,1.2975753490388262,0.7299861308029358
subject_sex_female,-0.8875004971933743,0.41168347181719306,0.39126831071058593,0.43316383240865447,2.394315523342179e-256,-0.7614318760573393,0.4669972658425094,0.44357341211158696,0.49165806684895885,6.445225970088745e-185,-0.7190235104474293,0.48722779659505083,0.4610910666106191,0.5148460748109429,4.2928109736530185e-144,-0.8070454945344983,0.4461743453303834,0.41877334282849765,0.475368238786209,1.7880686043793312e-137,-0.829214609893348,0.43639188963804193,0.41038042439215966,0.4640520600463108,4.120996577275743e-154,-0.863963739519965,0.4214880978595874,0.3954882657446842,0.44919718743812304,7.680956781347699e-156,-0.8533043185733853,0.4260049476521078,0.3965439582143395,0.4576547231769487,1.8547155122404473e-120,-0.8172044139294087,0.44166464176236947,0.4062371889071191,0.48018167984044874,8.649438151163702e-82,-0.7972878285385832,0.45054927540918044,0.41092090728243225,0.4939993219479003,1.2993320466349725e-64,-0.7998168460488996,0.4494112680292568,0.40742945093516614,0.495718921074765,1.6382186254618972e-57,-0.6294337922905694,0.5328934439788363,0.48948644957364185,0.5801497117703189,9.082136637382286e-48
const,-3.3525442271337362,0.034995204991053276,0.0,inf,0.9999906929248698,-3.371023928803826,0.0343544428246593,,,,-3.4485431803647266,0.031791917748096726,0.0,inf,0.9999936688724961,-3.7010654427566614,0.024697198995841455,0.0,inf,0.9999875145470021,-3.6771121552998016,0.025295920146098227,0.0,inf,0.9999939896583299,-3.717259183754325,0.024300479805352652,0.0,inf,0.9999841173349776,-3.823924616695527,0.021841911332822837,0.0,inf,0.9999909078424108,-3.8953846518016535,0.02033555083830652,0.0,inf,0.9999898103205035,-3.959907610391452,0.019064875606641097,,,,-3.96654516760843,0.01893875044850368,0.0,inf,0.9999970384491775,-4.004225868934655,0.018238402709261723,0.0,inf,0.9999901617728458
daytime,-0.1520777187545643,0.8589215238359243,0.8262752653038871,0.8928576408944039,1.4470669185305897e-14,-0.12331339082499303,0.8839865858610151,0.8484736590094643,0.9209859088548291,3.758999502092288e-09,-0.15432241573535233,0.8569956675751482,0.8202074842748616,0.8954338851124816,5.434507410393923e-12,-0.23856423213283753,0.7877580872499491,0.7492210792169887,0.8282772885624746,1.1386120367341802e-20,-0.12023273208309301,0.8867140458941972,0.8439708899789397,0.931621941611845,1.8437124551741373e-06,-0.1265467610922209,0.8811329458412186,0.8366051129670345,0.9280307473777258,1.7272821134105342e-06,-0.1918603567378874,0.8254221250822583,0.7767193638852425,0.8771787034731042,6.279518639438176e-10,-0.2464070401750058,0.7816040159325182,0.7280488483821236,0.8390986938299514,1.0174986909200142e-11,-0.23126598390182923,0.7935283721900577,0.7335991350259724,0.8583533532224097,7.823116783799472e-09,-0.275899249893145,0.7588893850964251,0.6978605646913977,0.8252552557783601,1.1179900354053544e-10,-0.17676497359682267,0.8379767080326106,0.774288113196794,0.9069039692550437,1.171022491882364e-05
county_type_Metropolitan,-1.1488724823297112,0.3169939842768021,,,,-1.1041691167617764,0.33148619417254843,,,,-1.215434439941364,0.29658113960901555,,,,-1.2526704264254664,0.2857407275291574,,,,-1.2614043925448917,0.28325594449675295,0.0,inf,0.9999980165697199,-1.25715520305824,0.28446211348358647,,,,-1.2567398356638382,0.28458029431300264,,,,-1.3175567019558045,0.26778879113598997,,,,-1.3152289189125657,0.2684128714231187,0.0,inf,0.9999977635644982,-1.3137507531195338,0.26880992353019145,0.0,inf,0.9999994986318984,-1.2837463298535001,0.27699762970488107,,,
county_type_Micropolitan,-1.0884132550243961,0.3367504070189483,,,,-1.1226842771573387,0.3254051436514236,,,,-1.1376409962891882,0.32057436665591177,,,,-1.1399218064830368,0.31984403056815985,,,,-1.0175477340544556,0.361480299990181,0.0,inf,0.9999984000095455,-1.0013799142947275,0.3673721491620784,,,,-1.133141977011907,0.322019886183158,,,,-1.1443477524074523,0.31843154627991926,,,,-1.0678385878012562,0.34375070200700114,0.0,inf,0.9999981842308258,-1.2552164043293244,0.28501416325140033,0.0,inf,0.9999995209704243,-1.2661861332926807,0.2819047211793449,,,
county_type_Non core,-1.1152586991967761,0.3278304584522905,,,,-1.1441683960152604,0.31848866413529325,,,,-1.0954690756168475,0.33438271937506264,,,,-1.308476264822194,0.27023150408533825,,,,-1.3981572583998108,0.24705179736707283,0.0,inf,0.999997801539729,-1.458723030158517,0.23253302287758032,,,,-1.4340423487299079,0.23834350471764554,,,,-1.433480152441131,0.2384775382244917,,,,-1.5768387725739559,0.20662726261130548,0.0,inf,0.9999973187190755,-1.3975785789245985,0.24719480254461332,0.0,inf,0.9999994666405958,-1.4542915625692607,0.2335657720390272,,,
county_region_Alamo,-0.1280979412780656,0.8797672094000364,,,,0.08978667237117631,1.0939408909951895,0.0,inf,0.9999997715341093,-0.02042697590964027,0.979780241423116,,,,-0.3610737556642482,0.6969275942135745,,,,-0.31403221682294413,0.7304954935363448,0.0,inf,0.9999996062787794,-0.4660592994214563,0.6274700743317053,,,,-0.5862335155396613,0.5564190867353378,,,,-0.6622417832041684,0.515693963622977,,,,-0.5404144891730128,0.5825067595843192,0.0,inf,0.9999993741378345,-0.4416004714114366,0.6430064836158593,0.0,inf,0.9999997288660035,-0.4240395947043329,0.6543979707017227,,,
county_region_Capital_Region,-0.6821821904450996,0.50551266297228,,,,-0.4144449226275773,0.6607069224007421,0.0,inf,0.9999989454278024,-0.36268535476956293,0.6958053308884561,,,,-0.39783343664483106,0.6717739112604718,,,,-0.4654898968645872,0.627827459134643,0.0,inf,0.9999994163871075,-0.42318768815118757,0.654955694151729,,,,-0.3796808757927099,0.6840796807684832,,,,-0.537892134974944,0.5839779025465895,,,,-0.584786238559008,0.5572249622930716,0.0,inf,0.9999993227502427,-0.48377646663283114,0.6164509838764032,0.0,inf,0.9999997029707727,-0.15961399594096454,0.8524727834201464,,,
