violation,total_stops,citations,citation_rate,white,hispanic,black,asian/pacific islander,unknown,other,stop_white,stop_hispanic,stop_black,stop_asian/pacific islander,stop_unknwon,stop_other,year
Speeding Over Limit (#),767317,1963,0.0026,1382,388,154,24,12,3,568861,120527,66107,6573,4772,477,2006
Speeding-10% or More Above Posted Speed (#),457629,455316,0.9949,1761,243,277,23,6,3,312522,86815,44246,8291,5270,485,2006
No/Improper License Plate Lamp,74549,33,0.0004,20,8,4,0,1,0,48779,17329,7588,437,385,31,2006
Operate Motor Vehicle Without License Plates (Or With One Plate),60842,427,0.007,313,59,41,5,8,1,43219,11244,5308,602,436,33,2006
Fail to Maintain Financial Responsibility (#)|Speeding-10% or More Above Posted Speed (#),48648,48576,0.9985,55,9,8,0,0,0,31813,11140,4510,638,514,33,2006
No/Non-Compliant Head Lamps (#),39408,117,0.003,70,22,17,7,1,0,26743,7287,4476,514,359,29,2006
Fail to Maintain Financial Responsibility (#)|Speeding Over Limit (#),27440,257,0.0094,176,53,24,3,1,0,20476,4409,2236,183,125,11,2006
Improperly Placed Or Obstructed License Plate (#),22180,47,0.0021,30,10,6,0,1,0,11870,6952,3016,186,140,16,2006
No/Improper Tail Lamp - not Motorcycle,19146,241,0.0126,149,73,18,0,1,0,13231,4077,1550,157,123,8,2006
Fail To Report Change Of Address/Name|Speeding Over Limit (#),18945,62,0.0033,43,9,9,1,0,0,14032,2955,1716,118,116,8,2006
Drive On Improved Shoulder When Prohibited,15085,499,0.0331,334,93,52,9,10,1,8704,4787,1384,111,90,9,2006
Fail To Display Driver License|Speeding Over Limit (#),14498,41,0.0028,25,11,4,1,0,0,9512,3143,1696,62,76,9,2006
Fail To Signal Lane Change,14069,330,0.0235,233,62,24,5,6,0,8974,3305,1509,172,108,1,2006
No DL When Unlicensed-Not CDL|Speeding-10% or More Above Posted Speed (#),12619,12617,0.9998,1,1,0,0,0,0,4009,7028,1427,56,89,10,2006
Operate Motor Vehicle Without License Plates (Or With One Plate)|Speeding Over Limit (#),12546,31,0.0025,24,3,3,1,0,0,9418,1680,1180,150,110,8,2006
Inoperable/Obscured Stop Lamp(s) (#),9965,75,0.0075,51,16,5,1,2,0,6547,2066,1138,129,85,0,2006
Speeding Over Limit (#),698811,1571,0.0022,1020,377,132,29,9,4,510857,116150,59738,6611,5061,394,2007
Speeding-10% or More Above Posted Speed (#),400368,398784,0.996,1200,197,141,29,16,1,268655,81616,37055,7409,5294,339,2007
No/Improper License Plate Lamp,67553,23,0.0003,12,5,6,0,0,0,42772,16823,7006,472,446,34,2007
Operate Motor Vehicle Without License Plates (Or With One Plate),56501,534,0.0095,398,74,45,12,5,0,39611,11133,4692,631,412,22,2007
Fail to Maintain Financial Responsibility (#)|Speeding-10% or More Above Posted Speed (#),43136,43077,0.9986,43,9,6,1,0,0,27843,10150,4007,583,522,31,2007
No/Non-Compliant Head Lamps (#),38477,99,0.0026,63,20,14,1,1,0,25524,7526,4483,486,429,29,2007
Fail to Maintain Financial Responsibility (#)|Speeding Over Limit (#),24288,210,0.0086,126,59,21,3,1,0,17685,4396,1855,188,160,4,2007
Improperly Placed Or Obstructed License Plate (#),21130,40,0.0019,29,6,4,0,1,0,11499,6721,2574,161,163,12,2007
No/Improper Tail Lamp - not Motorcycle,18253,224,0.0123,151,54,17,2,0,0,12395,4065,1494,156,135,8,2007
Fail To Report Change Of Address/Name|Speeding Over Limit (#),15855,46,0.0029,30,12,3,1,0,0,11616,2652,1370,124,88,5,2007
Drive On Improved Shoulder When Prohibited,13455,544,0.0404,371,103,58,5,7,0,7663,4386,1199,110,92,5,2007
Fail To Signal Lane Change,13288,284,0.0214,177,72,20,11,4,0,8363,3303,1326,177,110,9,2007
Fail To Display Driver License|Speeding Over Limit (#),12268,26,0.0021,14,7,5,0,0,0,7883,2884,1375,50,67,9,2007
No DL When Unlicensed-Not CDL|Speeding-10% or More Above Posted Speed (#),11756,11756,1.0,0,0,0,0,0,0,3491,6919,1210,38,95,3,2007
Operate Motor Vehicle Without License Plates (Or With One Plate)|Speeding Over Limit (#),11281,21,0.0019,17,3,1,0,0,0,8403,1613,1040,138,83,4,2007
Inoperable/Obscured Stop Lamp(s) (#),10571,67,0.0063,42,18,6,1,0,0,6924,2344,1068,136,95,4,2007
Speeding Over Limit (#),790504,1889,0.0024,1314,251,127,38,158,1,581980,110359,58034,8448,30746,937,2008
Speeding-10% or More Above Posted Speed (#),350232,345571,0.9867,3486,595,287,56,234,3,249802,45324,31766,7616,15277,447,2008
No/Improper License Plate Lamp,76876,18,0.0002,11,4,3,0,0,0,51111,15315,6835,584,2946,85,2008
Operate Motor Vehicle Without License Plates (Or With One Plate),70622,660,0.0093,513,67,51,22,7,0,52850,10085,5215,902,1516,54,2008
No/Non-Compliant Head Lamps (#),40488,74,0.0018,52,15,5,1,1,0,27758,5985,4478,641,1583,43,2008
Fail to Maintain Financial Responsibility (#)|Speeding-10% or More Above Posted Speed (#),34042,33847,0.9943,151,29,4,2,9,0,23570,5443,3086,548,1346,49,2008
Fail to Maintain Financial Responsibility (#)|Speeding Over Limit (#),29152,243,0.0083,168,35,21,3,16,0,20889,5223,1829,231,956,24,2008
Improperly Placed Or Obstructed License Plate (#),24134,46,0.0019,36,7,3,0,0,0,14859,5588,2437,187,1025,38,2008
No/Improper Tail Lamp - not Motorcycle,17125,160,0.0093,109,31,14,1,4,1,12174,3005,1335,140,456,15,2008
Fail To Report Change Of Address/Name|Speeding Over Limit (#),15766,32,0.002,25,4,1,0,2,0,12083,2132,1106,127,306,12,2008
Drive On Improved Shoulder When Prohibited,15467,430,0.0278,313,57,47,3,9,1,9821,3766,1190,138,543,9,2008
Fail To Signal Lane Change,14851,247,0.0166,187,29,21,9,1,0,10284,2402,1333,221,594,17,2008
Operate Motor Vehicle Without License Plates (Or With One Plate)|Speeding Over Limit (#),13489,28,0.0021,18,4,1,3,2,0,10305,1519,1173,224,254,14,2008
Fail To Display Driver License|Speeding Over Limit (#),13180,30,0.0023,22,7,1,0,0,0,8798,2707,1247,77,333,18,2008
Inoperable/Obscured Stop Lamp(s) (#),12239,71,0.0058,40,16,10,1,4,0,8703,1901,1116,140,371,8,2008
No DL When Unlicensed-Not CDL|Speeding-10% or More Above Posted Speed (#),9450,9447,0.9997,0,3,0,0,0,0,3459,4674,920,29,359,9,2008
Speeding Over Limit (#),782255,1248,0.0016,559,496,83,21,89,0,493720,186649,64600,10637,25735,914,2009
Speeding-10% or More Above Posted Speed (#),333230,325792,0.9777,3948,2610,556,101,215,8,184294,97334,30803,8963,11408,428,2009
No/Improper License Plate Lamp,74223,25,0.0003,13,8,4,0,0,0,38405,24894,7891,734,2208,91,2009
Operate Motor Vehicle Without License Plates (Or With One Plate),68276,873,0.0128,580,186,64,24,17,2,43147,16670,6050,1366,971,72,2009
No/Non-Compliant Head Lamps (#),43113,61,0.0014,25,21,8,1,6,0,24660,11130,4758,890,1622,53,2009
Improperly Placed Or Obstructed License Plate (#),22686,88,0.0039,59,22,5,0,2,0,9362,9692,2618,266,726,22,2009
Drive On Improved Shoulder When Prohibited,17906,326,0.0182,188,77,43,5,12,1,7510,7949,1713,179,530,25,2009
